ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,"这两日突然看到很多《下一站，幸福》的周边新闻：什么即将要翻拍啦大家又开始刷“光晞不行，他不能捐”，朱芯仪不幸患癌，品冠8岁儿子用一副失恋的表情演唱《我以为》。
一部全方位圈粉的好剧在时隔多年还是可以让观众关注到不同面的新闻。 ",[],False,0.02570563554763794
,光晞不行，他不能捐[允悲]看了一天了谁来骂醒我 ,[],False,0.4192357063293457
,"永远挚爱一些古早台偶狗血名场面[抱一抱]
“光晞不行 他不能捐” ",[],False,0.13585412502288818
, 是谁还在看古早台偶[哇] ,[],False,0.07136160135269165
发布于 江苏,"#2023KPL春季赛#[努力]#英雄归来 久竞金陵#  
【2023KPL春季赛 常规赛第三轮｜赛后返图】
4.15（周六）南京Hero久竞 vs 成都AG超玩会
脚踏实地，继续加油！[拳头] ","['南京', '成都']",True,0.1191859245300293
,"#小戴的日常# 
光晞不行 他不能捐 让拓也捐 ",[],False,0.3918886184692383
,"#音乐先锋榜35载阵容官宣# 
元音发声，乐链湾区[话筒]音乐先锋榜35载荣耀盛典将于五月在广州海心沙亚运公园举办！
@Sunnee杨芸晴  将出席音乐先锋榜35载荣耀盛典！用音乐链接湾区，助力音乐产业高发展！这个五月，@Sunnee杨芸晴  与你不见不散！
#元音发声 乐链湾区##音乐先锋榜35载荣耀盛典##广东音乐之声##音乐先锋榜##杨芸晴[超话]##杨芸晴#","['广州', '广东']",True,0.3482651710510254
发布于 北京,"唱到兴起
一个敢教
一群敢学
还真滴敢唱
戏腔大合唱
真滴嘹咋咧！

#张杰未LIVE巡回演唱会# http://t.cn/A6NcQXio ",[],False,0.3295181393623352
,呜呜呜呜呜呜呜呜呜呜光晞不行他不能捐，DNA动了 ,[],False,0.4603347182273865
发布于 四川,我甚至可以…弹棉花…不用棉花…#来活了兄弟# ,[],False,0.3997679352760315
,"光晞不行，他不能捐！让拓也捐……
只要能不画画，我能看这个看十遍😅 ",[],False,0.3731122612953186
,#极限挑战第九季开播#定格治愈瞬间，极限男团剧照掉落~@大张伟 @龚俊Simon @Johnny黄景瑜 黄明昊@jjjustin0219 @黄晓明 @贾乃亮 @时代少年团-严浩翔 @岳云鹏 （按姓名首字母排序）暖心集结！今晚21:00，锁定东方卫视，“治愈烦恼大作战”即将开启！#极限挑战# ,['东方'],True,0.20447313785552979
,光晞不行，他不能被翻拍[苦涩][苦涩][苦涩][苦涩] ,[],False,0.46035319566726685
,"看到下一站幸福的花絮
想到前几天看到热搜 说是要翻拍这部剧
大漏特漏！！！！光晞不行！他不能翻拍！也别让拓也翻拍！ ",[],False,0.1339929699897766
,光晞不行，让拓也捐！[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌] ,[],False,0.4098687767982483
发布于 上海,"#莫寒[超话]# 
周末~[可乐] ",[],False,0.31678110361099243
,#演出公司回应女演员演杂技时坠亡#【演出公司独家回应女演员演杂技时坠亡：两口子生气没扣安全扣】4月15日，宿州一文艺演出现场，女杂技演员表演时从高空坠亡。涉事公司负责人独家回应称是意外，事发时两口子正在生气，演出前还嘱咐她扣安全扣，目前正在调解。#安徽高空坠落杂技女演员已身亡#（素材来源：相关人士）http://t.cn/A6NcQ34g http://t.cn/A6NcQBWw,"['宿州', '安徽']",True,0.41018033027648926
发布于 北京,"#朱一龙[超话]# 
一些平常生活中闪闪发光的碎片🧩
愿每一刻的你都很快乐，愿你的每一段都够精彩！
不止戏里，不限戏外@朱一龙
#朱一龙0416生日快乐# http://t.cn/A6NcXbkA ",[],False,0.24227112531661987
,"
拒绝翻拍！
谁都超越不了原班人马的。 ",[],False,0.15491712093353271
,光晞不行，他不能捐 ,[],False,0.2515990138053894
