ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
发布于 江苏,🌪️及时行乐是生活的真理 ,[],False,0.08422690629959106
, 能日常享受铲屎官的头部按摩💆#喵星人[超话]##萌宠##萌宠的日常# ,[],False,0.02920663356781006
发布于 西藏,家人们谁懂啊，今天在这片林子，有一大虫子飞我俩嘴唇之间了，我呸一下啐出去了，它掉到半空中我发现还挺好看，花萤还是拟天牛啥的，想抓回来结果它借我那啐劲儿飞走了，真的绝绝子 ,[],False,0.1934334635734558
发布于 江苏,"🔥这天气说热就热了，冬装脱下直接换夏装
🥣面条|冰淇淋|甜品｜咖啡|川菜|奶茶|砂锅|铁板鱿鱼，🐷哪只猪一天炫这么多啊！
🌸好在路边的花还停留在春天，开满枝头
[举手]五一你们打算去哪里玩呀！我要去一趟武汉，有武汉的宝子嘛！推荐推荐美食和景点呀！
#人间四月天##美食新势力大赛# @微博美食 http://t.cn/A6Ncm1qz",['武汉'],True,0.2955114245414734
,跪着拍的[喵喵]～亲亲我家小宝贝三花妹妹！[亲亲]凶巴巴的又胆小又敏感，一点都看不出和我一起五年了[苦涩] ,[],False,0.3900430202484131
发布于 北京,#电视剧龙城# 看起来[嘻嘻][送花花] ,[],False,0.3257753849029541
发布于 重庆,"周末快乐[耶]
舞蹈练习小邓上线[收到]
#小邓的日常# http://t.cn/A6Ncm8eg ",[],False,0.3154566287994385
发布于 北京,生日快乐呀！虽然你已经是一个大朋友了，但其实有时候还是会想到你还是小朋友的样子[思考]那么就希望让大朋友的自由和小朋友的快乐带着你，勇敢去开启你的20岁吧！ ,[],False,0.0662873387336731
,同一个世界同样的猫  http://t.cn/A66W3ypW ,[],False,0.3484944701194763
,"
还好吧，做饭绕着走，睡觉蜷着睡，过门口迈过去，听见挠门赶紧起床开门，自己没吃饭先把猫粮，肉干，罐头都预备齐了才能坐下轮到自己吃饭……都是日常操作[允悲] ",[],False,0.056458234786987305
,"
半夜得起床一到两次陪🐱吃饭，不起来就在耳边叫你🙊，用爪子摸你的脸[打脸]，还不起来那就去你的身上踩一踩🙃
🐈：反正今晚你必须起来陪我吃饭 http://t.cn/A66W1aNW ",[],False,0.43880778551101685
, ,[],False,0.05462068319320679
,我是捡的，他是亲生的呗[拜拜] ,[],False,0.4872511625289917
,"
怎么可以这么可爱😊，朕的天下，都给朕退下 ",[],False,0.42906320095062256
,  就是它一哼哼，我就能把男神的电视剧放一边，先陪它玩儿。地位高于我所有男神😂 ,[],False,0.02085036039352417
,不给摸头[允悲] ,[],False,0.2584354281425476
,"
妈妈搓背式洗猫，小猫乖乖扶好洗手台，女儿：搓澡手法好熟悉 
http://t.cn/A66iOeVe  ",[],False,0.010803163051605225
,你永远猜不到小猫咪为了扒拉厕所水有多努力🙉 ,[],False,0.3363475799560547
,还好吧[喵喵] ,[],False,0.31751638650894165
,"人把我吵醒我会有起床气，闹钟叫醒我我会烦得不行，但是猫整动静把我吵醒了我会去给它们开门／喂饭。网上说这样不好是正反馈，但是确实不忍心它们都吵吵巴火挠门啥的还没人搭理。[允悲]
也是到目前为止地球上唯一一种踩我的脸我就会超级兴奋的生物，哪怕其实有脚臭。 ",[],False,0.36267411708831787
,"
如图所示[裂开] ",[],False,0.15093815326690674
,两个主子找领养[笑cry]  ,[],False,0.16493946313858032
,一只因舔不到毛毛而独自叹气的煤气罐 http://t.cn/A66N6aJA  ,[],False,0.16888076066970825
,平常上厕所/洗澡她会跑过来偷窥，会跟她叨叨这样不好巴拉巴拉。后来上厕所还会特地跟她打招呼，她不来就会伤心>_<：我喵喵咪呢？是不是不爱我了，不关心我有没有吃屎了？！ ,[],False,0.39755117893218994
,养猫人的日常：“即使你对我爱答不理，我却依然爱你”[微笑][微笑][跪了][跪了]#吾皇巴扎黑##吾皇猫#  http://t.cn/A66W1b8r ,[],False,0.3396674394607544
,[哇]团宠罢了 ,[],False,0.41015124320983887
,太卑微了，想抱一下还得看人家心情[笑cry] ,[],False,0.2409380078315735
发布于 上海,"@361度，你是懂时尚的️‍❤️‍🔥

啊啊啊！这次收到邀请，去了#361度深圳时装周潮流大秀#,太激动了！@361度 作为我初中至今的老朋友，这次大秀让我眼前一亮✨运动风中融入了现代东方美学元素，经典又时尚。

今日份look当然穿的是361度的国风卫衣啦，灰红拼接，简约又不失时髦感，而且超百搭️✨也是本季很有态度的秀款哦！下半身搭配的酷帅红色皮裙，还很心机地露出了小蛮腰，氛围感拉满，💗这才是甜酷女孩该有的穿搭嘛～","['东方', '深圳']",True,0.011852681636810303
,"
怀孕的猫咪天冷要钻被窝，又臭又吵又要忍着。 ",[],False,0.3692626357078552
,  它每月生活费1000，我每个月500[doge] ,[],False,0.41701769828796387
,没养过猫 都是一直刷到可爱猫猫的视频搞得我都想养了 啊啊啊啊啊啊太可爱了尤其是那种猫很多的白白的 然后胖胖的[哇][哇][哇] ,[],False,0.02722311019897461
,养完猫之后毅然决然决定 下辈子我要投胎做只猫🐱 ,[],False,0.03471791744232178
,不知道 ,[],False,0.32178163528442383
发布于 上海,"诱夜欢愉，绝色沉沦。
TOM FORD BEAUTY品牌香氛与彩妆形象大使 演员@朱一龙 现身#TOMFORD绝色之境#，银灰西装矜贵雅致，彰显摩登诱惑。
#TOMFORDBEAUTY# ",[],False,0.05011117458343506
发布于 湖南,"开开心心顺顺利利的结束#超级红人节#务工
明年再见啦盆友们🫡
这次堪称是大型网友见面
所有岗位的工作人员们辛苦了💦
2023继续努力争取明年再冲一个奖🏆

#超级红人节长沙见##超红每一帧#  ",['长沙'],True,0.33252352476119995
发布于 广东,"见到自己倒影的小狗[抱一抱]
 #小狗好像被自己迷住了##4月奇趣季# http://t.cn/A6NcEUP7 ",[],False,0.04563421010971069
发布于 海南,"喜欢和花花🌷🌸有关的一切！

#日常碎片plog# ",[],False,0.031266748905181885
,"  
有没有这样一种可能
其实不是我在逗它玩，而是它在逗我玩…… ",[],False,0.4662970304489136
,#萌宠##小奶猫##遇见美好##三亚# 虎妞小寅到家的第一天   开启它的海边生活   打完疫苗就可以一起撒欢去啦🐱🌈     泪痕每天擦很多次还是有呢  http://t.cn/A66W3qdG ,['三亚'],True,0.34227514266967773
,我妈三天两头去超市给野猫买鱼吃，五六斤那种大鱼。但是从来没有给我们家狗子买过一根骨头🦴，从来没有，我可怜的狗子，姥姥不疼又没舅舅的小可怜儿，ruarua ,[],False,0.20375138521194458
,"
猫狗都是食伤，你现在养的小动物与你之间的感情和相处模式就是以后你和你孩子的相处模式。

现在养的宠物性格啥样，活泼开朗聪明亲人还是孤僻内向，特别黏你还是不怎么黏你，很爱你还是就混口饭吃，以后的小孩也会类似。 ",[],False,0.05097377300262451
,想念和狗子一起打架的日子了 ,[],False,0.00944596529006958
,大概就是这样，你为TA买回来的玩具，满心希望猫能玩的高兴，Ta却看你像傻子[苦涩][苦涩][苦涩] http://t.cn/A66W3xyJ ,[],False,0.42975538969039917
,"

可我还是想养哈哈哈哈[允悲] ",[],False,0.21073728799819946
, 那看来还是我家主子疼人[doge]永远乖乖任我薅毛rua肚皮 ,[],False,0.3795880079269409
发布于 广东,这两个男人偏偏不信邪，他们结伴来到喇叭怪经常出现的地方，结果......#春日荐片季##影视e周说# http://t.cn/A6NcmSsS ,[],False,0.3638650178909302
,【#官方称女演员坠亡演出无安全措施#】4月15日晚，安徽宿州埇桥区蒿沟镇一场演出现场，一名表演高空杂技的女演员在升空过程中突然坠落到舞台上，令现场观众担心不已。目前，当地相关部门正对此事展开调查。据新京报，蒿沟镇政府工作人员表示，这名杂技演员经抢救无效死亡。你认为#杂技表演该取消吗#？🤔投票↓↓↓ http://t.cn/A6Ncm4Io,"['宿州', '安徽']",True,0.3657715320587158
,"学校里的花花我真的爱死了
[赢牛奶]

[送花花]

[交税]

[报税]

[彩虹屁]
#张真源 生如炬火十九燎原# ",[],False,0.20500904321670532
,猫是他们的跌是吧 ,[],False,0.4207596778869629
,养猫的人哈哈哈 ,[],False,0.06436580419540405
,我们家猫也咬我[微笑] ,[],False,0.3215178847312927
,明明睡觉前枕头还是我的，但小猫觉得我的枕头是它的地盘，一点点霸占我的枕头，最后把我逼到枕头下，我还舍不得赶它走[悲伤] ,[],False,0.23141729831695557
,"
哈哈哈哈哈哈哈，#aishen203# ",[],False,0.28919243812561035
, ,[],False,0.05462068319320679
,同一个世界同样的猫  http://t.cn/A66W3ypW ,[],False,0.3484944701194763
发布于 四川,"◼︎来自全世界游人的狂欢

时隔三年，泰国的宋干节终于回归了，4.13-4.15，几乎全世界各地的游客都蜂蛹到了泰国的各个城市，共度这个疯狂的节日

我把主战场选在了曼谷的考山路，这里也是每年泼水节最热闹的街区，大家并不会因为你是男生就毫无兴趣，也不会因为你是女生就心慈手软，我们经历着一视同仁的泼与被泼

在这里，你能感受到真正的Peace and love，不分国籍，不分性别，不分人种，跟着躁动的音乐跳动，接受着彼此之间泼水的祝福，这种最纯粹的快乐真的很久很久没有感受过了

我爱泼水节！

Ps：#泼水节女生颜值越高被泼越狠# ，这个或多或少还是有的，就有一点像小学生会欺负自己喜欢的女孩子一样，长的帅的男生也会被女生泼的多一些，不过几天下来没见到过黑脸的，至于揩油问题，也许会有，但我个人玩的这两天真没发现

#泰国泼水节##与世界不见不散# 
@新浪旅游 @微博旅游 ",['同仁'],True,0.16313046216964722
," 
 
猫主子能卑微到什么地步！！    http://t.cn/A66lZ7EM ",[],False,0.34756016731262207
,"
到底谁才是主子啊哈哈[允悲]
#微博喜剧现场# http://t.cn/A66WlKiM ",[],False,0.3042752742767334
发布于 贵州,今日钉子行动进程10%-0%-10%！ #长月烬明#  ,[],False,0.3376256823539734
,还不是因为我把它当作宝贝一样  自己的猫自己宠咯 ,[],False,0.303550124168396
,"
到底谁才是主子啊哈哈[允悲]
#微博喜剧现场# http://t.cn/A66WlKiM ",[],False,0.3042752742767334
,简直了，电脑里是不是有猫猫的小情人啊，不让关，哈哈 ,[],False,0.07584249973297119
,到底谁才是真正的主人啊[允悲][允悲]傻傻分不清了，话说主人也是太宠爱这只猫咪了吧！ ,[],False,0.09477657079696655
,这哪是在养宠物猫呀，简直就是养了个祖宗呢，好怪的猫呀，都敢打主人了[挖鼻][挖鼻] ,[],False,0.1439802646636963
,你都把它当宠物了，你只能宠，多卑微都得宠。  ,[],False,0.30965304374694824
,哈哈 但其实也挺有乐趣的  养猫虽然卑微 但是也很幸福 ,[],False,0.011257648468017578
,不养猫主子的我可能理解不了吧，，这也太卑微了[喵喵][喵喵][喵喵] ,[],False,0.4809311032295227
,真正喜欢猫咪的人才可以这样呀。因为猫咪在他们看来也是自己的宝贝啊[允悲] ,[],False,0.10020303726196289
,主人也太卑微了吧，电脑都不能自己关了[笑cry][笑cry] ,[],False,0.47269511222839355
,现在的猫都这么有地位有脾气了呀，唉，铲屎官也不好混了，感觉好卑微呀[笑cry][笑cry] ,[],False,0.14989781379699707
,没办法啊 自己的猫猫只能宠着了 ,[],False,0.09965729713439941
,"
大橘都快被养成方块猫了 http://t.cn/A66WYF19 ",[],False,0.3850194215774536
,看得出来，这只猫猫平时都是被宠着，才敢这么放肆 ,[],False,0.06619662046432495
,卑微点没事谁叫猫咪这么可爱 ,[],False,0.046104371547698975
,没办法，毕竟它们这么可爱，只能惯着 ,[],False,0.1310839056968689
,养猫我个人觉得还是挺幸福的哈 ,[],False,0.024645447731018066
,我们家的猫粘人，天天抢我枕头，睡我地。我一起他就跟我抢地 ,[],False,0.3354206085205078
, 哎哟喂，这只猫才是主人吧。好可爱呀，猫星人，萌萌哒🤙🤙🤙 ,[],False,0.043503403663635254
,他是一个可爱的小动物!忍不住去呵护他 ,[],False,0.026024222373962402
,能惯着它的人，一定会是个好主人 ,[],False,0.012774407863616943
,喵星人的脾气也是很倔强的 ,[],False,0.16590917110443115
,都是平平无奇的铲屎官罢了 ,[],False,0.2876688838005066
,养个猫连自由都没有了，比孩子还粘人 ,[],False,0.12016159296035767
,但是猫咪可爱的时候也让人很喜欢。 ,[],False,0.037147462368011475
,"#欢乐指南[超话]#
到底谁才是主子啊哈哈[允悲]
#微博喜剧现场# http://t.cn/A66WlKiM ",[],False,0.3305368423461914
,我家自从有了猫咪，我的地位直线下降 ,[],False,0.2644135355949402
,卑微到尘埃里还不是因为对它的爱太多了 ,[],False,0.17476463317871094
,是喜欢猫咪的人才可以这样卑微吧 猫咪和可爱的 ,[],False,0.08965837955474854
,疫情期间，被封在家，家里的猫粮都快没有了，只能求着工作人员帮忙买点猫粮给猫咪！太难了！ ,[],False,0.46827250719070435
,可爱的小猫 ,[],False,0.02355372905731201
,刺挠猫，怎么不是被骂就是被打？ http://t.cn/A66Uf3UR ,[],False,0.1228448748588562
,可爱的小猫 ,[],False,0.02355372905731201
, 猫咪好爱掉毛  http://t.cn/A6bqP9my ,[],False,0.33345454931259155
,猫咪:嘿嘿嘿给各位表演一下遛主人～ http://t.cn/A66pdFUC ,[],False,0.33489876985549927
,"
这猫多少有些霸总气质 http://t.cn/A66WYlxg ",[],False,0.12193214893341064
,自从养了猫，猫就变成了主子 ,[],False,0.4504149556159973
,哈哈哈哈哈，这搞得我都不敢养猫了 ,[],False,0.3832722306251526
,属实是主次颠倒了，猫咪变成主人了 ,[],False,0.17299586534500122
,快被舔秃噜皮了[晕]还不让我玩手机，控制欲强的小猫咪，她的窝是她的窝，我的床还是她的窝[笑cry]#喵星人[超话]##猫[超话]#  http://t.cn/A66WRZld ,[],False,0.2601475119590759
,"
到底谁才是主子啊哈哈[允悲]
#微博喜剧现场# http://t.cn/A66WlKiM  ",[],False,0.3042752742767334
,"
到底谁才是主子啊哈哈[允悲]
#微博喜剧现场# http://t.cn/A66WlKiM  ",[],False,0.3042752742767334
,"
到底谁才是主子啊哈哈[允悲]
 http://t.cn/A66WlKiM  ",[],False,0.20479708909988403
,"
到底谁才是主子啊哈哈[允悲]
 http://t.cn/A66WlKiM  ",[],False,0.20479708909988403
