ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,"#夜话电竞# 

今天，[爱你]你觉得哪位电竞选手的画作最棒呢，快在评论区夸一夸吧[打call] ",[],False,0.1297435760498047
,#司马光爱砸游戏[超话]##世界孤独症日##壹基金蓝色行动# 和@成都AG司马光 一起，关爱星星的孩子，星星⭐️闪闪发亮 ,['成都'],True,0.3068794012069702
,#司马光爱砸游戏[超话]##世界孤独症日##壹基金蓝色行动# 和@成都AG司马光 一起守护星星的孩子[抱抱] ,['成都'],True,0.3264284133911133
,"#世界孤独症日##南京hero无畏# 
大家一起，拥抱来自星星的孩子！ ",['南京'],True,0.1060096025466919
,"
每个星星都会闪闪发光呀⭐ ",[],False,0.1088724136352539
,"#世界孤独症日#
关爱孤独症不止今天！理解帮助！
#壹基金蓝色行动# ",[],False,0.3007662296295166
,"#世界孤独症日#

让阳光透进心门，温暖每一个角落!
@法斗0808 和 @FPX_0711 共同参与了画作接力，和大家一起守护星星的孩子[心]

#壹基金蓝色行动#  ",[],False,0.14193272590637207
,"#世界孤独症日##壹基金蓝色行动#
云层背后有很多小星星，每一颗都值得被关爱。孤独的倒影是帮助，伸出手给那些云后的小星星一些关爱！

 ",[],False,0.03810149431228638
,"#RSG东方[超话]##世界孤独症日##壹基金蓝色行动#
关爱孤独症儿童，从我做起，每一位祖国的花朵都值得被疼爱[抱抱]

 ",['东方'],True,0.2591291666030884
,"在第15个#世界孤独症日#，🐰宝邀请大家和我们一起，共同守护星星的孩子[抱一抱]
赠人星辰，手有余光✨
用绘画点亮星空，一起为爱发声✨
#G2##壹基金蓝色行动# #英雄联盟[超话]# ",[],False,0.11246639490127563
,"今天是世界孤独症日，让我们共同关爱孤独症儿童，心连心手牵手，我们都是好朋友[心]

#世界孤独症日##壹基金蓝色行动##XROCK穿越火线[超话]# ",[],False,0.12210088968276978
,[打call][打call][打call]电竞向善，我们一起守护星星的孩子 ,[],False,0.28656649589538574
,一把子支持了[兔子][兔子]电竞人们都好会画 ,[],False,0.213145911693573
,今天是第15个#世界孤独症日# ，让我们一起向“孤独”注入更多“帮助”，关爱和守护星星的孩子，为他们的成长保驾护航[心] #壹基金蓝色行动# ,[],False,0.06204330921173096
