ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,#极限挑战第九季探班#资深观众@时代少年团-严浩翔 表示，《极限挑战》是自己从小看到大的节目，还能清楚地记得游戏规则！更多精彩，锁定今晚 21:00东方卫视#极限挑战#第九季! http://t.cn/A6NcDNSI ,['东方'],True,0.035140275955200195
,"
这剧本来想着无聊随便看看，没想到真挺好看的，前面开头有点土却又不俗[笑哈哈]略带点搞笑。一度以为这是个喜剧[哈哈]且每一位演员都演的很好。声声@_王瑞昌你好帅[哇][哇] ",['瑞昌'],True,0.00831228494644165
发布于 上海,"你还没听说吗？深受你们喜爱的美妆博主小星获得了微博2022年最具影响力时尚大V，百大视频号两个奖哦！
这是2018年到现在，连续第五年获得这个奖项！
这次在长沙还见到老朋友思思，和很喜欢的博主徐老师！开心🥳
谢谢一路陪伴的你们！！！还记得是什么时候关注我的吗？#超级红人节# ",['长沙'],True,0.13755559921264648
,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈这一段你们没看我真的会伤心的！！！！怎么会这么好笑！！！陈学冬要求陈学冬【老婆】连麦，说想知道自己老婆是啥样的，然后一连上一开口，差点老婆脱口而出有没有哈哈哈哈哈 大家都好懵？！#原来是老师啊# http://t.cn/A66jnAuz ​​​,[],False,0.37783992290496826
发布于 广东,#王者荣耀钎城[超话]##李现和钎城伪装切磋功夫#有机会再比试比试[作揖] ,[],False,0.3258274793624878
,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈这一段你们没看我真的会伤心的！！！！怎么会这么好笑！！！陈学冬要求陈学冬【老婆】连麦，说想知道自己老婆是啥样的，然后一连上一开口，差点老婆脱口而出有没有哈哈哈哈哈 大家都好懵？！#原来是老师啊# http://t.cn/A66jnAuz ​​​,[],False,0.37783992290496826
,"《原来是老师啊》陈学冬张佳宁，我的怨种室友，好笑又甜蜜。
#张佳宁##陈学冬# http://t.cn/A66jkoAz ",[],False,0.2802525758743286
, 虽然是一场无效的整蛊，但是我也能感受的出来大家玩的有多么的开心，这样也挺好的，给我们带来快乐呀 ,[],False,0.011593043804168701
, 这可能就是全员笨蛋吧，毕竟我也是头一次见到失败率这么高的整蛊，一下子就被人给发现了 ,[],False,0.27300751209259033
, 陈学冬可能这辈子都没有想到，居然还能看到这样子的画面，你们这也太笨了吧，下次还是要重新的锻炼一下 ,[],False,0.38426417112350464
