ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,念念无明一共多少集啊，好有意思。一晚看完了更新，不够看！！！[舔屏][舔屏] ,[],False,0.028724074363708496
,10086个心眼太哇塞了[兔子][兔子][兔子] ,[],False,0.37500596046447754
,念念无明好好看[抓狂]能不能一集一个小时[抓狂] ,[],False,0.07385802268981934
,本人此刻已在二刷念念无明[点亮橙色][吃狗粮] ,[],False,0.3438050150871277
,终于营业了！！[泪] ,[],False,0.143072247505188
,念念无明的男主衣服真好看，想买同款 ,[],False,0.012289464473724365
,#网剧念念无明[超话]#好看极了 ,[],False,0.027629435062408447
,#念念无明太上头了# 哈哈哈喜欢这样节奏轻快的短剧，一口气追完十集卡的位置揪心了，我们镖人和暗卫怎么破局啊啊啊[哇] ,[],False,0.010885238647460938
,"  情节紧凑，男主很温柔，可颜值挺奇妙，我时而觉得好看时而觉得一般，可能吃角度吧。奔着搞笑去看的，怎么看到现在有虐的气息呢?希望后续就是个单纯喜剧片。
坏消息：怎么会有这么短的剧啊，十集长度其实只相当于三集左右。
好消息：半年没用过的芒果会员终于派上用场... ",['芒'],True,0.018973469734191895
,大道岂分贵贱，人人个个圆成。休教方寸万缘生。念念常归清静。达了这番消息，不须屈体劳形。灵台皎洁胜冰轮。照破无明种性。  ,[],False,0.022365570068359375
,念念无明快点更新啊[开学季][开学季] ,[],False,0.1398097276687622
,你真的很会躲，躲开了我的所有VIP。  ,[],False,0.3736855983734131
,"
啊  要等一周
马上要虐了
想看虐的
加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更加更@网剧念念无明  ",[],False,0.23483163118362427
,我真的太喜欢念念无明的设定了 ,[],False,0.01118934154510498
,念念无明太上头了 明面小白兔私底下却是大灰狼，这种强强联合的剧情我爱看！念念无明  http://t.cn/A66YZUJM ,[],False,0.20478850603103638
,"一口气看完十集/15分钟一集的土狗剧
emmmmmmmm……真香[允悲] ",[],False,0.06274306774139404
,念念无明还挺好看的 ,[],False,0.03448241949081421
,看完猎罪图鉴，看影帝的公主，现在更新到不喜欢的剧情了，开始看念念无明嘿嘿嘿，这个剧情不错！ ,[],False,0.00625300407409668
,"#网剧念念无明[超话]# @网剧念念无明 「暗卫指挥使x江湖女镖人」这个设定也太带感了吧！真的超级好看的[打call]
“我既答应娶她，定会不离不弃，护她终生”[害羞] ",[],False,0.025615334510803223
,"念念无明第一集的时候：怎么男女主都是整容脸有点看不下去了，不过比较短还是看完好了
念念无明第二集：磕……死……我……了…… ",[],False,0.08405321836471558
,姐妹们都去看念念无明，无脑小甜剧，一集10分钟，目前更新到第10集[举手]女主表面是成衣坊坊主其实是杀手，男主表面是郎中其实是暗卫指挥使，两个人都以为对方是普通人就一直小心翼翼隐藏身份怕吓到对方，开局就是马上结婚甜甜蜜蜜差点掉码的戏份哈哈哈哈哈哈哈[舔屏][舔屏][舔屏]现在看到第二集猴猴看，反正真的很适合我这种不带脑子只喜欢傻甜的人[舔屏][舔屏],[],False,0.014455974102020264
,"念念无明真的🉑
服化道不廉价 男女主颜值也过关 剧情设定很有趣 一集十几分钟剧情不拖泥带水 非常适合剧荒找点乐子 值得一看推荐推荐[赞][彩虹屁][彩虹屁] ",[],False,0.008758783340454102
," 每天更新两集行不行[色][色]
我等不及了[苦涩][苦涩]太好看了 ",[],False,0.15178996324539185
, 芒果这个小短剧也太会拍了吧！那个雪中撑伞和面具摊的试探好会啊好会啊 ,['芒'],True,0.10491591691970825
,芒果小短剧念念无明好好看，男女主都是武功高强，一个暗探一个杀手，但是都以为对面的手无缚鸡之力的普通人，然后两个人结婚，婚后极限拉扯[笑而不语]我最近好爱这种表面温润如玉但是却又很有安全感的男主[彩虹屁][彩虹屁][彩虹屁] ,['芒'],True,0.19336330890655518
,念念无明也太搞笑了吧，两人随时都要掉马了 ,[],False,0.1999618411064148
,《念念无明》这种狗血小甜也太对老夫胃口了 ,[],False,0.31522834300994873
,"#网剧念念无明[超话]##古装史密斯夫妇##剧集二创榜# 
【金牌刺客×大内密探】
“我既答应娶她，无论如何都会与她成亲”
歌词排版：感谢七号糖罐子
字素：感谢四两夏肉肉 http://t.cn/A66juBlF ",[],False,0.11259841918945312
,我就想说，谁还没看《念念无明》[抓狂][抓狂][抓狂]太好看了 ,[],False,0.04604685306549072
,#念念无明太上头了#  “因为害怕伤害而拒绝开始  这又何尝不是一种伤害  相思相望不相亲 天为谁春？ http://t.cn/A66jkoX6 ,[],False,0.36788779497146606
," [打call]#剧集二创榜# [doge]#古装史密斯夫妇# 

这来找事儿的人是个大冤种吧。@网剧念念无明 http://t.cn/A66juaAT ",[],False,0.19606029987335205
,好看诶哈哈哈哈哈哈！ ,[],False,0.028881072998046875
,真的好看！！！情节流畅！虽然短但该有的都有！我现在就是在疯狂期待俩人掉马！ ,[],False,0.011896073818206787
,#网剧念念无明[超话]# 一共多少集啊[单身狗]看完了 ,[],False,0.07764524221420288
,"#网剧念念无明[超话]#
加更[抓狂][抓狂][抓狂]不然让我超前点播，不够看[悲伤] ",[],False,0.4061395525932312
,两个人加起来几百个心眼，有话可以说开不要互捅呀。 ,[],False,0.4590672254562378
,念念无明太上头了 属实被互藏八百个心眼子的双强人设吸引住了！你们不去看我都会很伤心的OK#娱乐综艺##明星日常#  http://t.cn/A66jmmvK ,[],False,0.37675875425338745
,"《念念无明》
女主是赘婿里面那个花魁呀，里面镜头转场拍得很漂亮！好好看哦，去看去看 ",[],False,0.006394743919372559
,超好看，入不亏 ,[],False,0.015643656253814697
,胡丹丹在《念念无明》中的古装造型好🉑，演的司小念这一角色也好带感，狠狠地期待接下来的剧情#胡丹丹念念无明# ,[],False,0.008641600608825684
,念念无明太上头了 势均力敌又互相猜测的小戏码，我是真的爱看啊#娱乐综艺##明星日常#  http://t.cn/A66jmnvx ,[],False,0.0809776782989502
,"
刺客❌暗卫的故事
超级好看,极限反转
两人心眼子得有一千八百个
就是不够看哇
这周就要掉马开虐了[泪] ",[],False,0.011143147945404053
,这个质量真的还不错 剧情紧凑 挺下饭 ,[],False,0.008772671222686768
,#芒果tv# 本来前天会员过期了，大侦探三周不播于是我发誓不再充会员🙃，结果今天又为了 充了一个月，我是土狗[送花花]，我就爱看土偶剧呜呜🙏 ,['芒'],True,0.2784386873245239
