ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
发布于 广东,"很开心能来长沙参加微博超级红人节，超多帅哥美女齐聚，现场氛围感拉满～真的是太养眼啦叭～～

本次微博超级红人节，硬核实力派和高颜值🚗 广汽本田全新缤智作为展车可谓人气爆棚，车型外观简美，线条流畅大气，完全满足了我对梦中情车的所有幻想～
 
      超级温柔梦幻的藤花紫色 ，散发着春日生命力的气息，简直就是为女孩子量身定做的！通透简美的外观，简约大气，充满未来科技感。车身的线条设计让整辆车更加立体，座椅也是非常舒适，对我们这种新手司机也很友好哟～
 
    全新缤智内饰部分，各按键易操作且便利，基本上一次就能上手，还有全景玻璃天幕，夏天既能享受沐浴阳光，又不用畏惧被阳光炙烤，可真是是女孩子们的最爱，拍照巨巨巨好看！
   不愧是我的dream car 🚗 
广汽Honda 全新缤智 我心里的number one🫡  #广汽Honda全新缤智# #超级红人节# #超级红人节现场视频#",['长沙'],True,0.006327390670776367
,"美文推荐——《它来了》

21网媒1 苏健敏

        月上树梢，它来了，没有任何的征兆。我趴在桌子上，胸口闷闷的，呼吸不过来。
“放过我吧……”我喘着大气。
        它不说话，用行动告诉我，我逃不掉的。
身体不由自主地颤抖，整个人都昏昏沉沉的，我哭得更厉害了。眼泪在这个时候最不值钱。我满脸通红，鼻涕糊满了整个鼻腔。我试图止泪，学着电视剧里的样子仰着头，可眼泪啊，就是不听话，一颗一颗地往下滚。
是不是泡在水里会好受点？当窒息感袭来，我猛地抬头，不行！不行！我得起来。我好累啊，脑袋好晕好痛。要去睡觉！对，是这样。我躺在床上，翻来覆去。欧，天啊，睡不着，脑袋嗡嗡作响。“嗡嗡嗡……”别吵了，别吵了！好烦好烦！
        叩叩叩……是谁？是谁在敲门？我立刻起身，趴在房门上听。是它吗？没有动静，我继续趴在房门上，怕是要听出个洞来！哦，它一直在啊！
        嘻嘻嘻……又是谁在笑？又是它！拜托，别再来找我了，我还不够狼狈吗？我再次回到床上，在此之前，我把房间里的灯全开，这下安全了！哈哈，终于能睡着了。“老师刚才讲了啥？”“哈？你说什么？我不知道。”
又一节课过去，我做了什么？不清楚。上什么课？英语课啊，笨！对！是英语课。我怎么连什么内容都不记得了，怎么那么蠢！
“你最近上课怎么恍恍惚惚的？”老师问我。我顿了一会儿， “我，我不知道……”突然好难过，我好想哭，好像也没经历什么伤心的事，但眼泪就是止不住地往下掉。它又来了。
课桌上的圆规向我走来，然后在我的手臂上留下一条条血痕。真爽！是它在叫嚣，是它在呐喊：你被我臣服啦！
        “你在干什么！”同桌吼住我，并拍掉我的手。同学又在讨论事情，但他们说的好小声，我听不见，真郁闷……他们三四个围在一起，好似分享什么惊天大事。有人的眼神是不是往外瞟，神神秘秘的。
        叮！一声警钟在我脑袋里敲响。他瞟向我了！他们不会在说我的坏话吧！怎么办？我最怕被别人说坏话了！是我做了什么事情让他们不高兴了吗？我和他们几乎没有接触啊！他们也是道听途说的吗？谣言不可信啊！真是越想越生气，竟有去摔东西的冲动……不行，我要理智，要克制自己！不要被它困扰。
        感觉大脑里的神经在蠕动，又似尖刺，一抽一抽。“爸，妈，我头好痛！”“你是不是又熬夜了？说过多少次，不要熬夜，不要熬夜！对身体不好。”爸爸唠叨道。不是的，不是这样的，是它来了，是它来了！它让我四肢无力，脑袋沉闷。真的很讨厌被支配的感觉，想到这，我又哭了。越来越凶猛，越来越凶猛。我把头埋在怀里，试图去躲避。为什么要这样对我！是我做错了什么事吗？我没有杀害过任何人啊！我的人生还不够悲惨吗？
        它又来了。我悄悄地拿了把美工刀，试图用其来赶走它。知道双手都血淋淋的，染红了我的衣服，新的划痕附在旧划痕上，血争抢般往外涌。根根刺痛仿佛在无声召唤：你逃不出我的手掌心的！
        不知不觉，我走到了天台，俯视脚下，感觉一切都不重要了。
        “呜呜呜……放过我吧，结束游戏，好吗？”风在我脚边吹过，萧萧瑟瑟。世界好安静，我在边缘徘徊，犹犹豫豫。跳下去会不会很痛？我的脑袋能爆浆吗？最好给我个面目全非，这样做鬼也能吓吓人。有一阵风吹来，我抬起脚步，一瞬间，天旋地转。
         我再次睁开眼，眼前是白花花的天花板。“它走了吗？”“嗯？谁走了？”心理医生问。“哦，没事。”“你回去好好休息，有什么事情就给我打电话。”“嗯，知道了。”医生又找妈妈谈话了。妈妈是哭着出来的。我问她怎么啦，她说：“是妈妈对不起你，是妈妈对不起你……”
        真奇怪。
        妈妈翻出我写的日记，是写给它的，内容很血腥。
        “是你写的吗？”妈妈又哭了。
        我有点害怕，于是撒谎道：“不是我写的，不是我写的！”我边说边摇头。
        妈妈知道是我写的！她问我，只不过想骗骗自己。
        欧，对了，它是谁？它是抑郁症伴随着的神经衰弱。
http://t.cn/A66Y21am",[],False,NA
,"如果选一个最能代表学校文化的场所，那我必选操场吧。
晚上下班回来正吃着中午做剩下的焖面，班上的一位女学生推门进来，说赵老师今天开放堂食了，一起去吃小火锅吧，于是放下手里的饭下了楼。问她今天怎么突然找老师吃饭，她说心情不好。问到原因，她说是和男朋友吵架了（她的男朋友也是班上的一位同学），她说完原因，我感叹道青春真好，连吵吵闹闹都这么可爱，无非就是他想见她，而她正好没洗脸怕他嫌弃，最后他生气了。不禁也想到了自己大学和当时男朋友的种种，觉得稚嫩又单纯，永远值得怀念。
后来男同学给她打视频，看他拉着脸等着被哄，突然看到赵老师入镜，立刻笑嘻嘻的说老师你怎么在啊，我说来吧，一起吃点。过来吃完后一起去往女生宿舍的路上，我中途说我去操场消消食，男生送女生去宿舍。[好喜欢]
来到操场，瞬间惊呆了，青春的气息立刻扑面而来。原本以为封校这近一个月的时间里，学生每天过着只吃一顿饭的懒散生活。放眼望去，有奋力奔跑的，或减肥，或健体，或宣泄；有拿着音响唱歌的，杰伦的歌依旧是主场；有跳舞battle的，酷帅酷帅的；有打沙包，踢毽子，打羽毛球的，给自己鼓劲；有练习英语口语的；当然少不了情侣间窃窃私语……有种把自己拉回大学的感觉，沉浸其中。[可爱]
随手拍了几张照片，便要转身离开，身后传来一声“赵老师”，扭头一看，是班上的一位男学生，他惊奇的问道“老师，你怎么在这里呀？”我答到出来走走。寒暄几句以后他说赵老师再见，便离开。原来和学生见面已经是在四周以前了，甚是想念。[心]
回来看到小明明下午送来的百合，被感动。[爱你]
明天是清明假期的第一天也是最后一天。又有了自己可安排的时间。[憧憬]
每一天的生活都很充实也充满惊喜。[送花花]",[],False,NA
发布于 广东,@香港電影金像獎HKFA @小弟王晶 金像奖开始啦～#香港电影金像奖##香港电影金像奖#  http://t.cn/A6NcsaoW ,[],False,0.10579866170883179
发布于 浙江,兄弟呀，干啥呢，你们刮的痧快好了[笑cry]#极限挑战# http://t.cn/A6NVvkGk ,[],False,0.37495267391204834
,"我小朋友今天上课说，老师，你这节课太有价值了，解决了一直以来困扰我的问题。还一直说，早点找我就好了。

我心想，这倒也不一定，再早一点，我也还小，还没有现在这么厉害呢~~[哈哈]

今天上课讲得超级多。让小朋友体验到了神奇的写作口语瞬间造句。
我给她讲了英语这个语言和思维到底怎么回事。还把辩证唯物主义讲了一下。哈哈哈哈~
我说我比较喜欢讲来龙去脉，从哪儿来，到何处去。她表示全都听懂了。表示我讲得非常清楚，都知道该怎么操作了。

我还比较喜欢告诉学生什么是简单方案，到什么节点会有什么状态，让她有目标和路径可循。

小朋友问我为啥不录视频课，我说录视频课这些有趣的内容就少一半，我就不敢这么讲了。就要走别的路线了。哈哈~~

这确实是我最喜欢的讲法，学生问什么我就回答什么，不管我准备没有，我都能即兴发挥，因为我日日夜夜都在思考这些。

#小仙女的英语课##雅思[超话]#",[],False,0.009689509868621826
,让英语老师崩溃的瞬间！英语老师可能都得有高XY吧？看得我都开始急了！哈哈哈[笑哈哈] http://t.cn/A66jk2Fk ,[],False,0.12847405672073364
发布于 北京,☀️ ,[],False,0.038591861724853516
,我们的读后续写分数让老师感动到哭泣[送花花][送花花]（总分25分，我们班平均分7分[送花花][送花花]） ,[],False,0.12384915351867676
发布于 上海,"#2023KPL春季赛#

重庆狼队 vs 济南RW侠 3:2

赢了棒棒，但还是要好好复盘哦🐺🐺
（吓四了吓四了😭🐺🐺打得不是很好但赢了真好😭）
#狼队王者荣耀[超话]# ","['济南', '重庆']",True,0.22694259881973267
