ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,【罚！】近日，江苏淮安警方接警称，有多名男子深夜在一封闭路段上飙车，还拍视频发到网上。根据视频中的线索，民警很快锁定了几名车主。经查，他们是一个车友群的成员，由于疫情期间大部分娱乐场所已停业，他们便相约飙车聊以慰藉，其中3辆车还涉嫌非法改装。随后，几名涉事车主来到交警大队接受处罚，并写下检讨书。http://t.cn/A66YLVgu,"['江苏', '淮安']",True,0.4012300372123718
,【罚！】近日，淮安警方接警称，有多名男子深夜在一封闭路段上飙车，还拍视频发到网上。根据视频中的线索，民警很快锁定了几名车主。经查，他们是一个车友群的成员，由于疫情期间大部分娱乐场所已停业，他们便相约飙车聊以慰藉，其中3辆车还涉嫌非法改装。随后，几名涉事车主来到交警大队接受处罚，并写下检讨书。http://t.cn/A66YLVgu,['淮安'],True,0.403711199760437
,【罚！】近日，江苏淮安警方接警称，有多名男子深夜在一封闭路段上飙车，还拍视频发到网上。根据视频中的线索，民警很快锁定了几名车主。经查，他们是一个车友群的成员，由于疫情期间大部分娱乐场所已停业，他们便相约飙车聊以慰藉，其中3辆车还涉嫌非法改装。随后，几名涉事车主来到交警大队接受处罚，并写下检讨书。http://t.cn/A66YLVgu,"['江苏', '淮安']",True,0.4012300372123718
,【罚！】近日，淮安警方接警称，有多名男子深夜在一封闭路段上飙车，还拍视频发到网上。根据视频中的线索，民警很快锁定了几名车主。经查，他们是一个车友群的成员，由于疫情期间大部分娱乐场所已停业，他们便相约飙车聊以慰藉，其中3辆车还涉嫌非法改装。随后，几名涉事车主来到交警大队接受处罚，并写下检讨书。 http://t.cn/A66YLVgu,['淮安'],True,0.403711199760437
,【罚！】近日，淮安警方接警称，有多名男子深夜在一封闭路段上飙车，还拍视频发到网上。根据视频中的线索，民警很快锁定了几名车主。经查，他们是一个车友群的成员，由于疫情期间大部分娱乐场所已停业，他们便相约飙车聊以慰藉，其中3辆车还涉嫌非法改装。随后，几名涉事车主来到交警大队接受处罚，并写下检讨书。（荔枝新闻） http://t.cn/A66YLVgu,['淮安'],True,0.3997047543525696
," 
意人大多是对客户童叟无欺的经营者

正财靠的是辛苦积累所得，为人虽富于常人但却不会太大方

注重事情的实际，对人现用现交，以家庭为重

十分珍爱自己的妻子，好丈夫。正财太重就会不思进取、患得患失、好逸恶劳 ",[],False,0.08039873838424683
,【罚！#多名男子疫情期间嫌无聊相约深夜飙车#】据@荔枝新闻  报道：近日，淮安警方接警称，有多名男子深夜在一封闭路段上飙车，还拍视频发到网上。根据视频中的线索，民警很快锁定了几名车主。经查，他们是一个车友群的成员，由于疫情期间大部分娱乐场所已停业，他们便相约飙车聊以慰藉，其中3辆车还涉嫌非法改装。随后，几名涉事车主来到交警大队接受处罚，并写下检讨书。http://t.cn/A66YLVgu,['淮安'],True,0.37781625986099243
,"疫情期间车少路宽？[喵喵][喵喵]多名男子相约飙车“炸街”，结果被抓了吧[哼][哼]

#鲁团分享# （牛视频） http://t.cn/A66Ys0Jb ",[],False,0.3465990424156189
,"【领克大战凯迪拉克！多名男子嫌疫情期间无聊深夜飙车】近日，淮安警方接警称，有多名男子深夜在一封闭路段上飙车，还拍视频发到网上。从视频中来看，有领克03及其它车辆“挑战”凯迪拉克，多车相继进行加速比赛，不过这些车是在公开道路上“比赛”，会给自己和他人带来安全隐患。

根据视频中的线索，民警很快锁定了几名车主。经查，他们是一个车友群的成员，由于疫情期间大部分娱乐场所已停业，他们便相约飙车以聊慰藉，其中3辆车还涉嫌非法改装。随后，他们来到交警大队接受处罚，并写下检讨书。对于涉嫌违法改装的车辆，民警责令他们恢复为原状。http://t.cn/A66YLVgu",['淮安'],True,0.32432758808135986
,【罚！#多名男子疫情期间嫌无聊相约深夜飙车#】据@荔枝新闻  报道：近日，淮安警方接警称，有多名男子深夜在一封闭路段上飙车，还拍视频发到网上。根据视频中的线索，民警很快锁定了几名车主。经查，他们是一个车友群的成员，由于疫情期间大部分娱乐场所已停业，他们便相约飙车聊以慰藉，其中3辆车还涉嫌非法改装。随后，几名涉事车主来到交警大队接受处罚，并写下检讨书。http://t.cn/A66YLVgu,['淮安'],True,0.37781625986099243
