ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,"清明节记录🌿🌿☔
1⃣第一天洗完车就下雨
2⃣第二天赶着去看牙齿，补了3颗虫牙拔2颗智齿，没有想象中痛但是连吃2天稀饭我已经要虚脱了，总之就是非常后悔拔牙之前没有吃顿火锅[怒]
心心念念的笋子到货坏了好多，果然只有第一次吃才好吃

3⃣第三天大雾天成都和早熟的樱桃，好酸牙齿吃几颗不敢吃了
在新盒子里叠猫猫头＆抱着玩具鸟角度清秀的泡哥",['成都'],True,0.027844548225402832
发布于 四川,"#狗子都要被馋哭了# 

哈哈哈哈哈哈哈快给它吃一口吧....狗子都要被馋哭了 http://t.cn/A6NVhi5b ",[],False,0.3262699246406555
发布于 北京,"【#律师解读杂技女演员坠亡事件#】#律师称女演员坠亡公司要担主责或全职# 4月15日，安徽宿州。一名女杂技演员在蒿沟镇表演时从高空坠落。16日，九派新闻联系上蒿沟镇派出所，工作人员称事件调查中，相关方正在与其家属协商赔偿方案。

据报道，演艺公司一位王姓负责人告诉记者，演员表演经验丰富，但事发前二人正在闹脾气。针对此事，北京盈科(合肥)律师事务所毛成战律师认为，首先要看女演员与演艺公司之间的关系，如果双方是劳动关系，即用人单位对劳动者具有用工管理权，双方之间形成人身及经济上的从属关系。女演员家属可以向人力资源和社会保障局申请工伤认定，相关赔偿由工伤保险予以赔付，演艺公司未缴纳工伤保险的，相关赔偿由演艺公司承担。

如果双方是劳务关系，即双方是平等的民事权利义务关系，劳动者提供劳务服务，用人单位支付劳务报酬，彼此之间只体现财产关系，不存在行政隶属关系。具有“临时性、短期性、一次性”等特点。此时女演员属于提供劳务者，在提供劳务过程中遭受损害，根据《民法典》1192条规定，提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。

本案女演员坠亡事故发生的原因还有待调查，但是根据目击者称现场没有急救人员，也没有应急措施，说明演艺公司没有尽到安全防护义务，可以大致判断演艺公司至少要承担主要甚至全部的责任。（九派新闻）#坠亡女演员丈夫否认吵架不系安全扣#

你觉得责任在谁？ http://t.cn/A6NVhvhb","['北京', '宿州', '安徽', '合肥']",True,NA
,#成都市区惊现壮观云海# 4月5日清晨7点左右，一扫小长假前两天的连续阴雨，今晨，阳光洒满大地，一场极为罕见的云海场景在成都市区上演。连续阴雨后遇上阳光明媚，容易在短时间形成层层云雾。当太阳从云雾之上缓缓升起，城市被云雾包裹，高楼大厦若隐若现，远处的雪山连绵不断，清晰可见，自然与城市和谐融为一体，整个场景如梦如幻，雄伟壮观，让人震撼无比。  http://t.cn/A66YYbj3,['成都'],True,0.26926183700561523
,【未来三天阳光伴 气温升高有暖意】今日早间大雾来，午后也有阳光到，目前天空又以云层为主。不过未来三天可以阳光相伴哟！预计今晚到明天白天多云，气温8～23℃；随后两天天气更好，7日白天能“间”晴天，日最高气温27℃。8日白天阳光持续，这最高气温再升一度达到28℃。 ,[],False,0.06874841451644897
,"#饺通热闻# ☁️#成都市区惊现壮观云海# 

       4月5日#清明节#清晨7点左右，一扫小长假前两天的连续阴雨，今晨，阳光洒满大地，一场极为罕见的云海场景在成都市区上演。连续阴雨后遇上阳光明媚，容易在短时间形成层层云雾。当太阳从云雾之上缓缓升起，城市被云雾包裹，高楼大厦若隐若现，远处的雪山连绵不断，清晰可见，自然与城市和谐融为一体，整个场景如梦如幻，雄伟壮观，让人震撼无比。  http://t.cn/A66YYbj3
（via 锦观新闻）",['成都'],True,0.22204333543777466
, 今晨成都，一打开窗就感觉仙气飘飘，如临仙界，已开启修仙模式。[笑cry]  http://t.cn/A66YQdYX ,['成都'],True,0.11897307634353638
,【如梦如幻！#成都市区惊现壮观云海# [憧憬]】4月5日#清明节#清晨7点左右，一扫小长假前两天的连续阴雨，今晨，阳光洒满大地，一场极为罕见的云海场景在成都市区上演。连续阴雨后遇上阳光明媚，容易在短时间形成层层云雾。当太阳从云雾之上缓缓升起，城市被云雾包裹，高楼大厦若隐若现，远处的雪山连绵不断，清晰可见，自然与城市和谐融为一体，整个场景如梦如幻，雄伟壮观，让人震撼无比。 http://t.cn/A66YYbj3,['成都'],True,0.09938377141952515
,第一次用上我的烤箱，然后发现不知道我妈把菜单贴纸弄到哪里了，还好之前发了微博记录，一些个碎碎念的作用。1点睡，4点40被我姐的闹钟弄醒，7点半才睡着，难受，结果成都大雾，✈️延误到10点才飞。领导问我还去公司吗？我：要去。内心：上班如上坟，祭奠我逝去的青春，青春有几年，上班占几年。 ,['成都'],True,0.22884947061538696
,【#成都气象发布大雾橙色预警信号#】#成都城市服务台#成都市气象台4月5日7时25分发布第4号大雾橙色预警信号：目前成都东部新区、锦江区、青羊区、武侯区、成华区、金牛区和成都高新区的大部分镇（街道）已经出现能见度小于200米的大雾天气，预计未来6小时成都市上述地区大雾天气持续，请注意大雾天气带来的不利影响。@成都气象,['成都'],True,0.3549231290817261
,#春日下的成都# 今晨，成都大雾，能见度极低，犹如置身仙境！你们感受下……[doge][doge][doge]  http://t.cn/A66YpBsL ,['成都'],True,0.4257078766822815
,#成都清明大雾#仙雾缭绕，阳光普照🍃  ,['成都'],True,0.3521272540092468
,【如梦如幻！#成都市区惊现壮观云海# [憧憬]】4月5日#清明节#清晨7点左右，一扫小长假前两天的连续阴雨，今晨，阳光洒满大地，一场极为罕见的云海场景在成都市区上演。连续阴雨后遇上阳光明媚，容易在短时间形成层层云雾。当太阳从云雾之上缓缓升起，城市被云雾包裹，高楼大厦若隐若现，远处的雪山连绵不断，清晰可见，自然与城市和谐融为一体，整个场景如梦如幻却又雄伟壮观，让人震撼无比。 （锦观新闻）http://t.cn/A66YYbj3,['成都'],True,0.15407699346542358
,【如梦如幻！#成都市区惊现壮观云海# [憧憬]】4月5日#清明节#清晨7点左右，一扫小长假前两天的连续阴雨，今晨，阳光洒满大地，一场极为罕见的云海场景在成都市区上演。连续阴雨后遇上阳光明媚，容易在短时间形成层层云雾。当太阳从云雾之上缓缓升起，城市被云雾包裹，高楼大厦若隐若现，远处的雪山连绵不断，清晰可见，自然与城市和谐融为一体，整个场景如梦如幻却又雄伟壮观，让人震撼无比。  http://t.cn/A66YYbj3(@锦观新闻 ),['成都'],True,0.1503448486328125
