ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,#晚安青羊# 你知道吗？[可怜][可怜][可怜]你每天晚上能够睡多久，又是多少点睡呢？一些小伙伴可能是因为工作原因不得不晚睡，还有一些小伙伴是因为看手机等导致了按照晚睡，大家还是要尽量早点休息，照顾好自己的身体！熬夜会导致记忆力下降，引发焦虑、抑郁，还可能患上阿尔茨海默病，所以能早点睡就早点睡哦！晚安！ http://t.cn/A66Y5wfx,[],False,0.3562360405921936
,睡眠不足5小时更容易引发癌症（上）Cheating Ourselves of Sleep #LearnAndRecord# #看新闻学英语# #英语学习笔记# http://t.cn/A66T2dIp ,[],False,0.45114535093307495
,【#睡眠出现哪些问题就该就医了# 来看这三点】睡眠障碍是一个广义概念，睡眠障碍通俗地讲可以分为睡不着、睡不醒、睡不好。当你出现失眠、睡前腿部不适、睡觉打鼾、梦游、睡惊等等，说明你很有可能是出现睡眠障碍了。#哪些原因容易引发睡眠障碍# 北京大学国际医院睡眠中心主治医师高莹卉提示， 日间功能是否受到影响，是判断睡眠问题严重与否的重要指标。你对自己的睡眠情况有数吗？收藏了解↓↓↓  http://t.cn/A66YWgNT,['北京'],True,0.13795548677444458
,困死了[困] ,[],False,0.5733526349067688
,睡眠不足5小时更容易引发癌症 ,[],False,0.5192669630050659
,【熬夜、失眠、饮食不规律，#年轻人成保健品消费主力#】我国有8成的年轻人会经常熬夜，每6个人里就有1个人被脱发困扰。与此同时， 养生已成为现在年轻人的生活态度，保温杯、蜂蜜、枸杞、养生茶成为标配，在缓解压力、增强免疫力、保护眼睛、熬夜必备等保健品市场中，年轻人成为消费主力。http://t.cn/A666OMPs,[],False,0.13068240880966187
,发布了头条文章：《2022年出生的的男宝宝起名改名，好听的带“凯”字的男孩名字》 #取名# #如何评价GAI改编的玫瑰少年#   http://t.cn/A66T2oos ,[],False,0.10828220844268799
,【5个让你的睡眠变得更好的技巧！】！想要第二天醒来精神饱满，充满正能量，充足的睡眠是关键，如果想要睡个好觉，这5个生活技巧必不可少！ 马住！#无锡微科普#（via.知识炸了）http://t.cn/AiRtp1Dc ,['无锡'],True,0.037759363651275635
,真的吗[泪]最近都一点多睡七点多就起了 ,[],False,0.6589165925979614
,#未来中国# 你是否认为“睡什么睡起来嗨”的习惯并不会对身体造成伤害？科学青年、知名科普up主唐骋@城主鬼谷藏龙 分享，人在睡眠时的大脑甚至比在清醒时更加活跃。这是因为大脑在清理有害垃圾，同时也在修复受损的DNA。如果人一天的睡眠不足5小时，不仅会导致记忆力下降，还会显著增长神经退行性疾病和心脑血管疾病的发病率，甚至会提高多种患癌风险。http://t.cn/A66Y2OHg,[],False,0.19120484590530396
,【#睡眠出现哪些问题就该就医了# 来看这三点】睡眠障碍是一个广义概念，睡眠障碍通俗地讲可以分为睡不着、睡不醒、睡不好。当你出现失眠、睡前腿部不适、睡觉打鼾、梦游、睡惊等等，说明你很有可能是出现睡眠障碍了。#哪些原因容易引发睡眠障碍# 北京大学国际医院睡眠中心主治医师高莹卉提示， 日间功能是否受到影响，是判断睡眠问题严重与否的重要指标。你对自己的睡眠情况有数吗？收藏了解↓↓↓  http://t.cn/A66YWgNT http://t.cn/A66TPLRo,['北京'],True,0.14644795656204224
,完球了我 ,[],False,0.9041711688041687
,【5个让你的睡眠变得更好的技巧！】！想要第二天醒来精神饱满，充满正能量，充足的睡眠是关键，如果想要睡个好觉，这5个生活技巧必不可少！ 马住！#晚安# http://t.cn/AiRtp1Dc ,[],False,0.02232372760772705
,"
现在是咋咋都不安全呗[揣手] ",[],False,0.5420229434967041
