ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,据上海市邮政管理局消息：4月4日晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从上海市公布的信息看，截至目前我们未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。上海市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。,['上海'],True,0.1275407075881958
,#法治中国#【】#上海辟谣疫情快速传播来源是快递#据上海市邮政管理局消息：4月4日晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从本市公布的信息看，截至目前我们未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。本市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。#关注新冠肺炎#,['上海'],True,0.4269273281097412
,"
最近造谣的频率是不是太高了 ",[],False,0.05638545751571655
,【】#上海辟谣疫情快速传播来源是快递#据上海市邮政管理局消息：4月4日晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从本市公布的信息看，截至目前我们未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。本市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。#关注新冠肺炎#,['上海'],True,0.2931264638900757
,"
上海有关领导，这次疫情，根本在哪里？政策再好，执行力不行，搞得这么乱～ ",['上海'],True,0.11320358514785767
,突然想到了战长沙中的文夕大火，姐夫拍着胸脯向一众商家保证，不会放火烧长沙      挣扎在真相与谎言之间太累 ,['长沙'],True,0.23536449670791626
,#上海辟谣疫情快速传播来源是快递# 上海市邮政管理局4月5日通报：4月4日晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从本市公布的信息看，截至目前我们未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。本市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。,['上海'],True,0.34592360258102417
,【】#上海辟谣疫情快速传播来源是快递#据上海市邮政管理局消息：4月4日晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从本市公布的信息看，截至目前我们未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。本市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。#关注新冠肺炎#,['上海'],True,0.2931264638900757
,【】#上海辟谣疫情快速传播来源是快递#据上海市邮政管理局消息：4月4日晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从本市公布的信息看，截至目前我们未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。本市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。#关注新冠肺炎#,['上海'],True,0.2931264638900757
,#时空中的绘旅人[超话]# ,[],False,0.12258690595626831
,【】#上海辟谣疫情快速传播来源是快递#据上海市邮政管理局消息：4月4日晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从本市公布的信息看，截至目前我们未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。本市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。#关注新冠肺炎#,['上海'],True,0.2931264638900757
,那些天天造谣的人，能干点正经事吗 ,[],False,0.33908408880233765
发布于 湖南,听我说谢谢你们…#极限挑战# http://t.cn/A6NV73xL ,[],False,0.38966554403305054
发布于 浙江,只能说说唱演出的门槛越来越低了，乌烟瘴气的饭圈厂牌，连代表作都唱不好。努力或许不会让别人认可，但却能让自己自豪。 http://t.cn/A6NV7flj ,[],False,0.17782258987426758
发布于 广东,在长沙每次打开外卖都会惊呼，太香了，太合我胃口了（大睿睿吃沙拉 ,['长沙'],True,0.008849501609802246
发布于 浙江,"全体起立！我们尾号6208！上星首秀！
感谢东方卫视！感谢极限挑战！感谢节目组！
#H-严浩翔[音乐]# #极限挑战# 
http://t.cn/A6NVhpkr ",['东方'],True,0.05263864994049072
发布于 浙江,"4月日常分享🌿天气好好 呀～
       🧚‍♀️试了条仙女裙 好看
       ☁️天气好好呀
       🍪红丝绒好评
       🍑桃子冰美式好喝
       🍞肉桂卷赞
      🥣买了好看的碗餐具准备送大家
      🥥天气一热就想喝椰子！！
      🏀🏀🏀 ",[],False,0.011968135833740234
,#官方回应上海疫情快速传播来源是快递#【上海市邮政管理局：网上传言#上海疫情快速传播来源是快递消息不实#】5日，总台央视记者从上海市邮政管理局获悉，昨晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从上海市公布的信息看，截至目前该局未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。上海市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。#上海辟谣所有企业暂停生产与配送#（央视新闻）,['上海'],True,0.2811827063560486
,【】#上海辟谣疫情快速传播来源是快递#据上海市邮政管理局消息：4月4日晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从本市公布的信息看，截至目前我们未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。本市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。（中国新闻网）,['上海'],True,0.2295217514038086
,【网传“快递员成片阳性”？上海市邮政管理局：不实】4月4日晚网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”。4月5日，从上海市邮政管理局获悉，此消息不实。从上海公布的信息看，截至目前未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。 (澎湃新闻) ,['上海'],True,0.12335914373397827
,一天天的，除了造谣没别的事儿可干了。还要消耗公共资源辟谣。。。抓掉一批就老实了 ,[],False,0.25459718704223633
,【】#上海辟谣疫情快速传播来源是快递#据上海市邮政管理局消息：4月4日晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从本市公布的信息看，截至目前我们未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。本市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。#关注新冠肺炎#,['上海'],True,0.2931264638900757
,玛德，又制造恐慌[揣手] ,[],False,0.25999343395233154
,"
这个应该确实是谣言，特殊时期大家都安分点说点有用的吧。  ",[],False,0.22019368410110474
,为什么会有那么多假消息😢 ,[],False,0.07452350854873657
,"防疫也要防谣言。
要警惕别有用心的人利用——
上海这次大规模疫情带节奏。
 ",['上海'],True,0.26520639657974243
,这次疫情造谣的事情好多啊，闹得人心惶惶的 ,[],False,0.26132988929748535
,"
时间是个好东西，是真的假不了，是假的真不了。  ",[],False,0.45922136306762695
,那为什么派出所致电酒店让我们不许点外卖，说骑手感染的很多？解释解释 ,[],False,0.1362764835357666
,我们居委会的还都相信了，和志愿者说不要帮居民拿快递。[允悲][允悲] ,[],False,0.43188631534576416
,建议所有话题带上（俄罗斯、乌克兰）让那些造谣的1450无处遁形！ ,[],False,0.43925952911376953
,"
谣言❌❌❌❌ ",[],False,0.46999484300613403
,做个人吧 别天天辟谣了 ,[],False,0.4876198172569275
,是不是有点像是文字游戏的意思？快递员和外卖员是一个工种吗？邮政快递和美团外卖是一个东西吗？所以谣言到底造谣的是快递员还是外卖员阳性？那么外卖配送人员目前的情况到底怎么样？  ,[],False,0.05851125717163086
,"
这个谣言我倒是没看到
辟谣倒是chua的一下出来直接高位rs
有这个效率去处理下物资分配的问题好吧 ",[],False,0.3230503797531128
,  上海加油！ ,['上海'],True,0.027842164039611816
,都是网传 网络能不能不散播谣言了 ,[],False,0.2766945958137512
,谣言真的传播的很快，有些人就喜欢传播谣言，借此获得一些所谓的优越感，就你知道，知道的都是假的。 ,[],False,0.25331175327301025
,好的 ,[],False,0.07144045829772949
,等后续 ,[],False,0.41703861951828003
,我的快递卡在上海几天了，啥时候动一动啊[抓狂][抓狂][抓狂] ,['上海'],True,0.4870150685310364
,不信谣，不传谣 ,[],False,0.0987749695777893
,"  
离谱。不信谣不传谣啊[揣手][揣手] ",[],False,0.14066922664642334
,真的要爆粗口了尼玛上海防疫政策，从上海来的人员还是绿码！来我们十八线小城市干啥尼玛的！把人管控好不行吗？！害死人了！ ,['上海'],True,0.018688976764678955
,这个我相信是谣言。因为都半个月不收发快递了[笑哈哈][笑哈哈] ,[],False,0.08531659841537476
,【】#上海辟谣疫情快速传播来源是快递##法姐播报# 据上海市邮政管理局消息：4月4日晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从本市公布的信息看，截至目前我们未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。本市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。,['上海'],True,0.3679964542388916
,好的 ,[],False,0.07144045829772949
,@来去之间 希望新浪做点人，删除谣言，不要造成恐慌 ,[],False,0.4020981788635254
,#阎肃观察[超话]#【】#上海辟谣疫情快速传播来源是快递#据上海市邮政管理局消息：4月4日晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从本市公布的信息看，截至目前我们未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。本市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。#关注新冠肺炎#,['上海'],True,0.46081823110580444
,【】#上海辟谣疫情快速传播来源是快递#据上海市邮政管理局消息：4月4日晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从本市公布的信息看，截至目前我们未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。本市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。（中国新闻网）,['上海'],True,0.2295217514038086
,管你实不实，就想问特么我押着的快递什么时候才送？！！买的好些都是食物，还让不让人老实呆着？！！ ,[],False,0.02553260326385498
,那你把快递外卖恢复啊想，最起码的京东顺丰都没有[怒][怒][怒][怒][怒][怒][怒] ,[],False,0.11019867658615112
,"

周易预测：中药治疗新冠效果如何

我们中国有几大文化瑰宝，一是中医，二是武术，三是周易，当然还有其他的哈，我不列举，现在美国辉瑞出来了特效药，那如果我们的中医在治疗新冠上效果如何呢？好奇吧！

今天就起一卦来看，中医治疗新冠效果会如何？安排

泽雷随

看病自然是取官鬼为病的，这卦起出来，我都心头一笑，官鬼月破空亡，一点力量都招架不住的，所以我个人的观点是中医会对疫情有奇效，或许全球没法解决的问题，中医就能解决的，关注我的朋友，可能会发现，我每次起卦问新冠，都是官鬼临酉金，这也真是巧了，金是最难搞定的东西，因为酉为十二地支中的四中神，为病的时候很难处理，从来没有一卦，有今天这般好！

所以更加肯定了我之前测过的一卦，阴历四月开始全国疫情，就会得到很好控制，中医将会是一个比较好的突破口！拭目以待吧！ ",[],False,0.03169769048690796
,"
希望上海尽快好起来吧🙏🙏🙏 ",['上海'],True,0.34888434410095215
,  各种谣言满天飞，国家能不能好好惩治一下，该抓的抓，该判的判。 ,[],False,0.362479031085968
,【】#上海辟谣疫情快速传播来源是快递#据上海市邮政管理局消息：4月4日晚，网上有传言称“上海疫情快速传播的来源是快递”“快递员成片阳性”，此消息不实。从本市公布的信息看，截至目前我们未收到因收寄邮件快件而造成从业人员和市民感染的病例报告。本市所有邮政快递从业人员目前按疫情防控部门要求进行定期严格的核酸检测和抗原自测，没有网传的所谓“成片阳性”事件发生，没有因进行邮件快件操作导致感染的病例。,['上海'],True,0.2412756085395813
