ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,【】今日清明，上海徐汇，老人家中烧锡箔祭祀，不慎引发火灾被困。现场浓烟滚滚，消防员赶赴灭火同时，冲进浓烟中将老人救出。提示：明火祭祀隐患多，居家防疫期间，更要注意消防安全！ http://t.cn/A66T7ZQK  ,['上海'],True,0.3031989336013794
发布于 广东,在长沙每次打开外卖都会惊呼，太香了，太合我胃口了（大睿睿吃沙拉 ,['长沙'],True,0.008849501609802246
,【#小哥骑行27公里为听障老人送饭菜#  当事人：就是帮个忙 没想过报酬】#当事人回应骑行27公里为听障老人送饭菜# 4月3日晚，上海一名网友在微博上发文称，自己的父亲不能做饭，已经开始吃白米饭了。原来，这位网友的父亲手痛腿痛，手不太能沾水，没办法自己烧菜，而且是听障人士，平时都是网友每周做好菜送过去。但因为疫情，这名网友无法出门，她父亲家附近很多外卖平台也都暂停服务。这位网友家住虹口，老人住在青浦，单程长达27公里。她本来想叫闪送，但加100元小费也没有人接单。万般无奈之下，她想起了前一天给自己家送菜的小哥。没想到小哥立马答应下来，7点下班后接到饭菜，一路疾驰。因为封路，还剩不到三公里时，小哥不得不舍弃电动车，手提两大袋饭菜，走到老人所住的小区。在社区志愿者的接力帮助下，饭菜被成功送到老人家中。这时，已是晚上11点多。等小哥回到家，已是凌晨2点。这名网友要给小哥转钱，但小哥说什么也不肯收下。多个途径转钱无果后，网友为小哥充了200元话费。该网友还表示，等到疫情结束的时候，她还要给小哥送锦旗，并要和小哥一起吃饭。http://t.cn/A66T2KGk http://t.cn/A66TqjC9,['上海'],True,0.26312267780303955
发布于 湖南,听我说谢谢你们…#极限挑战# http://t.cn/A6NV73xL ,[],False,0.38966554403305054
,"【上海杨浦一失明老人两天没饭吃？官方回应】据澎湃新闻报道：近日，网上流传一则紧急求助，称上海市杨浦区控江街道一位七十多岁双目失明的老人，已经没有吃的有两天了，隔着铁门喊饿求助。

4月6日，澎湃新闻记者从杨浦区获悉，该徐姓老人确有视力残疾，但也可以不使用盲棍独自上下楼进出楼道。

老人所在居委会4月3日已将政府发放的爱心蔬菜包送至其家中，由本人收取。4月6日，街道干部、居委干部、楼组长、居民代表到老人家中查看，老人自述4月3日收到的蔬菜礼包已食用了一部分，还有没吃完的，家中目前还有大米、粽子、蔬菜、肉类、鸡蛋等食品和调味料，居委干部查看冰箱确有食品存在，并不存在饿肚子的状况。

对此，派出所民警已上门核实发帖内容，证实发帖人系老人的妹妹徐某，在疫情封控期间从未出门。老人表示从未给妹妹打过电话，妹妹并不了解其真实情况，发帖内容不属实，发帖人已删帖。

而这则误会也引发了邻里互助，一向亲近的邻居由于近日闭门不出误以为真，凌晨在家烧好了热菜热饭，试图紧急给老人送饭。

后续居委干部将进一步加强对老人的关心，安排专人每日上门巡视，了解老人日常生活情况，及时帮助解决其生活需求，同时耐心细致做好沟通解释工作，做好疫情期间的心理疏导。

此外，4月6日，澎湃新闻记者多次拨打该紧急求助中所留的手机号码，一直无人接听。http://t.cn/A66Hb4wk（澎湃新闻客户端）",['上海'],True,NA
,#应急科普#【居家防疫，如何防好家庭的火】近日，。居家防疫期间，用火用电用气增多，消毒用品使用频繁，要时刻注意家庭消防安全！居家防疫如何做好家庭火灾防范？戳视频↓↓@滨州消防 @山东消防 http://t.cn/A666cSJl ,"['滨州', '山东']",True,0.18651235103607178
,"  
艹他妈艹他妈艹他妈啊！
看个屁的热闹啊！
看个热闹搞得又他妈有阳了淦！
40号本来就有人有阳性，这帮老头老太反正也不怕非要看热闹，这下好了吧！45号里也有人阳了！我他妈是真的会骂人啊！淦！ ",[],False,0.9088177680969238
,【】今日清明，上海徐汇，老人家中烧锡箔祭祀，不慎引发火灾被困。现场浓烟滚滚，消防员赶赴灭火同时，冲进浓烟中将老人救出。提示：明火祭祀隐患多，居家防疫期间，更要注意消防安全！http://t.cn/A66T7ZQK ,['上海'],True,0.3031989336013794
,【】今日清明，上海徐汇，老人家中烧锡箔祭祀，不慎引发火灾被困。现场浓烟滚滚，消防员赶赴灭火同时，冲进浓烟中将老人救出。提示：明火祭祀隐患多，居家防疫期间，更要注意消防安全！#蓝v视界# http://t.cn/A66T7ZQK ,['上海'],True,0.2902880311012268
,【】今日清明，上海徐汇，老人家中烧锡箔祭祀，不慎引发火灾被困。现场浓烟滚滚，消防员赶赴灭火同时，冲进浓烟中将老人救出。提示：明火祭祀隐患多，居家防疫期间，更要注意消防安全！http://t.cn/A66T7ZQK ,['上海'],True,0.3031989336013794
,#应急科普#【居家防疫，如何防好家庭的火】#蓝v视界##全民防火 有你有我# 近日，。居家防疫期间，用火用电用气增多，消毒用品使用频繁，要时刻注意家庭消防安全！居家防疫如何做好家庭火灾防范？戳视频↓↓@滨州消防 @山东消防 http://t.cn/A666cSJl ,"['滨州', '山东']",True,0.2777341604232788
,【】今日清明，上海徐汇，老人家中烧锡箔祭祀，不慎引发火灾被困。现场浓烟滚滚，消防员赶赴灭火同时，冲进浓烟中将老人救出。提示：明火祭祀隐患多，居家防疫期间，更要注意消防安全！#蓝v视界#http://t.cn/A66T7ZQK ,['上海'],True,0.2902880311012268
,#应急科普#【居家防疫，如何防好家庭的火】近日，。居家防疫期间，用火用电用气增多，消毒用品使用频繁，要时刻注意家庭消防安全！居家防疫如何做好家庭火灾防范？戳视频↓↓@滨州消防 @山东消防 http://t.cn/A666cSJl ,"['滨州', '山东']",True,0.18651235103607178
,#应急科普#【居家防疫，如何防好家庭的火】近日，。居家防疫期间，用火用电用气增多，消毒用品使用频繁，要时刻注意家庭消防安全！居家防疫如何做好家庭火灾防范？戳视频↓↓@滨州消防 @山东消防 http://t.cn/A666cSJl   ,"['滨州', '山东']",True,0.18651235103607178
,【关注老年人消防安全】老年人作为社会弱势群体，一旦遇到火灾等突发情况，很容易造成人员伤亡，所以加强老年人的日常防火教育非常必要。一定要提醒老人，尤其是独居老人，不在屋内、阳台等处堆放杂物废品，不在家中、楼道等地燃烧纸钱香烛等进行节日祭祀，不卧床抽烟……更多注意事项戳图了解↓  #豫豫小课堂#,[],False,0.16738557815551758
,#应急科普#【居家防疫，如何防好家庭的火】近日，。居家防疫期间，用火用电用气增多，消毒用品使用频繁，要时刻注意家庭消防安全！居家防疫如何做好家庭火灾防范？戳视频↓↓http://t.cn/A666cSJl ,[],False,0.1812261939048767
,【焚香祭祀祈福 切勿“引火上身”】焚香祭祀是许多家庭祭奠亲人、祈福的传统习惯，但缅怀亲人的同时，切不可忽视消防安全，以免酿成火灾。更多祭扫注意事项，戳图了解~  ,[],False,0.07040154933929443
,【】昨日清明，上海徐汇，老人家中烧锡箔祭祀，不慎引发火灾被困。现场浓烟滚滚，消防员赶赴灭火同时，冲进浓烟中将老人救出。提示：明火祭祀隐患多，居家防疫期间，更要注意消防安全！#蓝v视界#http://t.cn/A66T7ZQK ,['上海'],True,0.293748140335083
,【】今日清明，上海徐汇，老人家中烧锡箔祭祀，不慎引发火灾被困。现场浓烟滚滚，消防员赶赴灭火同时，冲进浓烟中将老人救出。提示：明火祭祀隐患多，居家防疫期间，更要注意消防安全！#蓝v视界#http://t.cn/A66T7ZQK ,['上海'],True,0.2902880311012268
,【】今日清明，上海徐汇，老人家中烧锡箔祭祀，不慎引发火灾被困。现场浓烟滚滚，消防员赶赴灭火同时，冲进浓烟中将老人救出。提示：明火祭祀隐患多，居家防疫期间，更要注意消防安全！#蓝v视界# http://t.cn/A66T7ZQK ,['上海'],True,0.2902880311012268
