ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,  啊？？[泪]那我怎么交……哦，我已经不用交作业了[doge] ,[],False,0.3352222442626953
,还以为是网络问题进不去，不过现在催学生交作业也来不及了🙉 ,[],False,0.1733894944190979
,"
我还有一百三十道判断题需要填写
还有数学英语语文作业拍照上传
不修好我真的寝食难安
要不直接下线得了！ ",[],False,0.19308114051818848
发布于 浙江,"全体起立！我们尾号6208！上星首秀！
感谢东方卫视！感谢极限挑战！感谢节目组！
#H-严浩翔[音乐]# #极限挑战# 
http://t.cn/A6NVhpkr ",['东方'],True,0.05263864994049072
发布于 广东,在长沙每次打开外卖都会惊呼，太香了，太合我胃口了（大睿睿吃沙拉 ,['长沙'],True,0.008849501609802246
发布于 北京,"【#律师解读杂技女演员坠亡事件#】#律师称女演员坠亡公司要担主责或全职# 4月15日，安徽宿州。一名女杂技演员在蒿沟镇表演时从高空坠落。16日，九派新闻联系上蒿沟镇派出所，工作人员称事件调查中，相关方正在与其家属协商赔偿方案。

据报道，演艺公司一位王姓负责人告诉记者，演员表演经验丰富，但事发前二人正在闹脾气。针对此事，北京盈科(合肥)律师事务所毛成战律师认为，首先要看女演员与演艺公司之间的关系，如果双方是劳动关系，即用人单位对劳动者具有用工管理权，双方之间形成人身及经济上的从属关系。女演员家属可以向人力资源和社会保障局申请工伤认定，相关赔偿由工伤保险予以赔付，演艺公司未缴纳工伤保险的，相关赔偿由演艺公司承担。

如果双方是劳务关系，即双方是平等的民事权利义务关系，劳动者提供劳务服务，用人单位支付劳务报酬，彼此之间只体现财产关系，不存在行政隶属关系。具有“临时性、短期性、一次性”等特点。此时女演员属于提供劳务者，在提供劳务过程中遭受损害，根据《民法典》1192条规定，提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。

本案女演员坠亡事故发生的原因还有待调查，但是根据目击者称现场没有急救人员，也没有应急措施，说明演艺公司没有尽到安全防护义务，可以大致判断演艺公司至少要承担主要甚至全部的责任。（九派新闻）#坠亡女演员丈夫否认吵架不系安全扣#

你觉得责任在谁？ http://t.cn/A6NVhvhb","['宿州', '合肥', '安徽', '北京']",True,NA
发布于 浙江,"4月日常分享🌿天气好好 呀～
       🧚‍♀️试了条仙女裙 好看
       ☁️天气好好呀
       🍪红丝绒好评
       🍑桃子冰美式好喝
       🍞肉桂卷赞
      🥣买了好看的碗餐具准备送大家
      🥥天气一热就想喝椰子！！
      🏀🏀🏀 ",[],False,0.011968135833740234
发布于 湖南,"感谢微博超级红人节！
长沙真的好玩，下次还会再来。

#超级红人节##超级红人节长沙##人气大咖趴# ",['长沙'],True,0.011589527130126953
发布于 重庆,校庆时没有拍出满意的自拍，就不上交咯，那用视频分享几则校庆趣事吧！ http://t.cn/A6NV7GvW ,[],False,0.4247397780418396
,"【小瑶9分雅思口语•真题演示•第139期•字幕版】 
💛今日演示：雅思口语Part I 高频题！(基础题) 
🧡考官问题:Is there something interesting in your study? 

💚小瑶的雅思口语本月班，正火热报名中。 
❤️报名后立刻领取文本和音频材料，在小瑶的监督下，开始每日交作业、批作业、练习+反馈的复习之路！ 
💚雅思兔小瑶的Wechat：312191555",[],False,0.03253674507141113
发布于 四川,"#狗子都要被馋哭了# 

哈哈哈哈哈哈哈快给它吃一口吧....狗子都要被馋哭了 http://t.cn/A6NVhi5b ",[],False,0.3262699246406555
,"【小瑶9分雅思口语•真题演示•第139期•字幕版】
❤️小瑶为你讲解：
      平淡无奇的句子，到底高分在哪里？✨

💜今日演示：雅思口语Part I 高频题！(基础题)
🧡考官问题:Is there something interesting in your study?
Well, some parts of my study are theoretical and some parts are practical. I have to admit that I found them both fascinating and the most interesting part would be the class where we are called onto the stage to perform in front of the whole class. It is exhilarating to be the one who performs and rewarding to be an audience. That&#39;s the part that I found the most fun.

▲theoretical adj. 理论性的 主题词汇！推荐使用！
▲practical. adj. 实践性的(实用的) 主题词汇！推荐使用！
▲I have to admit 不得不承认 重要地道表达，视频中讲解
▲I found it/someone +adj. 我认为它/某人+形容词 I think的高分替换
▲fascinating adj. 迷人、有趣的 题目中interesting的替换词
▲would be 会是 情态动词，语法加分
▲are called onto the stage 被叫到讲台上 被动态，语法加分
▲perform v. 表演；演示
▲exhilarating adj. 激动人心的 题目中interesting的同类延伸
▲rewarding adj. 有收获的题目中interesting的同类延伸

🧡小瑶的雅思口语本月班，正火热报名中。
💛报名后立刻领取文本和音频材料，在小瑶的监督下，开始每日交作业、批作业、练习+反馈的复习之路！
🧡雅思兔小瑶的Wechat：312191555 http://t.cn/AiBhttAt",[],False,NA
,要么就别修好要么赶紧修好 ,[],False,0.11951839923858643
,我要交作业👉👈 ,[],False,0.33462417125701904
,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑背过去了 ,[],False,0.22448456287384033
,哇塞怎么八点四十五了快点涵瑶你怎么我不叫你你自己都不知道啊八点四十五了快呀怎么了八点四十五了我我也忘记了忘记定闹铃了怎么了迟到了八点四十五了快穿快穿今天不是放假吗今天放假今天星星期一啊嗯放假嘛放三天 ,[],False,0.36619800329208374
,麻烦明天再修好谢谢，好困先睡一觉 ,[],False,0.4345344305038452
,快点修好 ,[],False,0.25534987449645996
,"
原来这个软件这么多人用。。。 ",[],False,0.018282055854797363
,就是说它崩了不能怪我不交作业了 ,[],False,0.32472920417785645
发布于 湖南,听我说谢谢你们…#极限挑战# http://t.cn/A6NV73xL ,[],False,0.38966554403305054
发布于 浙江,只能说说唱演出的门槛越来越低了，乌烟瘴气的饭圈厂牌，连代表作都唱不好。努力或许不会让别人认可，但却能让自己自豪。 http://t.cn/A6NV7flj ,[],False,0.17782258987426758
,原来这个小程序这么多人用啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈 ,[],False,0.01074373722076416
,雨课堂，腾讯会议，钉钉啥时候能一起崩了呢[苦涩][苦涩][苦涩]  ,[],False,0.25611191987991333
,"噗 刚举报完 原来你还能崩
赶紧的我要交作业！！！ ",[],False,0.35429298877716064
,我真的会谢[单身狗]🥀 ,[],False,0.37054741382598877
,我真的栓q 求求你让我把班主任的作业交了好吗[顶][顶][顶] ,[],False,0.35482293367385864
,求求了一直崩着吧 ,[],False,0.13814771175384521
,"
还好我今天没有五年一贯制的课[笑cry] ",[],False,0.07735610008239746
,冲！！！！！ ,[],False,0.27910131216049194
,啊，救命，我一科没交，打算最后交，结果它崩了！！白天英语老师才发完火 ,[],False,0.2570589780807495
,酸Q 那就不交了 也没人跟老师说 ,[],False,0.2900272011756897
,怎么偏偏我们不用了你才崩？[单身狗] ,[],False,0.45073771476745605
,没想到这么多人用。。。。 ,[],False,0.0294034481048584
,谢谢 不用交了[爱你][爱你] ,[],False,0.20465481281280518
,差点搞得我心态崩了🙏🙏 ,[],False,0.10487163066864014
,"
笑死了这也能上热搜  ",[],False,0.462222695350647
,"
还差两万热点值就上热搜榜第五十了家人们加油[doge] ",[],False,0.14380621910095215
,哈哈哈哈哈哈笑死了 ,[],False,0.4348560571670532
,做核酸，健康码崩，好不容易回到家写作业，每日交作业崩 ,[],False,0.24885433912277222
,笑死，每日交作业打不开了第一时间就看微博热搜，果然崩了 ,[],False,0.23085099458694458
,我真的3q 老师还是会想尽办法看到我的作业的哈哈哈哈哈哈哈哈哈哈哈哈哈哈[泪][泪][泪]诡计多端的老师[泪][泪][泪] ,[],False,0.1436542272567749
,我真的服了这个老六了 一大堆作业没交呢 ,[],False,0.4475253224372864
,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我说我怎么交不了作业了，这竟然还上热搜了哈哈哈哈哈哈哈哈哈 ,[],False,0.01458120346069336
,一科还没交呢就崩了[拜拜][拜拜] ,[],False,0.133847177028656
,笑死了这也能上热搜 ,[],False,0.462222695350647
,💢💢💢 ,[],False,0.4570622444152832
,每日交作业 你崩了[哆啦A梦害怕] ,[],False,0.3197903037071228
,我本来只是打算上去看一眼 结果上不去 我干脆不写了[舔屏][舔屏] ,[],False,0.4993465542793274
, 不用交了吧 ,[],False,0.42879486083984375
,怪不得我刚打不开了[苦涩] ,[],False,0.4649224877357483
,还没交作业呢…… ,[],False,0.17926239967346191
,我就说咋打不开了[衰] ,[],False,0.17464816570281982
,我还以为我网不好[跪了] ,[],False,0.1532829999923706
