ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,举报上海杨思医院！医护人员感染新冠！不上报！病区阳性且有基础病患者扛不住死掉进不了太平间！阳性医护人员被分散隔离至今一直未被安排转运！还要求阳性医护人员自愿办理住院手续，那么请问不办理住院手续就让医护人员等死吗？杨思医院是救人的医院还是赚黑心钱的医院？上海抗疫求助#上海市新冠肺炎疫情防控新闻发布会##上海疫情##上海浦东疫情##上海疫情发布会#,['上海'],True,0.7236905097961426
,笑死了，处理了两个小喽啰[二哈] ,[],False,0.41220587491989136
发布于 浙江,"全体起立！我们尾号6208！上星首秀！
感谢东方卫视！感谢极限挑战！感谢节目组！
#H-严浩翔[音乐]# #极限挑战# 
http://t.cn/A6NVhpkr ",['东方'],True,0.05263864994049072
,【石景山通报！这5家企业防疫不力被点名】为全面做好新冠疫情防控工作，促进疫情防控“四方责任”的落实，4月7日，石景山区市场防疫工作组针对区相关行业经营主体疫情防控工作开展检查，检查中发现5家企业未落实疫情防控措施。现将情况通报如下： ,[],False,0.35112959146499634
发布于 湖南,听我说谢谢你们…#极限挑战# http://t.cn/A6NV73xL ,[],False,0.38966554403305054
,"#严防疫情守护开封平安# 【扛牢扛实监督首责 交出疫情防控合格答卷】#上下同心共筑美好开封# 

春光明媚，万物复苏。4月6日，一则振奋人心的消息由杞县新冠肺炎疫情防控指挥部发出：根据国务院联防联控机制有关规定，经专家组综合研判，报请开封市新冠肺炎疫情防控指挥部同意，决定从2022年4月6日12时起，解除杞县域内封控区、管控区和防范区管理。至此，杞县转入疫情常态化防控。

3月21日，杞县出现一例新冠肺炎确诊病例，在市纪委常委会安排部署下，市纪委常委、市监委委员宗永恒带领市县两级纪检监察干部第一时间赶到防疫一线，扛牢扛实监督首责，充分发挥监督保障执行、促进完善发展作用，为迅速圈住封死、捞干扑灭疫情和统筹经济社会发展提供坚强纪法保障。

以上率下：“一条心”筑牢纪律防线

“疫情不解除，坚决不收兵。这是市纪委监委交给我们的任务，也是我们对杞县人民的承诺。”3月21日，宗永恒在疫情防控动员会的一番话感染了众人。

疫情就是命令，防控就是责任，监督就是使命。杞县纪委监委坚决落实属地责任，以“班子成员挂帅+室组地联动”为工作总思路，建立“一把手”负总责，分管领导负专责，党风政风监督室综合统筹，班子成员带队下沉、派驻纪检监察组和乡镇纪委分兵把守的“六位一体”监督体系，开展“交叉式”“推磨式”“嵌入式”“全覆盖”监督检查，全方位织牢疫情防控“监督网”。

“有我在，您放心！”“我是纪检监察干部，越是关键的时刻，越是危险的地方，越是要冲在前面！”这是广大纪检监察干部的战“疫”心声。全县各级纪检监察干部闻令而动，在做好自身防控的同时，切实做到真督真查、严督严查，督促相关部门履职尽责，以实际行动诠释着忠诚与担当。

精准有效：“一盘棋”开展监督检查

疫情防控越严格，民生保障就要越细致。

大蒜作为杞县的特色主导产业，是当地群众增收致富的主要渠道，种植面积常年稳定在70万亩以上。为确保疫情防控和农业生产两不误，宗永恒多次带领市县两级纪检监察干部深入田间地头，摸实情、查问题、找症结。“老乡，你们现在最大的困难是什么，最急需解决的问题是什么？”3月26日，在杞县高阳镇金村，宗永恒向一位群众询问道。

“蒜薹该抽了，价格正是好时候，如果再晚三五天，恐怕损失就大了，现在管控这么严，该咋办呀？”这位群众忧心忡忡地说。

带着老百姓的揪心事、烦心事，当晚，宗永恒与杞县纪委监委相关负责人在县疫情防控调度工作会上提出建议：“疫情防控不能‘一刀切’，要切实解决好农资进村、农民下田、农技入户、农产品销售等问题。”该县疫情防控指挥部进行风险评估后，要求各乡镇根据防范要求，严格有序组织农业生产劳动用工，确保疫情防控、统筹春耕生产。

3月28日，市纪委监委第三监督检查室相关人员来到苏木乡、邢口镇，再次就疫情防控和生产生活问题开展督导检查。当从蒜农处得知蒜薹价格仅2元左右每斤时，较周围县区低了一倍还多，工作人员随即展开调查。

经研判，价格差异的背后是严格封控导致的流通不畅、产销脱节等问题。杞县纪委监委立即督促相关部门加强绿色通行证、电子通行证的推广应用，明确专班专人，做到严审快批；要求各单位发挥“万人助万企”首席服务官作用，与分包联系企业加强联系、精准对接。同时，发挥督导单位点多线长面广的优势，向辖区企业、经销商宣传相关政策。针对郑民高速（杞县站）发生的货车滞留问题，督促相关部门建立“线上提前报备+线下闭环管控”双轨管理机制，全力保障重点企业货物及重要民生保障物资运输。在市县纪委监委的有力推动下，杞县因地制宜出台了一项项便民利民举措，切实做到疫情防控和经济发展两手抓两不误，赢得企业群众的信任和好评。

审慎稳妥：“三张单”强化执纪问责

“圉镇镇天池洼村民苏某民家中大办白事，多人未戴口罩，违反疫情防控政策，造成不良影响。经研究，决定给予天池洼村支部委员张某场党内严重警告处分，给予天池洼村党支部书记李某胡、圉镇镇包村干部袁某松党内警告处分，对圉镇镇党委政府全县通报批评。”3月26日，杞县纪委监委公开通报了1起疫情防控措施落实不力问题，为全市疫情防控工作人员敲响警钟。

杞县纪委监委按照清单管理的方式，对照县疫情防控指挥部工作部署制定《督导要素清单》，根据每日督查情况通报《督查发现问题清单》，县疫情防控指挥部工作根据督查发现问题制定《疫情防控问题责任细化清单整改台账》，真正做到以监督发现问题、以问题督促整改。同时严格落实中央纪委国家监委有关科学精准稳慎有效实施监督的要求，综合运用监督执纪“四种形态”，对出现工作失误但未造成严重后果的党员干部，更多采取批评教育、提醒谈话等方式，让其放下思想包袱，在疫情防控工作中积极作为、作出贡献，让监督执纪问责有尺度、有力度、有温度。

截至目前，在市纪委监委指导下，杞县纪委监委共编发《杞县疫情防控督查工作通报》16期，批评教育85人，责令检查62人，提醒谈话42人，诫勉谈话30人，免职3人，给予党纪政务处分15人。（全媒体记者张李珊）",['开封'],True,NA
,上海通报2起疫情防控不力典型问题，2人被处理http://t.cn/A66QA1zy ,['上海'],True,0.44502735137939453
," 
伤官合杀的人有谋略，有心眼，会深思。七杀的城府让你得罪他以后看不出来

但七杀毕竟是猛虎，老虎屁股摸不得，如果有一天他发了怒，要么就是不想忍准备不顾一切干了，要么就是发现握住你的软肋觉得不需要再忍了[doge] ",[],False,0.05563938617706299
,"  
公关模板：[doge][doge][doge](狗头保命)
此事件发生后，____ 高度重视，立即连夜召开____会议。____立即作出____，要求组织____，妥善处理___，迅速查清____，严肃追究____；立即组织开展_____，进一步做好____，防止_____。目前，____情绪稳定。____深感内疚，自责，痛心。",[],False,0.38584309816360474
,2人被撤职免职  http://t.cn/A66QUqJh ,[],False,0.835136353969574
,[doge]吓死我了，我以为这2后面少了3个0，单日一两万？处罚2个人？笑死。 ,[],False,0.6639853119850159
,"【上海市纪委监委通报2起疫情防控不力典型问题】据廉洁上海消息：1.上海机场集团下属虹桥公司消防急救保障部原党委副书记、总经理李水飞在疫情防控中不担当、不作为问题。李水飞在3月24日紧急转送一名机场委外单位新冠肺炎核酸检测阳性员工过程中，消极推诿、缺乏担当，导致转运进程迟滞，造成不良影响，被撤销党内职务和行政职务。
2.黄浦区精神卫生中心党支部副书记、院长周宝国在疫情防控工作中管理不严、处置不力问题。周宝国在疫情防控工作中未正确履职，导致该中心浦东分中心多名病人、员工感染，造成不良影响，被免去党内职务和行政职务，接受进一步调查处理。http://t.cn/A66Qypgq  http://mapi/001DitQply1h11caoh05qj60k90rwte202",['上海'],True,0.516038715839386
,和每日新增的数字比起来 是不是太小了点 ,[],False,0.09905248880386353
, 华亭宾馆的事情为什么不通报，这还不典型吗？🙄️ ,['华亭'],True,0.8720757961273193
," 你在自甘堕落的时候,全世界都在昼夜狂欢,你在抑郁孤独的时候,你的前任和讨厌的人都在努力赚大钱吃美食找新欢,你在怀念过去的时候,过去里面的每一个人都没空等你。 ",[],False,0.20203977823257446
