ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,"笨蛋修猫咪喝水，越喝越渴呀，好笨我好喜欢！！！

 http://t.cn/A66Hnqk6 ",[],False,0.10875272750854492
,"猫咪的无效喝水：这喝的不是水，这喝的是寂寞！

#第一视角制作人计划##摄影第一视角# http://t.cn/A66QcGrc ",[],False,0.16052889823913574
,"来给大家分享一下子跟自家崽子人拍照的小诀窍
-
只要你们家是馋猫，这就是无法抵挡的美食诱惑嘻嘻，分享一下子这次给家里崽子投喂的珍致湿粮罐。关于有时候 大家可以像我一样备一点珍致的厚汁系列和烧汁系列，汤汁丰富，简直是补水神器#珍致料理 食刻对味#
-
养猫太治愈了，但是洗澡，和抓着拍照都超级难哄，只能各种美食诱惑，大家在选择产品的时候一定要用心，要选择有保障的哇，像珍致就是一个不错的选择，毕竟毛孩子一直默默陪伴我们，治愈了很多不开心的瞬间～
-
#京东小魔方# 4.6-4.9上京东，部分产品领券满99-20，快去普瑞纳京东自营旗舰店挑选叭@普瑞纳PURINA @京东小魔方  http://t.cn/A66WjLy6",[],False,0.15179187059402466
发布于 浙江,"全体起立！我们尾号6208！上星首秀！
感谢东方卫视！感谢极限挑战！感谢节目组！
#H-严浩翔[音乐]# #极限挑战# 
http://t.cn/A6NVhpkr ",['东方'],True,0.05263864994049072
发布于 四川,"#狗子都要被馋哭了# 

哈哈哈哈哈哈哈快给它吃一口吧....狗子都要被馋哭了 http://t.cn/A6NVhi5b ",[],False,0.3262699246406555
发布于 北京,"【#律师解读杂技女演员坠亡事件#】#律师称女演员坠亡公司要担主责或全职# 4月15日，安徽宿州。一名女杂技演员在蒿沟镇表演时从高空坠落。16日，九派新闻联系上蒿沟镇派出所，工作人员称事件调查中，相关方正在与其家属协商赔偿方案。

据报道，演艺公司一位王姓负责人告诉记者，演员表演经验丰富，但事发前二人正在闹脾气。针对此事，北京盈科(合肥)律师事务所毛成战律师认为，首先要看女演员与演艺公司之间的关系，如果双方是劳动关系，即用人单位对劳动者具有用工管理权，双方之间形成人身及经济上的从属关系。女演员家属可以向人力资源和社会保障局申请工伤认定，相关赔偿由工伤保险予以赔付，演艺公司未缴纳工伤保险的，相关赔偿由演艺公司承担。

如果双方是劳务关系，即双方是平等的民事权利义务关系，劳动者提供劳务服务，用人单位支付劳务报酬，彼此之间只体现财产关系，不存在行政隶属关系。具有“临时性、短期性、一次性”等特点。此时女演员属于提供劳务者，在提供劳务过程中遭受损害，根据《民法典》1192条规定，提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。

本案女演员坠亡事故发生的原因还有待调查，但是根据目击者称现场没有急救人员，也没有应急措施，说明演艺公司没有尽到安全防护义务，可以大致判断演艺公司至少要承担主要甚至全部的责任。（九派新闻）#坠亡女演员丈夫否认吵架不系安全扣#

你觉得责任在谁？ http://t.cn/A6NVhvhb","['合肥', '安徽', '北京', '宿州']",True,NA
,"猫咪是种你永远捉摸不透的生物~[哈哈][哈哈]

#深圳宠物方舱#
http://t.cn/A66Hnqk6 ",['深圳'],True,0.09749352931976318
,看着好着急，不要等口渴了再喝水，一天8杯水喝起来~（via. 云吸猫小哥）http://t.cn/A66Hnqk6 ,[],False,0.03493213653564453
,"懒洋洋的小猪咪躺在阳光下睡觉～
还在喵喵地说着梦话，是梦到小鸟了嘛[awsl]

#令人羡慕的猫生# http://t.cn/A66H1ULY ",[],False,0.2941836714744568
, 前几天好不容易亲眼目击我家旱猫子主动喝水的一幕！实在太难得了[泪]#咕噜咪# http://t.cn/A66HD7fM ,[],False,0.08001893758773804
,还挺萌的 ,[],False,0.0677981972694397
,收藏tag ,[],False,0.014735281467437744
,哈哈哈，我家小猫比较聪明，他可以喝到嘴里，，让我觉得傻的小猫就是邦邦了[哈哈][哈哈] ,[],False,0.011930406093597412
,"#令人羡慕的猫生# 
这是什么神仙生活呀[打call][打call][打call] ",[],False,0.3499715328216553
,"大  聪  明
 http://t.cn/A66HDolK ",[],False,0.3748985528945923
,这也太笨了吧 ,[],False,0.11075502634048462
,#午间气象播报# 预计14~17时南昌晴，偏南风1级，气温28℃。天干物燥，多补水！  ,['南昌'],True,0.07480764389038086
,"原来小猫咪不是在喝水~是在洗脸呀[求饶][求饶]

 http://t.cn/A66H3i6n ",[],False,0.12140512466430664
,"
修猫咪🥰好多 ",[],False,0.22079962491989136
,"#闲聊SNUT# 
笨蛋修猫咪喝水[开学季]
越喝越渴[哇]
好笨好可爱！[抱一抱]

[浪]｜【 】
[照相机]｜【视频来源于水印】 http://t.cn/A66HeaZX ",[],False,0.26763808727264404
, 好端端的 偏偏只喝地板上的雨水  ,[],False,0.47060108184814453
,"
突然很想养一只猫，要么楚楚可怜超级粘人瘦瘦的小脸长得像奥奥，要么身手敏捷打人稳准狠有着漂亮大眼睛长得像丸丸。 ",[],False,0.2905941605567932
,哈哈哈哈哈  好多猫咪[求关注][求关注] ,[],False,0.33660632371902466
,哈哈哈哈 ,[],False,0.19683676958084106
,#小猫咪的侧颜杀#  突然发现，神奇的天气版猫将军侧颜无敌粉嫩！而且去沙漠也自带水包！等一下……雨水好像喝不到啊～#白夜童话[超话]# ,[],False,0.1166650652885437
,贫穷限制了那么多东西，怎么就没有限制我的体重#嘿千翻表情包# ,[],False,0.3861963152885437
,浅喝一下水 http://t.cn/A66HDgxH ,[],False,0.2531319260597229
," 
蹲蹲与小壹贝壳饮水机的喝水日常，剧情请大家自行脑补~[单身狗]
#小壹elspet##小壹贝壳饮水机# http://t.cn/A66Hk5sb ",[],False,0.4292696714401245
,"笨蛋修猫咪喝水，越喝越渴呀，好笨我好喜欢！！！

 （@云吸猫小哥 ）http://t.cn/A66Hnqk6 ",[],False,0.06894934177398682
,不能给猫看见你在喝水[doge]  http://t.cn/A66Hgrcr ,[],False,0.4544937014579773
,  http://t.cn/A66He7C3 ,[],False,0.4161914587020874
,"
这是我用来吃饭的碗啦宝贝！！ http://t.cn/A66HeLLc ",[],False,0.10381537675857544
,#你话我财#小猫咪好可爱呀[赢牛奶]菜宝们有养过猫猫嘛[喵喵] ,[],False,0.323305606842041
,"憨憨喝奶，涓滴未洒！！

 ",[],False,0.32696157693862915
,"
除了喝水，盘点笨笨修猫的可爱瞬间
一起长大真是一件治愈的事
#广西团团微分享# 
http://t.cn/A66H1kv4 ",[],False,0.1570468544960022
,"http://t.cn/A66HeZNe
上面的链接是水滴筹的链接，希望看见这条微博的人可以帮我们多多转发，多多支持一下，患者是我妈妈，她今年还没满51，之前的她乐观开朗，争强好胜，是一个在外可以走南闯北的女强人，在内对亲人极其贴心耐心的家人。今年三月中下旬时她突然出现了一些行为异常，发展到如今已经是缄默寡言，生活不能自理，脑袋不能清醒，注意力不能集中，听不懂话的带疯带傻状态。
我带我的妈妈来城里看病，在火车上时我指着路边的油菜花说，你看，好大一片的油菜花，好好看！她只望了一眼就移开了视线。在以前，都是她喜欢在车上给我指我们到了哪里，路边有什么好看的风景，但现在，我不知道她的眼里心里是不是只有一片灰色……
她这些日子话好少，刚来医院前她还算清醒的时候说，怎么办，这一病怎么好得了啊……我当时安慰她说不要这么想，心情好一点，多和人交流，每天开心一点，自然就会一点啦！
可是现在在医院住院，每次我去找医生问情况，医生都摇摇头说情况不好，检查了蛮多项都还没有查出原因，就算查出来后治疗也比较艰难。我每天晚上睡觉都在想，这是一场梦吧！只是一场梦吧！但是第二天早上醒来看见情况愈发不好的她都让我清醒地认识到这不是梦……希望我的妈妈能够得到大家的帮助，这条微博有幸让您看到的话，希望您能多多帮我们，不管您是一次【转发】【证实】【捐款】对于我们来说都是莫大的帮助，感谢每一个好心人，谢谢你们！#如果时间倒回你还会pick他吗##魔卡少女樱开播24周年##如何控制情绪而不是压抑情绪##如何评价湖人本赛季的表现##心居冯茜茜凭什么能全身而退##安徽一大学生连续4天翻墙出校后感染##5岁女孩不慎被弓箭射中眉心##这班我是一天也不想上了#",['安徽'],True,NA
,#我爱胖达##熊猫守护者[超话]# 熊猫的洗脚水是个啥味？一起来看滚滚的无效喝水的笨蛋操作～（cr.四川教育发布）#熊猫观察君# http://t.cn/A66HdjpG   ,['四川'],True,0.4612191319465637
,#我爱胖达##熊猫守护者[超话]# 熊猫的洗脚水是个啥味？一起来看滚滚的无效喝水的笨蛋操作～（cr.四川教育发布）#熊猫观察君# http://t.cn/A66HdjpG   ,['四川'],True,0.4612191319465637
,"#康康萌宠日常##猫[超话]# 
这不就是我们的傻大儿🐱嘛？喝水全靠啃！ http://t.cn/A66QhP8y ",[],False,0.3158140778541565
,错误的时刻来到了错误的地方，做了些错误的事情 ,[],False,0.11807405948638916
,哈哈哈哈哈哈哈哈 ,[],False,0.20226210355758667
, 哈哈哈哈，猫咪不要面子的吗？ ,[],False,0.2069646120071411
,小猫好可爱，可惜我家养文鸟了，不能养猫了… ,[],False,0.04014354944229126
, 在这个话题里被小猫咪们可爱晕了[开学季][开学季] ,[],False,0.09852045774459839
," 
铲屎官的水好喝 http://t.cn/A66Hguyd ",[],False,0.06082791090011597
,好治愈[赢牛奶] ,[],False,0.07105863094329834
,#爱卡下午茶[超话]#  【，哈哈哈哈 太好笑了.. 】胡子：我喝饱了...[喵喵] http://t.cn/A66Qhby8 ,[],False,0.30134814977645874
,#这个时段有点儿萌#笨蛋修猫咪喝水，越喝越渴呀，好笨我好喜欢！！！ http://t.cn/A66QzD14 ,[],False,0.0823403000831604
发布于 重庆,校庆时没有拍出满意的自拍，就不上交咯，那用视频分享几则校庆趣事吧！ http://t.cn/A6NV7GvW ,[],False,0.4247397780418396
,#宜宾[超话]# 举报宜宾市龟与熊猫万达店，黑心商家！！！我在宠物店花三千买了一只两个月的小猫，店家说他太小没有打疫苗（实际已经可以打），买的时候老板说有点小感冒，并保证猫咪不会有任何问题，有问题他全负责，接回家当天签了合同，合同上写明了猫咪已内外驱虫，但老板并未提及且拿出证明，合同上明确了七天内猫咪出现猫瘟可以退款。接回家第五天时猫咪在该店合作医院确诊猫瘟，第一时间打电话与老板沟通，老板承诺公司出医药费救治，但公司只给基础治疗费用，我们要求加两味进口药，预交了五百元的医药费，后第七天治疗无效去世。猫咪去世后我们要求退款，但老板却只退款百分之七十，借口是合同上并没有说要退全款，不全额退款是想让我们给全部的医药费，但不管是公司规定还是老板电话中的承诺，都表明了医药费不应该是我们出，而且多出的进口药费我们已经支付并还有剩余，宠物店还想从中牟利，这等黑心商家不能放过！,"['宜宾', '合作']",True,0.012272953987121582
发布于 广东,在长沙每次打开外卖都会惊呼，太香了，太合我胃口了（大睿睿吃沙拉 ,['长沙'],True,0.008849501609802246
,阿甜:這樣 歪頭 懂？ ,[],False,0.45262032747268677
,好可爱[awsl] ,[],False,0.06105196475982666
,"猫咪的无效喝水：这喝的不是水，这喝的是寂寞！

#第一视角制作人计划##摄影第一视角# http://t.cn/A66Qctbd ",[],False,0.17794466018676758
, 好爱这个tag哦！猫猫喝水水，怎么看都看不腻！(˶‾᷄ ⁻̫ ‾᷅˵) ,[],False,0.01998502016067505
,"猫咪的无效喝水：这喝的不是水，这喝的是寂寞！

#第一视角制作人计划##摄影第一视角# http://t.cn/A66QfXAe ",[],False,0.16678446531295776
,"猫咪的无效喝水：这喝的不是水，这喝的是寂寞！

#第一视角制作人计划##摄影第一视角# http://t.cn/A66QfXpq ",[],False,0.18332171440124512
,"笨蛋修猫咪喝水，越喝越渴呀，好笨我好喜欢！！！

 http://t.cn/A66Hnqk6 ",[],False,0.10875272750854492
,还有3个月就3岁的小朋友，爸爸妈妈说话声音大一点，以为在吵架，就要高声贝尖叫。猫咪要抓沙发套，妈妈说快去把它赶走，也是高声贝尖叫，一招致敌。晚上会收拾玩具小车到自己小厨房的柜子里，爸爸瞎放被妈妈说，也立刻去制止，自己要放到正确的位置去。有时会闹着给妈妈洗碗碗扫地，飞快拿来拖把和纸。妈妈要搬动东西的时候，也要过来帮忙抬，嘴巴里默念嘿呦嘿哟，是能给妈妈帮一点小忙和爱捣乱的小盆友了。十万个为什么的问题让妈妈有时候烦不胜烦。小花为什么要长在土里？要从土壤里吸收养分啊？那为什么要长在土里？为什么为什么呀？妈妈卒。去外边玩，看到走路有异的老年人，居然就跟在后面学走路，一连几天都学着那奇怪的走姿，多次劝说制止无效。旺盛好奇心模仿欲阶段的小朋友啊，希望妈妈再多一点耐心，好好呵护她。,[],False,0.06341809034347534
发布于 浙江,"4月日常分享🌿天气好好 呀～
       🧚‍♀️试了条仙女裙 好看
       ☁️天气好好呀
       🍪红丝绒好评
       🍑桃子冰美式好喝
       🍞肉桂卷赞
      🥣买了好看的碗餐具准备送大家
      🥥天气一热就想喝椰子！！
      🏀🏀🏀 ",[],False,0.011968135833740234
,"#肖战[超话]##肖战余生请多指教# 肖战余生请多指教#肖战顾魏# 肖战顾魏

喜欢一切可爱的人与事，悦耳的风铃、伸懒腰的猫咪、叽叽喳喳的小鸟、在风里翻飞的书页上的漂亮的文字。喜欢世间万物，但我更喜欢你，因为你是可爱本身。
xz xzgg xfx
#余生请多指教# 肖战正能量艺人‖我喜欢肖战
@X玖少年团肖战DAYTOY 
  http://t.cn/A66JfPCh ​​​",[],False,0.09446734189987183
发布于 浙江,只能说说唱演出的门槛越来越低了，乌烟瘴气的饭圈厂牌，连代表作都唱不好。努力或许不会让别人认可，但却能让自己自豪。 http://t.cn/A6NV7flj ,[],False,0.17782258987426758
发布于 湖南,"感谢微博超级红人节！
长沙真的好玩，下次还会再来。

#超级红人节##超级红人节长沙##人气大咖趴# ",['长沙'],True,0.011589527130126953
发布于 广东,#在山东开车出行有多幸福# 春暖花开，随着淄博烧烤、济南超然楼、潍坊风筝节等等山东各景点的爆火，各省的人们有坐飞机、有坐高铁、甚至骑摩奔波来到山东游玩，但我觉得在山东还是要首选自驾出游，沿海的青岛、高耸的泰山、秀美的沂蒙风光...自驾在路上说走就走，并且开上全新升级HarmonyOS 3系统的AITO问界你还能体验到更多有趣的玩法！连上超级桌面再用女王化妆镜补个妆，与好友自驾出游走起！玩累了与好友用车机K歌、刷刷视频追追剧，还能呼唤小艺开启小憩模式进入深度休息，这次还升级了智慧寻车、PC与车机协同等功能，真的是直接把车变身成为百宝箱，万物皆可联，让我们在路上的时光越来越美好且丰富，试一下就知道有多过瘾了。再这么升级下去，开AITO问界开上瘾，那是早晚的事儿！AITO山东线下售车门店HarmonyOS 3体验活动已上线，快快去体验一把吧，提前为自驾出游做准备！#你没想到的鸿蒙座舱花式玩法# http://t.cn/A6NVhTDY,"['淄博', '济南', '潍坊', '青岛', '山东']",True,0.24492859840393066
发布于 湖南,听我说谢谢你们…#极限挑战# http://t.cn/A6NV73xL ,[],False,0.38966554403305054
,"
哈哈哈小猫咪又有什么错
就是喜欢玩水 ",[],False,0.01263660192489624
,天天以奶洗面，要咋整 http://t.cn/A66HdeIs ,[],False,0.3003356456756592
,好可爱啊救命 ,[],False,0.05526310205459595
,哈哈哈今日份快乐 ,[],False,0.10581928491592407
,来看好看可爱又蠢的猫咪[羞嗒嗒][羞嗒嗒][羞嗒嗒] ,[],False,0.17771601676940918
,给我们家儿子找对象，坐标上海，有可爱的小母猫喜欢我儿子的吗[笑cry]  ,['上海'],True,0.03381693363189697
," 
热水器滴下来的水比较好喝[喵喵] http://t.cn/A66Hdeof ",[],False,0.08230084180831909
,  我家的又馋又精，像黄鼠狼。 ,[],False,0.36403316259384155
,"
哈哈哈哈
喝水我们是认真的，嗯饱了[哈哈] http://t.cn/A66HdFlR ",[],False,0.29306477308273315
,"
笨蛋小猫咪[哈哈][哈哈][哈哈] ",[],False,0.26944875717163086
, http://t.cn/A66HdOpw ,[],False,0.3934010863304138
,大概小猫咪用智商换了美貌和可爱，喝水的时候，有一丢丢水溅到舌头上就以为喝到了，哈哈哈，可能它也很疑惑为什么人类要用杯子喝水，而且还喝那么多  ,[],False,0.012064576148986816
,好可爱好可爱，奇奇怪怪就会可可爱爱哈哈哈哈。[哈哈] ,[],False,0.019493579864501953
,"喵：我要渴死啦，帮忙开下水龙头谢谢啦
 http://t.cn/A6UHX9hm 
 ",[],False,0.16779106855392456
,"
哈哈哈哈哈真的是点开之前：让我看看有多笨！ 点开之后：好的，真的很笨。真的好笨的修🐱呀。张真源，你不是想养猫来着吗？这个就不错哈哈哈哈哈哈
#张真源 生如炬火十九燎原# 💚💚💚 ",[],False,0.174699068069458
,#熊猫守护者[超话]# 熊猫的洗脚水是个啥味？一起来看滚滚的无效喝水的笨蛋操作～（cr.四川教育发布）#熊猫观察君# http://t.cn/A66HdjpG ,['四川'],True,0.3828734755516052
,猫咪的迷惑行为，其实我不是想喝水，是想洗个头[喵喵]#玩在贵阳# http://t.cn/A66HdTM8 ,['贵阳'],True,0.09240913391113281
," #和天气菌一起乐一乐# 
最近天气干燥，大家别忘了及时“有效”补水[doge]（via. 云吸猫小哥）http://t.cn/A66Hnqk6 ",[],False,0.3362651467323303
,"

猫咪有效喝水Vs无效喝水 http://t.cn/A66HdRQX ",[],False,0.28052228689193726
,  还有无效吃饭[亲亲] ,[],False,0.35554784536361694
,猫猫半天是喝了个寂寞嘛，有一说一，这个猫猫是不是有斜视。 ,[],False,0.2389337420463562
,看来我家冬冬还是挺聪明，一点也不傻[哈哈] ,[],False,0.01841747760772705
,"
好可爱好可爱好可爱[泪][泪][泪][泪][泪][泪] ",[],False,0.19829386472702026
,哈哈哈哈哈哈哈哈哈哈哈哈哈哈好可爱[求关注][求关注][求关注] ,[],False,0.19816190004348755
,想起了邦邦 ,[],False,0.23202300071716309
, 喵星人知道打开水龙头可以喝水，而且不但可以喝水还可以洗澡？http://t.cn/RKlAXM6  #养猫的趣事#    ,[],False,0.0971519947052002
,从来不喝自己碗里的水，就喝我杯子里水，有区别吗？离谱！  ,[],False,0.06993621587753296
,呵呵呵呵 ,[],False,0.2740284204483032
, 天气这么干燥，泥萌都喝几杯了[喵喵]？via：http://t.cn/A6INF7ds ,[],False,0.07079243659973145
,"
猫咪：总有刁民想害朕… ",[],False,0.2341228723526001
,不知道是喝水还是洗手[笑cry][笑cry] http://t.cn/A66HBbCs ,[],False,0.4307018518447876
,"【 】

今日份快乐源泉 ",[],False,0.22291052341461182
,怎么会有喝水这么听话的小猫咪[开学季]猫猫的有效喝水🈶！我家猫看了直呼是假的#今日世界新鲜事# http://t.cn/A66HBqmK ,[],False,0.32141876220703125
,"喵：能不能帮我开一下呀！[求饶][喵喵]

#猫咪的有效喝水#   http://t.cn/A66HB5fS ",[],False,0.2631460428237915
,"
这水是喝了个寂寞。 ",[],False,0.4135172367095947
,我家那位没试过在水龙头下喝水，笨不笨不知道[并不简单] ,[],False,0.23429960012435913
,本喵怎么越喝越渴了呢[doge][doge][doge] ,[],False,0.2769755721092224
,太好笑了，哈哈哈 ,[],False,0.05389904975891113
,"
除了喝水，盘点笨笨修猫的可爱瞬间
一起长大真是一件治愈的事
From：牛奶是只猫 http://t.cn/A66H1kv4 ",[],False,0.05408746004104614
,猫咪的无效喝水[doge][允悲]#少年说事# http://t.cn/A66H1sTP ,[],False,0.42615652084350586
,"笨蛋修猫咪喝水，越喝越渴呀，好笨我好喜欢！！！

http://t.cn/A66Hnqk6 ",[],False,0.10875272750854492
,"
小猫咪就是超可爱1551(∗ᵒ̶̶̷̀ω˂̶́∗)੭₎₎̊₊♡ ",[],False,0.020733892917633057
,是这样吗 http://t.cn/A66HBwDk ,[],False,0.22350263595581055
, 在？进来看大猫猫喝奶[喵喵]！ http://t.cn/A66HBAPq ,[],False,0.36417895555496216
,#安全提示每日一图# 事预则立。   ,[],False,0.34174150228500366
,  可爱只是一些瞬间，养宠物请慎之又慎。多去了解需要付出什么，有什么麻烦是不能接受的。 ,[],False,0.4351131319999695
, http://t.cn/A66HrWS9 ,[],False,0.43045932054519653
,🐈骗小猫咪喝水难？不难？其实…… http://t.cn/A66lUV9u  ,[],False,0.38186460733413696
," 

第一个猫猫，让你喝水没让你洗头啊[晕] http://t.cn/A66H1Q8E ",[],False,0.43886882066726685
,还有猫咪的无效舔毛，我经常撸猫的后背，他就歪头伸舌头朝那个方向对着空气一阵狂舔[允悲] ,[],False,0.48553478717803955
,哈哈哈哈这是喝了个寂寞吗 ,[],False,0.07515323162078857
,太可爱了太可爱了[哇] ,[],False,0.04092717170715332
,笨蛋喵喵 ,[],False,0.20532774925231934
,"
这几天猫咪热搜好多啊，我的猫要是愿意多喝点水就好了[作揖] ",[],False,0.015383780002593994
,"看我的佛山无影脚！嘿嘿！[○･｀Д´･ ○]

 #自带BGM的猫#  http://t.cn/A66HrQaW ",['佛山'],True,0.12862253189086914
, ,[],False,0.05462068319320679
,"佛系无效打架和佛系无效喝水的猫咪[嘻嘻]

 http://t.cn/A6xtHwiy  ",[],False,0.3417450189590454
,"

生活要有仪式感，喝水也是！

哇哦！ http://t.cn/A66H1fBV ",[],False,0.22159218788146973
,哈哈哈哈哈哈哈 傻敷敷 ,[],False,0.1587854027748108
,哈哈哈哈哈哈哈，舌头吐的飞快，滴水不沾[求关注] ,[],False,0.4131535291671753
,【循环播放！#超高速摄影机下看猫咪喝水#】原来猫咪喝水不靠舔，而是通过舌头向后弯，以非常快的速度带起一个水柱，然后将水柱吸进嘴里。它们喝水时从不会弄湿自己的胡子，甚至可以做到滴水不漏！猫咪：我家铲屎官放下手机肯定又要来观察我咋喝水的了[喵喵]http://t.cn/A662x1iK  ,[],False,0.03550142049789429
,"
哈哈哈哈，喝不到也要一脸淡定 ",[],False,0.08214414119720459
,喵：随机舔走一名幸运观众~ [喵喵][喵喵]略略略～#猫的好奇心能有多重#      Via:http://t.cn/A6L2NtNR   #新都服务.生活资讯#     ,[],False,0.2811819314956665
, ,[],False,0.05462068319320679
,"

主人，你猜我是在喝水，还是在洗头[允悲][允悲][允悲]http://t.cn/A66HBuiX ",[],False,0.40872788429260254
,"原来小猫咪不是在喝水~是在洗脸呀[求饶][求饶]

  http://t.cn/A66H3i6n ",[],False,0.12140512466430664
,"我要远行了，再见ヾ(￣▽￣)Bye~Bye~
气球气球我们走~

 #这就是迪士尼在逃猫咪公主吧#  http://t.cn/A66H3mo7 ",[],False,0.22532421350479126
,哈哈哈吸猫[心] ,[],False,0.31657838821411133
,"我的水啊啊啊啊~把我的水还回来你个魂淡~[苦涩]

  http://t.cn/A66H12wI ",[],False,0.25040340423583984
,哈哈好可爱 ,[],False,0.03916788101196289
,"懒洋洋的小猪咪躺在阳光下睡觉～
还在喵喵地说着梦话，是梦到小鸟了嘛[awsl]

#令人羡慕的猫生# http://t.cn/A66H1ULY ",[],False,0.2941836714744568
,"
柴柴喝个水真不容易[允悲]
Instagram：toshimarucha http://t.cn/A66Hr2Qg ",[],False,0.42789381742477417
,为啥我家猫学不会喝水，一直用爪子捞水喝，愁死了[微笑] ,[],False,0.04683554172515869
,哈哈哈哈哈哈哈哈哈猫咪怎么傻乎乎的[哇] ,[],False,0.25457334518432617
,"【直播中】大熊猫沉浸式喝水声[666]
（视频来源若水三千）
#国宝何苦为难国宝# http://t.cn/A66HBdLW ",[],False,0.2868651747703552
,哈哈哈哈哈哈哈哈哈这么可爱的猫猫啊 ,[],False,0.02002084255218506
,"
哈哈哈哈哈哈
小猫咪也就只有一点点笨 ",[],False,0.09018105268478394
, 真可爱呢。 ,[],False,0.05346858501434326
,"#领感EASYWORK#  #从睡觉看肾好不好#
Switchup设计团队精彩呈现Celsius位于以色列特拉维夫的办公室，将公司的创新属性展现的淋漓尽致。
1、前厅接待区结合混凝土、金属、镜面铜、裸露管道等工业元素以及趣味化的装饰元素，简约干练
2、落地窗前的秋千椅是放松和减压的好玩地方
3、火箭飞船和标语的趣味化结合展现出天马行空、不惧未来、勇往直前的创业精神
4、厨房咖吧和办公休息区采用工业铜管以及镀铜灯泡来烘托温馨的氛围
5、开放办公区中极简的混凝土地面、统一的木色装饰、圆管状的铝合金风管和成片的爱迪生灯泡装置呈现出温暖而独特的美学气质",[],False,0.07440555095672607
,这个热搜我可以！ http://t.cn/A66HrV7s ,[],False,0.1911388635635376
,哈哈哈哈哈哈哈哈哈哈哈我笑死了，太可爱了吧 ,[],False,0.03411543369293213
,哈哈哈，是不是玩瓶盖玩累了 ,[],False,0.07433730363845825
, 小老弟你是喝水还是洗头呢～[允悲]（via：人人视频）http://t.cn/AiNRXcrY  ,[],False,0.3763236403465271
,这题我会 http://t.cn/A66HraEY ,[],False,0.35468751192092896
,@向蔡大爷问早安 一样笨[doge][吃瓜] ,[],False,0.3994303345680237
,哈哈哈哈，可爱卖萌。 http://t.cn/A66Hrp3I ,[],False,0.020179688930511475
,哈哈哈哈这也太可爱了 ,[],False,0.042217910289764404
