ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,【#公司回应黄渤梅婷进小区拍戏被赶#：注重疫情防控，名气大被大家揪着】据@九派新闻 报道：4月7日，广东深圳，有网友发视频称，黄渤梅婷进小区拍戏，遭部分业主强烈反对，称有疫情风险，将剧组驱逐。8日，该剧组的出品公司法人马女士称剧组一直比较注重疫情防控，可能是剧组与小区没有沟通好。她还表示快杀青了，可能在抢周期。她说，这件事情与演员无关，“他们是艺术家，名气大被大家揪着。”  http://t.cn/A668AqJt,"['广东', '深圳']",True,0.3274684548377991
,。。。。。。热搜竟在我身边 ,[],False,0.6491149067878723
," 
癸亥，癸亥，癸亥，癸亥。
四癸四亥，癸日干很旺，顺其旺，此女身体健康。
丁酉年，丁冲癸水，身体方面出问题，癸为子宫，做子宫肌瘤手术，酉金生水，做后没事。
即使是男命，伤官旺，对名利追求欲望大，性格外向，喜出风头，脾气不太好
做事会有偏激的行为，容易招惹是非，口舌多，容易得罪人，这种性格不受女孩子欢迎。",[],False,0.09687137603759766
发布于 湖南,"感谢微博超级红人节！
长沙真的好玩，下次还会再来。

#超级红人节##超级红人节长沙##人气大咖趴# ",['长沙'],True,0.011589527130126953
,【  物业：剧组已做核酸，目前已撤离】4月7日，深圳龙华区。一则“疫情防控期间，明星剧组进小区拍戏引发业主不满”的视频在网络上传播。根据视频画面显示，剧组正在小区内一人行路上拍摄取景，但此行为遭到业主们的强烈不满，大家纷纷表示“疫情期间外来人员进出小区不太安全。” #黄渤梅婷小区拍戏遭业主驱赶# http://t.cn/A66QBYkW,['深圳'],True,0.36235469579696655
发布于 湖南,听我说谢谢你们…#极限挑战# http://t.cn/A6NV73xL ,[],False,0.38966554403305054
发布于 四川,"#狗子都要被馋哭了# 

哈哈哈哈哈哈哈快给它吃一口吧....狗子都要被馋哭了 http://t.cn/A6NVhi5b ",[],False,0.3262699246406555
,【#深圳一剧组进小区拍戏业主不满#  物业：剧组已做核酸，目前已撤离】据@猛犸新闻  报道：4月7日，深圳龙华区。一则“疫情防控期间，明星剧组进小区拍戏引发业主不满”的视频在网络上传播。根据视频画面显示，剧组正在小区内一人行路上拍摄取景，但此行为遭到业主们的强烈不满，大家纷纷表示“疫情期间外来人员进出小区不太安全。” http://t.cn/A66QBYkW,['深圳'],True,0.3661928176879883
,大家不过为了能准时开学而已[跪了] ,[],False,0.31666040420532227
,"一定要说!!! [666]也是深圳，我初三的时候，下晚自习放学，出校门走10m到小区路口，看到一剧组十个人左右拍戏，周围三四个路灯都没开，然后就什么闪光灯啊，很专业的摄像机啊，还有拍板的“action”，都有。剧情就是男演员从坡上下来（我们那里有个坡），一边走一边拦出租车，对的，坡上提前准备好了出租车。不过我们大概看了五分钟不到就结束了，估计一条过，然后就散了。要是当时有手机就好了，可惜没记录下来，而且当时胆子要是再大点说不定就偷跑进去串个戏[doge]
说实话至今都不知道他们到底拍什么戏[二哈]",['深圳'],True,0.059815287590026855
,小区居民意识高    优秀 ,[],False,0.019170045852661133
,【  物业：剧组已做核酸，目前已撤离】4月7日，深圳龙华区。一则“疫情防控期间，明星剧组进小区拍戏引发业主不满”的视频在网络上传播。根据视频画面显示，剧组正在小区内一人行路上拍摄取景，但此行为遭到业主们的强烈不满，大家纷纷表示“疫情期间外来人员进出小区不太安全。” @猛犸新闻  http://t.cn/A66QBYkW,['深圳'],True,0.37715864181518555
,【  物业：剧组已做核酸，目前已撤离】4月7日，深圳龙华区。一则“疫情防控期间，明星剧组进小区拍戏引发业主不满”的视频在网络上传播。根据视频画面显示，剧组正在小区内一人行路上拍摄取景，但此行为遭到业主们的强烈不满，大家纷纷表示“疫情期间外来人员进出小区不太安全。” @猛犸新闻  http://t.cn/A66QBYkW,['深圳'],True,0.37715864181518555
,【  物业：剧组已做核酸，目前已撤离】4月7日，深圳龙华区。一则“疫情防控期间，明星剧组进小区拍戏引发业主不满”的视频在网络上传播。根据视频画面显示，剧组正在小区内一人行路上拍摄取景，但此行为遭到业主们的强烈不满，大家纷纷表示“疫情期间外来人员进出小区不太安全。” @猛犸新闻  http://t.cn/A66QBYkW,['深圳'],True,0.37715864181518555
,【  物业：剧组已做核酸，目前已撤离】4月7日，深圳龙华区。一则“疫情防控期间，明星剧组进小区拍戏引发业主不满”的视频在网络上传播。根据视频画面显示，剧组正在小区内一人行路上拍摄取景，但此行为遭到业主们的强烈不满，大家纷纷表示“疫情期间外来人员进出小区不太安全。” @猛犸新闻  http://t.cn/A66QBYkW,['深圳'],True,0.37715864181518555
,【  物业：剧组已做核酸，目前已撤离】4月7日，深圳龙华区。一则“疫情防控期间，明星剧组进小区拍戏引发业主不满”的视频在网络上传播。根据视频画面显示，剧组正在小区内一人行路上拍摄取景，但此行为遭到业主们的强烈不满，大家纷纷表示“疫情期间外来人员进出小区不太安全。” @猛犸新闻  http://t.cn/A66QBYkW,['深圳'],True,0.37715864181518555
,【  物业：剧组已做核酸，目前已撤离】4月7日，深圳龙华区。一则“疫情防控期间，明星剧组进小区拍戏引发业主不满”的视频在网络上传播。根据视频画面显示，剧组正在小区内一人行路上拍摄取景，但此行为遭到业主们的强烈不满，大家纷纷表示“疫情期间外来人员进出小区不太安全。” @猛犸新闻  http://t.cn/A66QBYkW,['深圳'],True,0.37715864181518555
," 
日元被三个伤官包围，“三伤官刑”为不吉，打拼事业一定要脚踏实地，千万不可心浮气躁投机取巧，更要远离与法律打擦边球的事情，凡事低调谨慎，遵纪守法。

如果你不想有朝一日成为别人威胁你的把柄，不想家丑闹得人尽皆知，那就烂在肚子里

永远不要低估人性的险恶，不管关系再好，走得再近，都要记住一句话",[],False,0.12371867895126343
,拍戏怎么了啊！我巴不得来我家小区拍。可惜没有明星来。真是旱的旱死，涝的涝死。 ,[],False,0.7474070191383362
