ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
发布于 湖南,"感谢微博超级红人节！
长沙真的好玩，下次还会再来。

#超级红人节##超级红人节长沙##人气大咖趴# ",['长沙'],True,0.011589527130126953
发布于 广东,在长沙每次打开外卖都会惊呼，太香了，太合我胃口了（大睿睿吃沙拉 ,['长沙'],True,0.008849501609802246
发布于 四川,"#狗子都要被馋哭了# 

哈哈哈哈哈哈哈快给它吃一口吧....狗子都要被馋哭了 http://t.cn/A6NVhi5b ",[],False,0.3262699246406555
发布于 重庆,校庆时没有拍出满意的自拍，就不上交咯，那用视频分享几则校庆趣事吧！ http://t.cn/A6NV7GvW ,[],False,0.4247397780418396
发布于 湖南,听我说谢谢你们…#极限挑战# http://t.cn/A6NV73xL ,[],False,0.38966554403305054
发布于 北京,"【#律师解读杂技女演员坠亡事件#】#律师称女演员坠亡公司要担主责或全职# 4月15日，安徽宿州。一名女杂技演员在蒿沟镇表演时从高空坠落。16日，九派新闻联系上蒿沟镇派出所，工作人员称事件调查中，相关方正在与其家属协商赔偿方案。

据报道，演艺公司一位王姓负责人告诉记者，演员表演经验丰富，但事发前二人正在闹脾气。针对此事，北京盈科(合肥)律师事务所毛成战律师认为，首先要看女演员与演艺公司之间的关系，如果双方是劳动关系，即用人单位对劳动者具有用工管理权，双方之间形成人身及经济上的从属关系。女演员家属可以向人力资源和社会保障局申请工伤认定，相关赔偿由工伤保险予以赔付，演艺公司未缴纳工伤保险的，相关赔偿由演艺公司承担。

如果双方是劳务关系，即双方是平等的民事权利义务关系，劳动者提供劳务服务，用人单位支付劳务报酬，彼此之间只体现财产关系，不存在行政隶属关系。具有“临时性、短期性、一次性”等特点。此时女演员属于提供劳务者，在提供劳务过程中遭受损害，根据《民法典》1192条规定，提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。

本案女演员坠亡事故发生的原因还有待调查，但是根据目击者称现场没有急救人员，也没有应急措施，说明演艺公司没有尽到安全防护义务，可以大致判断演艺公司至少要承担主要甚至全部的责任。（九派新闻）#坠亡女演员丈夫否认吵架不系安全扣#

你觉得责任在谁？ http://t.cn/A6NVhvhb","['宿州', '北京', '安徽', '合肥']",True,NA
,#蓝朋友安全小提示# 【疫情上网课安全提示】疫情期间，学生们都在家上网课 。@上海消防 温馨提示广大学生和家长，一定要注意儿童居家安全，学习期间也要注意劳逸结合。 ,['上海'],True,0.2899349331855774
发布于 广东,#在山东开车出行有多幸福# 春暖花开，随着淄博烧烤、济南超然楼、潍坊风筝节等等山东各景点的爆火，各省的人们有坐飞机、有坐高铁、甚至骑摩奔波来到山东游玩，但我觉得在山东还是要首选自驾出游，沿海的青岛、高耸的泰山、秀美的沂蒙风光...自驾在路上说走就走，并且开上全新升级HarmonyOS 3系统的AITO问界你还能体验到更多有趣的玩法！连上超级桌面再用女王化妆镜补个妆，与好友自驾出游走起！玩累了与好友用车机K歌、刷刷视频追追剧，还能呼唤小艺开启小憩模式进入深度休息，这次还升级了智慧寻车、PC与车机协同等功能，真的是直接把车变身成为百宝箱，万物皆可联，让我们在路上的时光越来越美好且丰富，试一下就知道有多过瘾了。再这么升级下去，开AITO问界开上瘾，那是早晚的事儿！AITO山东线下售车门店HarmonyOS 3体验活动已上线，快快去体验一把吧，提前为自驾出游做准备！#你没想到的鸿蒙座舱花式玩法# http://t.cn/A6NVhTDY,"['青岛', '淄博', '山东', '潍坊', '济南']",True,0.24492859840393066
,我分享了话题 ,[],False,0.2644376754760742
,疫情期间，学生们都在家上 #网课# 。@上海消防 温馨提示广大学生和家长，一定要注意儿童居家安全，学习期间也要注意劳逸结合。#网课上出了恐怖片的效果  ,['上海'],True,0.2775420546531677
,哈哈哈哈哈哈哈哈一不小心笑出声了哈哈哈哈哈哈哈哈哈哈哈哈哈[允悲][允悲][允悲] ,[],False,0.2920641303062439
发布于 浙江,"全体起立！我们尾号6208！上星首秀！
感谢东方卫视！感谢极限挑战！感谢节目组！
#H-严浩翔[音乐]# #极限挑战# 
http://t.cn/A6NVhpkr ",['东方'],True,0.05263864994049072
发布于 浙江,只能说说唱演出的门槛越来越低了，乌烟瘴气的饭圈厂牌，连代表作都唱不好。努力或许不会让别人认可，但却能让自己自豪。 http://t.cn/A6NV7flj ,[],False,0.17782258987426758
发布于 浙江,"4月日常分享🌿天气好好 呀～
       🧚‍♀️试了条仙女裙 好看
       ☁️天气好好呀
       🍪红丝绒好评
       🍑桃子冰美式好喝
       🍞肉桂卷赞
      🥣买了好看的碗餐具准备送大家
      🥥天气一热就想喝椰子！！
      🏀🏀🏀 ",[],False,0.011968135833740234
, 好家伙，这也太吓人了[衰] ,[],False,0.4840880036354065
,"上网课的故事
1、上次有人没关麦，然后啊，大概是他家有小孩子进屋了，然后就能听到他说：哎哟谁让你进来了，我现在没空搭理你。  这个还好，一会又有人喊：滚。这个真的太尴尬了，我都替他尴尬，关键还是政治课
2、昨天地理课老师音效是真不好，就一直有duangduangduangduang的声，而且老师一说话就有
然后就有人在留言的地方说：拖拉机，直升机，坦克…………反正真的有点想笑，还有人说老师在直升机上讲课哈哈哈
3、有一个同学开了瘦脸的美颜，然后她喝水，然后她的脸，突然就变大，可鬼畜了
4、但是交作业时很好玩，有人背课文拿两个口罩挡脸，有人拿孤寡青蛙的眼罩挡着，交作业的表情包也能笑洗（这个图是我说的哈哈哈）",[],False,0.2808000445365906
,  网课……让我想起了最早的电大，一屋人对着个电视机听课，跟特么录像厅一样儿[允悲] ,[],False,0.4405626058578491
,"
论上网课能卡到什么程度[二哈]
http://t.cn/A66QwNMS ",[],False,0.28743189573287964
,真的会谢😂什么搭西😂😂😂😂😂😂😂😂😂 ,[],False,0.3899032473564148
,就不该大晚上点开[泪][泪][泪]妖魔鬼怪快离开 ,[],False,0.37244540452957153
,"
只知道一定一定一定要记得关麦
否则老师肯定第一个拿你开刀 ",[],False,0.4269520044326782
,"
5g好啊5g好[吃瓜]  ",[],False,0.21185046434402466
,哈，有画面感了 ,[],False,0.015328705310821533
,"
哈哈哈哈哈哈真的有点恐怖！点进以前不知道这么好笑 ",[],False,0.057802021503448486
, 虽然但是…今天的笑果收到了，谢谢。[允悲][允悲][允悲] ,[],False,0.3349348306655884
,好家伙[苦涩][苦涩][苦涩]真吓人 ,[],False,0.333726167678833
, 吓得都听不进去了吧我的天 ,[],False,0.12627023458480835
,我在sdfj上课hhhhh背景换成sdfj ,[],False,0.19469135999679565
,"

又害怕又搞笑[二哈][二哈][二哈]吓得题都不会做了 ",[],False,0.17020642757415771
,"
小蜂也来贡献两张收藏的图[羞嗒嗒] ",[],False,0.016532719135284424
,哈哈哈哈哈哈哈哈哈哈哈哈哈 ,[],False,0.19012528657913208
,"
这真的是网卡可以显现出的效果吗[苦涩] ",[],False,0.41227883100509644
,哈哈哈哈哈哈哈 ,[],False,0.21317261457443237
,搞笑哈哈哈 ,[],False,0.2901284098625183
,好搞笑哈哈哈哈，我从没遇到过这种情况，因为老师不露脸哈哈哈哈 ,[],False,0.07740867137908936
,好家伙，老师里面拼命地准备网课，没想到第一次开网络直播，就[坏笑]没敌得过网卡，秒变丧尸的感觉，此刻直播间收视率是不提上了，就是不知道同学们作何感想？ ,[],False,0.22487998008728027
,上课本来就是恐怖片吧 ,[],False,0.3567621111869812
,打开前以为是真恐怖 打开后是真好笑[笑cry] ,[],False,0.4778260588645935
,"
这网卡的哈哈哈哈哈哈哈哈哈哈哈哈 ",[],False,0.34466683864593506
,笑死在这个话题里，在网课上能看到好莱坞，宝莱坞，还有一头雾，哈哈哈哈哈哈哈哈哈哈，不过有一说一，网课效果好不好，取决于家里是不是有一个二十四小时在岗执勤的妈[苦涩] ,[],False,0.015111446380615234
,哈哈哈哈哈哈哈哈哈救命🆘 ,[],False,0.24158334732055664
,救命🆘[允悲][允悲] ,[],False,0.33842480182647705
,这时如果被老师点名回答问题会不会被吓跑[允悲] ,[],False,0.1429557204246521
,"
喔趣 ",[],False,0.10811519622802734
,哈….这真的会吓坏小孩子 ,[],False,0.294830858707428
,笑我一节早自习[跪了][跪了][跪了] http://t.cn/A66QNT64 ,[],False,0.45543020963668823
,我们老师卡出电音…… ,[],False,0.4229491949081421
,啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这啊这这这这这这 ,[],False,0.47980624437332153
,"

送给广大网友
不用谢 ",[],False,0.35587799549102783
,乐死我了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 ,[],False,0.42046838998794556
,天呐这个话题里这么多恐怖片[衰][衰]看得我哈哈哈哈哈…… ,[],False,0.27159416675567627
,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 ,[],False,0.22468245029449463
,毒液③笑死我了 ,[],False,0.3386092782020569
,哈哈哈哈哈哈哈 ,[],False,0.21317261457443237
,"
笑死 ",[],False,0.12413996458053589
,睡前根本不敢点进这个词条，也幸好没点，否则我可能会睡不着了[允悲] ,[],False,0.3855878710746765
,还挺好玩[doge]刚好今天老师会直播[笑而不语] ,[],False,0.14031082391738892
,笑死在这个词条[笑cry][笑cry][笑cry] ,[],False,0.35881805419921875
, http://t.cn/A66QCZ8S ,[],False,0.44435304403305054
,哈哈哈哈哈哈哈我们卡出电音[哈哈][哈哈] ,[],False,0.1952270269393921
