ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,【#遇上裸聊诈骗该咋办#？】浙江金华的胡女士因与一陌生男网友视频裸聊过，被男网友用不雅照威胁，先后多次向其转账共计14000元。如果被他人拿裸聊照片、视频威胁，应如何正确应对？首先，一定要明确知道对方行为可能已涉嫌诈骗，根据我国刑法规定，诈骗公私财物，数额较大的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。其次，如果对方将裸聊视频散播出去，涉嫌侵犯他人隐私。根据我国民法典规定，自然人享有隐私权。任何组织或者个人不得以刺探、侵扰、泄露、公开等方式侵害他人的隐私权。散播他人隐私，也违反了我国治安管理处罚法。根据我国治安管理处罚法规定，偷窥、偷拍、窃听、散布他人隐私的，处五日以下拘留或者五百元以下罚款；情节较重的，处五日以上十日以下拘留，可以并处五百元以下罚款。另外，群发裸聊视频的行为，还涉嫌传播淫秽物品罪。根据我国刑法规定，传播淫秽的书刊、影片、音像、图片或者其他淫秽物品，情节严重的，处二年以下有期徒刑、拘役或者管制。#法报君说#一旦意识到遭遇敲诈，不管诈骗进行到了哪一步，都应该马上切断与骗子的联系，立即报警。洁身自好、遵纪守法，才能不给犯罪分子可乘之机！视频自http://t.cn/A668wftu （作者：李一鸣）,"['浙江', '金华']",True,NA
,#以案说法# 【 ，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。 http://t.cn/A668wftu,"['浙江', '金华']",True,0.3591686487197876
,【 ，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。@西部决策http://t.cn/A668wftu,"['浙江', '金华']",True,0.4670659899711609
,"【 ，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。 
http://t.cn/A668wftu","['浙江', '金华']",True,0.4593888521194458
,【 ，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。@西部决策 西部决策的微博视频 #妻子被调戏丈夫反击致1死3伤无罪#,"['浙江', '金华']",True,0.4412159323692322
,【 ，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。  http://t.cn/A66R2Vr0,"['浙江', '金华']",True,0.4811652898788452
,【 ，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。@西部决策 http://t.cn/A668wftu #妻子被调戏丈夫反击致1死3伤无罪#,"['浙江', '金华']",True,0.4418502449989319
,"
要有正确的交友观，尤其是网络交友更要慎之又慎。
裸聊这种事情放在普通人身上压根是不能接受的事情，很难想象胡女士是什么心态，是真的相信网络爱情了吗？
而且，裸聊千万不要随意暴露自己的隐私，很容易被不法分子利用。遇到这种事情，第一时间就应该寻求警方的帮助，而不是一味的纵容犯罪嫌疑人。
女性要学会自尊自爱，这可能并不是个例。也有人恋爱上头，会被人利用诈骗钱财。
这个男人也是个奇葩，可能是因爱生恨，做法确实很无耻，恋爱不成竟以裸照要挟。
#微博新知博主#",[],False,0.2779439091682434
,"
搞不懂一些人的亲密关系逻辑，正常情况难道不应该是：陌生人——朋友——好朋友——知心朋友——情侣，一步步发展么？当然，如果魅力特别强，荷尔蒙失控，那也是可以直接跳级的，但从这个新闻的描述来看，二人并未见面，纯网友，而且还性格不合，就这样竟然还能尬聊整整8个月，简直超乎我的想象了。

敲诈虽然不对，但这个女子我觉得也不值得同情，一个素未蒙面的人，你就和别人裸聊，还8个月，能不能稍微自爱一点？而且，你就不能有点防范措施啊？对方曝光你的照片，你也可以曝光对方的啊，互曝嘛，这样就达成了威胁平衡，也不用警察出面帮你了，多好。
#微博新知博主#",[],False,0.16714739799499512
,【 ，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。@西部决策 http://t.cn/A668wftu #妻子被调戏丈夫反击致1死3伤无罪#,"['浙江', '金华']",True,0.4418502449989319
,"
这个新闻网友评论最搞笑: 胡女士最怕的就是被别人知道，好家伙，你直接新闻给人家报道出来了🙏 ",[],False,0.3883427381515503
,【 ，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。@西部决策 http://t.cn/A668wftu,"['浙江', '金华']",True,0.4670659899711609
,#法治微课堂# 【后果很严重！你能抵抗美女的#裸聊#诱惑吗？[吃瓜]】 多愁善感的女孩惹人怜，你每天和她嘘寒问暖，有一天对方邀你脱掉衣服“坦诚相见”，如果你照着做，那你就掉进对方的“陷阱”了……（via.公安主持人）[并不简单] http://t.cn/A6xm6Z8v ,[],False,0.3149084448814392
,【 ，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。http://t.cn/A668wftu,"['浙江', '金华']",True,0.4593888521194458
,【，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。http://t.cn/A668wftu via.@西部决策,"['浙江', '金华']",True,0.47737985849380493
,【 ，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。@西部决策 http://t.cn/A668wftu,"['浙江', '金华']",True,0.4670659899711609
,【 ，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。@西部决策 http://t.cn/A668wftu,"['浙江', '金华']",True,0.4670659899711609
,#法治微课堂# 【后果很严重！你能抵抗美女的#裸聊#诱惑吗？[吃瓜]】 多愁善感的女孩惹人怜，你每天和她嘘寒问暖，有一天对方邀你脱掉衣服“坦诚相见”，如果你照着做，那你就掉进对方的“陷阱”了……（via.公安主持人）[并不简单] http://t.cn/A6xm6Z8v ,[],False,0.3149084448814392
,【 ，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。@西部决策 http://t.cn/A668wftu #妻子被调戏丈夫反击致1死3伤无罪#,"['浙江', '金华']",True,0.4418502449989319
,【 ，忍无可忍报警男子3小时被抓】近日，浙江金华，胡女士几年前与一陌生男网友视频裸聊过，后来感觉性格不合不联系了。去年8月，对方开始多次用胡女士的不雅照威胁，数额从几百到几千不等，胡女士为删除照片，先后向对方转账共计14000元。当对方再次威胁，胡女士选择报警。报警3小时后，嫌疑人程某被警方抓获。@西部决策 http://t.cn/A668wftu,"['浙江', '金华']",True,0.4670659899711609
,#金牛提醒# 今日份防骗小贴士  ,[],False,0.3589838743209839
