ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,【一个，两个，三个……[心]】近日，四川德阳，一辆轿车突然撞毁护栏冲进河中。车上载有3人，坠河后逐渐下沉。危急时刻，多名路人“下饺子式”接连跳入河中，岸上还有人搭梯子、递绳子施救。最后，众人合力敲开车窗，将被困人员救出。#一群陌生人不约而同的选择#，谢谢你们！http://t.cn/A66Rwlhi ,"['四川', '德阳']",True,0.3247010111808777
,【一个，两个，三个……[心]】近日，四川德阳，一辆轿车突然撞毁护栏冲进河中。车上载有3人，坠河后逐渐下沉。危急时刻，多名路人“下饺子式”接连跳入河中，岸上还有人搭梯子、递绳子施救。最后，众人合力敲开车窗，将被困人员救出。#一群陌生人不约而同的选择#，谢谢你们！@青流视频 http://t.cn/A66RZiGF http://t.cn/A66Rwlhi,"['四川', '德阳']",True,0.3348894715309143
,【一个，两个，三个……[心]】近日，四川德阳，一辆轿车突然撞毁护栏冲进河中。车上载有3人，坠河后逐渐下沉。危急时刻，多名路人“下饺子式”接连跳入河中，岸上还有人搭梯子、递绳子施救。最后，众人合力敲开车窗，将被困人员救出。#一群陌生人不约而同的选择#，谢谢你们！@青流视频 O一个、两个、三个……危急时刻他们来了！http://t.cn/A66Rwlhi,"['四川', '德阳']",True,0.3088199496269226
,【一个，两个，三个……[心]】近日，四川德阳，一辆轿车突然撞毁护栏冲进河中。车上载有3人，坠河后逐渐下沉。危急时刻，多名路人“下饺子式”接连跳入河中，岸上还有人搭梯子、递绳子施救。最后，众人合力敲开车窗，将被困人员救出。#一群陌生人不约而同的选择#，谢谢你们！@青流视频  http://t.cn/A66RZiGF http://t.cn/A66Rwlhi,"['四川', '德阳']",True,0.3348894715309143
,【一个，两个，三个……[心]】近日，四川德阳，一辆轿车突然撞毁护栏冲进河中。车上载有3人，坠河后逐渐下沉。危急时刻，多名路人“下饺子式”接连跳入河中，岸上还有人搭梯子、递绳子施救。最后，众人合力敲开车窗，将被困人员救出。#一群陌生人不约而同的选择#，谢谢你们！@央视新闻  @中国长安网 @陇原政法 @陇南发布 @陇南公安 @陇南检察 @陇南中院 @陇南司法 @陇南日报 @陇南网信  http://t.cn/A66Rwlhi,"['四川', '陇南', '德阳']",True,0.359218955039978
,【一个，两个，三个……[心]】近日，四川德阳，一辆轿车突然撞毁护栏冲进河中。车上载有3人，坠河后逐渐下沉。危急时刻，多名路人“下饺子式”接连跳入河中，岸上还有人搭梯子、递绳子施救。最后，众人合力敲开车窗，将被困人员救出。#一群陌生人不约而同的选择#，谢谢你们！@青流视频 http://t.cn/A66Rwlhi,"['四川', '德阳']",True,0.3282289505004883
,小车坠河路人下饺子式入水救人 ,[],False,0.27261143922805786
,【一个，两个，三个……[心]】近日，四川德阳，一辆轿车突然撞毁护栏冲进河中。车上载有3人，坠河后逐渐下沉。危急时刻，多名路人“下饺子式”接连跳入河中，岸上还有人搭梯子、递绳子施救。最后，众人合力敲开车窗，将被困人员救出。#一群陌生人不约而同的选择#，谢谢你们！@青流视频 http://t.cn/A66RZiGF http://t.cn/A66Rwlhi,"['四川', '德阳']",True,0.3348894715309143
,"有默默无闻人，做惊天动地事。#长空之王致敬版海报#
平凡铸就伟大，渺小成就奇迹，热烈庆祝新中国航空工业成立72周年，致敬每一个不惧挑战、努力奋斗的航空人！#长空之王#4月28日，大银幕见！ ",[],False,0.2370852828025818
,官宣！大运河流淌着乡愁，也流溢着文脉。在刚刚召开的常州市文商旅融合发展大会上，演员@白鹿my 担任常州市文旅大使，安利宝藏家乡，文昌商盛繁华地 诗画江南看常州，欢迎大家一道来常州来白相相，打卡这座非比寻“常”的“新”动之城。 http://t.cn/A6NVSgvj ,"['常州', '文昌']",True,0.19999223947525024
