ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
发布于 北京,中国篮球协会纪律与道德委员会关于对“上海久事队”“苏州肯帝亚队”的处罚决定 ,"['苏州', '上海']",True,0.4141411781311035
发布于 北京,#长沙夜生活回信预告# 这是一群人与一座城的双向奔赴吧！在美妙动听的歌曲《寄信人长沙》中，人们诉说着栩栩生辉的故事，传递着与长沙这座城交织的喜怒哀乐，这便是他们给长沙的回信。有人曾因分手痛苦，夜晚暴走湘江边直到日出朝霞得到治愈；有人异乡买房，内心的归属及幸福感溢于言表；还有导演张冀回忆起1994年，高考失利去往长沙上学路上和冷战的父亲和解，仿佛呈现出影片《长沙夜生活》中张艺兴和父亲从见面争吵到和谐相处的情感转变。#张婧仪回忆艺考录取时刻# 当听到她北电通过时班级同学饱含祝福的鼓掌。在浪漫不眠的城市长沙，有着太多动人的故事与奇妙的魔力。4月28日走进电影院，感受那份热辣的人间烟火气。 http://t.cn/A6NVifPV,['长沙'],True,0.23868536949157715
发布于 福建,"@时代少年团 携手海俪恩眼镜，演绎耀眼青春
一镜聚焦少年清爽姿态~
享受海岛惬意时刻 http://t.cn/A6NV9ltF ",[],False,0.049249231815338135
发布于 河北,这简直是和长沙双向奔赴的大动作！才收到长沙的来信，现在咱们就积极回信了。#长沙夜生活回信预告# 不知道大家有没有发现，我们和长沙真的可以牢牢锁死呜呜呜。长沙愿我们前方有天涯身后有家，这不小姐姐就回到长沙买了房从此拥有了归属感；长沙问可曾收到送的烟花，这就有长漂的朋友分享放烟火的璀璨夜晚；还有#张婧仪回忆艺考录取时刻# 收到班级同学祝福的喜悦溢于言表。长沙就是这样一座高包容度、充满故事的城市，真的很难让人不爱呀，0428让我们一起期待更多的长沙故事～ http://t.cn/A6NVifPV,['长沙'],True,0.2008662223815918
发布于 上海,"任务达成 @gentlemonsterofficial
SECRET CODE: #CRYSTAL CLEAR#

即将迎来下一个挑战，准备好了吗？
#GENTLE MONSTER X KUN# http://t.cn/A6NVXG9a ",[],False,0.29160892963409424
,"#蒋龙[超话]#  
📷最喜欢的角度之二
🍎苹果肌和法令纹（划掉，是酒窝！）
[太阳]梨涡浅笑

妆造加🍗！@蒋龙_Sunday [开学季] [彩虹屁] #蒋龙特战荣耀# ",[],False,0.22210097312927246
,官宣！大运河流淌着乡愁，也流溢着文脉。在刚刚召开的常州市文商旅融合发展大会上，演员@白鹿my 担任常州市文旅大使，安利宝藏家乡，文昌商盛繁华地 诗画江南看常州，欢迎大家一道来常州来白相相，打卡这座非比寻“常”的“新”动之城。 http://t.cn/A6NVSgvj ,"['文昌', '常州']",True,0.19999223947525024
发布于 四川,环太平洋同步训练视频被曝光 http://t.cn/A6NV9dpW ,[],False,0.33111751079559326
发布于 浙江,"🌈杭州的虞美人开啦！美得不像话~
面对照片词穷了好久
不知该如何向你描述它的美~
#春游季##杭州旅行##春日乐趣大会# 
.
🚗从上海搬来杭州快2年了，作为一名旅行博主总是在路上，走遍外面世界的山川湖海，却忘了欣赏眼前的美好。
.
🏠朋友说，你在杭州是不是都没出门过，我想了想，似乎真的是~她说，径山公园的虞美人开了，要不一起去看看~那咱就说走就走。
.
🌸等到了实地才发现，径山公园的这一大片虞美人真的太美了！我知识库中的词汇都不足以形容它的美~它如莫奈花园般美丽，走在其中仿佛走进了油画中。
.
❤而且令人比较欣喜的是，虞美人在花园的位置算是比较近的，比去其他地方拍鲜花要方便许多。花田间有很多小道可以走在上面~蹲在或者站在小道上，就能拍出美美的大片啦！公园里人比较多，找找机位就行~
.
PS
1⃣️千万不要去踩花花，这么漂亮的花怎么忍心踩踏或采摘！看到花田一些被糟蹋的花真的心疼！
2⃣️花丛里蚊虫蜜蜂比较多，记得去前涂点花露水。
3⃣️最佳拍摄时间是在傍晚时候，我们拍的时候在大中午，光比还是比较大的。 ","['杭州', '上海']",True,0.05658608675003052
发布于 上海,#萌探3礼貌式阵容官宣#  超级侦探，认真办案！看在你这么有“礼貌”的份上，我也真诚的“回礼”一下[偷乐]#萌探探探案# ,[],False,0.27821820974349976
发布于 江苏,#野居一家官宣# “大姑”报到 [开学季] ,[],False,0.31168442964553833
