ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,啊啊啊新职业必须冲！ ,[],False,0.028827428817749023
,感觉很酷诶，期待期待[送花花][送花花][送花花] ,[],False,0.02885890007019043
发布于 北京,中国篮球协会纪律与道德委员会关于对“上海久事队”“苏州肯帝亚队”的处罚决定 ,"['苏州', '上海']",True,0.4141411781311035
发布于 浙江,"🌈杭州的虞美人开啦！美得不像话~
面对照片词穷了好久
不知该如何向你描述它的美~
#春游季##杭州旅行##春日乐趣大会# 
.
🚗从上海搬来杭州快2年了，作为一名旅行博主总是在路上，走遍外面世界的山川湖海，却忘了欣赏眼前的美好。
.
🏠朋友说，你在杭州是不是都没出门过，我想了想，似乎真的是~她说，径山公园的虞美人开了，要不一起去看看~那咱就说走就走。
.
🌸等到了实地才发现，径山公园的这一大片虞美人真的太美了！我知识库中的词汇都不足以形容它的美~它如莫奈花园般美丽，走在其中仿佛走进了油画中。
.
❤而且令人比较欣喜的是，虞美人在花园的位置算是比较近的，比去其他地方拍鲜花要方便许多。花田间有很多小道可以走在上面~蹲在或者站在小道上，就能拍出美美的大片啦！公园里人比较多，找找机位就行~
.
PS
1⃣️千万不要去踩花花，这么漂亮的花怎么忍心踩踏或采摘！看到花田一些被糟蹋的花真的心疼！
2⃣️花丛里蚊虫蜜蜂比较多，记得去前涂点花露水。
3⃣️最佳拍摄时间是在傍晚时候，我们拍的时候在大中午，光比还是比较大的。 ","['上海', '杭州']",True,0.05658608675003052
, 对新流派的第一感觉 艺术美 ,[],False,0.007691621780395508
,"【专十平 揪100位粉丝平分10,000现金】
逆水寒全新流派【荒羽】6月上线江湖，轻功卓绝且身法轻巧，招式之间颇有沙场淬炼出的杀伐之气！一招一式迅猛如雷，可取敌将首级于万军之中！相传，荒羽弟子常在生死、怒恶等七情八苦中磨炼自身，可在战斗中以雷神之姿出战，举手投足犹如雷霆间隙。[作揖]  

接下来，就带大家看看荒羽的战斗手段！

※ 荒羽可以通过武器“链刃”使用多种技能，如【奔雷索】将自己拉到任何一个有效的位置，在对战时灵活使用可出其不意！

※ 荒羽还善于驯养黑鹰，常在战斗中召唤猛禽与自己并肩作战，比如这招【鹰扬·霆击】便可御鹰滑行，从敌人头顶突袭！

※ 荒羽常在风沙之地淬炼自身，因此技能【裂空斩】、【猎风刃】、【荒龙噬骨】等都可利用风沙输出极高爆发的伤害！

※ 荒羽在极限条件下还将爆发“天雷之力”，以雷神之姿进行战斗！可谓一怒惊天地，风沙自化雷！暂无展示，请期待后续爆料！

以下技能展示还都是研发中的版本哦，终版更帅！[憧憬] 看了第一波爆料，你对荒羽还有什么其他猜测，一起在评论区讨论吧！ http://t.cn/A668FsX9",[],False,0.08948266506195068
,预计6月上线江湖，轻功卓绝且身法轻巧，招式之间颇有沙场淬炼出的杀伐之气！战斗手段还是蛮帅的！#你对逆水寒荒羽的期待# 各位对新职业的期待如何~欢迎畅所欲言~ ,[],False,0.010965466499328613
,官宣！大运河流淌着乡愁，也流溢着文脉。在刚刚召开的常州市文商旅融合发展大会上，演员@白鹿my 担任常州市文旅大使，安利宝藏家乡，文昌商盛繁华地 诗画江南看常州，欢迎大家一道来常州来白相相，打卡这座非比寻“常”的“新”动之城。 http://t.cn/A6NVSgvj ,"['常州', '文昌']",True,0.19999223947525024
发布于 北京,#长沙夜生活回信预告# 这是一群人与一座城的双向奔赴吧！在美妙动听的歌曲《寄信人长沙》中，人们诉说着栩栩生辉的故事，传递着与长沙这座城交织的喜怒哀乐，这便是他们给长沙的回信。有人曾因分手痛苦，夜晚暴走湘江边直到日出朝霞得到治愈；有人异乡买房，内心的归属及幸福感溢于言表；还有导演张冀回忆起1994年，高考失利去往长沙上学路上和冷战的父亲和解，仿佛呈现出影片《长沙夜生活》中张艺兴和父亲从见面争吵到和谐相处的情感转变。#张婧仪回忆艺考录取时刻# 当听到她北电通过时班级同学饱含祝福的鼓掌。在浪漫不眠的城市长沙，有着太多动人的故事与奇妙的魔力。4月28日走进电影院，感受那份热辣的人间烟火气。 http://t.cn/A6NVifPV,['长沙'],True,0.23868536949157715
,"有默默无闻人，做惊天动地事。#长空之王致敬版海报#
平凡铸就伟大，渺小成就奇迹，热烈庆祝新中国航空工业成立72周年，致敬每一个不惧挑战、努力奋斗的航空人！#长空之王#4月28日，大银幕见！ ",[],False,0.2370852828025818
发布于 北京,"发现一朵“心形云”，
有些奇妙也有些幸运。
周一，工作快乐。[太阳] ",[],False,0.05794423818588257
,很帅 新老公预订[喵喵][喵喵] ,[],False,0.010610044002532959
,帅哥！念念叨叨了四年的刺客终于出现了，大帅哥谁能抵挡的了，等上线的时候我要拉着我的朋友入了这个新坑了 ,[],False,0.008324027061462402
,嗯？帅哥你sei？ ,[],False,0.27570903301239014
, 哈哈哈哈哈哈感觉他真的还挺厉害的，一个大招出来应该可以横扫一片吧，毕竟这么帅实力应该也是超乎想象的强吧！ ,[],False,0.006707310676574707
,带 发微博，聊聊对新流派的第一感觉！官博将随机从话题页里抽取66r下午茶红包[抱一抱][抱一抱] 活动从现在开始！ ,[],False,0.18951040506362915
,对不起从不玩游戏，纯纯被大house吸引来的[笑cry]打扰了 ,[],False,0.48740869760513306
,[单身狗]干就行 ,[],False,0.4414372444152832
,"
我又来了 ",[],False,0.2002631425857544
, 准备今天晚上上号，冲就完事了@秦子倩呀 ,[],False,0.3095235824584961
,喜欢这两个，好美[哇] ,[],False,0.01112055778503418
,哟哟哟，这感觉就是新流派的新掌门啊！颜值放在这里就是门面担当的样子 ,[],False,0.008630037307739258
,江湖上可能又要多一个迷倒万千少女的人物了，谁能够拒绝得了帅哥呢？ ,[],False,0.020756185054779053
, 哈哈哈我觉得大家应该都是非常喜欢帅哥的吧！面对着帅哥谁能不心动！谁能不喜欢呢！感觉暖宝真的是非常懂我们的心思呀！ ,[],False,0.016569972038269043
, 哈哈，其实我觉得这个新流派会不会是杨过的后人呀？因为感觉他那个鹰和那个雕长得还真的是非常像的！我真的脑洞打开了！ ,[],False,0.01111692190170288
,新流派感觉要在江湖上掀起腥风血雨了，荒羽这个形象一出场就让人眼前一亮的感觉 ,[],False,0.008819639682769775
, 感觉真的是太懂我们了，这种帅哥真的是太喜欢了，而且感觉帅哥的杀伤力真的很强呀，江湖上又要多出一个传说了吧！ ,[],False,0.006260871887207031
, 感觉这一次的新派流的颜值真的很高哇，就妥妥的一枚大帅哥啊，看着厉害点一个职业啊，不知道啥时候上线，我和朋友一直在期待了 ,[],False,0.0090523362159729
, 厉害厉害，这形象我真的爱了，谁能拒绝一个刺客小哥哥呢！看到他真的分分钟心动呀，真想拥有！而且杀伤力感觉挺足的！ ,[],False,0.00846165418624878
,我看到了什么居然看到了一只雕，难道这个新职业是杨过吗？难道接下来还有一个后续是龙儿？？ ,[],False,0.2417280673980713
, 哈哈哈哈，我的天呐，感觉这个位移性真的是非常不错呀，就好像这个新流派都没有啥不会的，这是妥妥的全能吧，真的爱了爱了！ ,[],False,0.006247460842132568
,感觉这个荒羽的动作好帅啊，画质也很绝，技能也蛮符合我心意的，确实还挺像试试看，如果服化做得更好一些就好了，感觉可以再突出一些它的轻盈感 ,[],False,0.006282210350036621
,第一感觉是很有安全感 ,[],False,0.02326357364654541
,"
宝们，这个新职业看起来好聪明的样子，我们手残党可以冲吗[送花花] ",[],False,0.26876306533813477
,[doge] ,[],False,0.37617188692092896
, 没玩过来着，有点好奇 ,[],False,0.17871427536010742
,碎梦再也不是我心中第一帅了[并不简单] ,[],False,0.46114426851272583
,以战神之姿出战，叱咤风云，九天云霄，迎击俯冲，新角色眼前一亮，作为超级玩家还是很期待的@逆水寒 ,[],False,0.006456136703491211
,trytry ,[],False,0.12079399824142456
,就 挺帅  ,[],False,0.027682602405548096
, 新流派真的是非常的厉害呀，我感觉颜值有那么高，而且实力还那么强，这真的是让人感到非常心动和羡慕呀！谁能不喜欢！ ,[],False,0.015528500080108643
, 感觉还不错，棒棒哒！都想赶紧去体验一下了！  ,[],False,0.010592877864837646
,"看起来好帅捏[开学季]
我猜是打击感很强带控制的近战刺客，龙吟的群伤碎梦的单体点杀，玄机的鸟
但是看技能和凌雪阁有点像。。可能带控制单挑强
有新职业我六月就打算回坑了，如果六月我有空的话，六月网课要开了[单身狗]  ",[],False,0.034499406814575195
,新晋男神帅气，已经做好更新准备，周末也真是继续冲冲的好时机啊哈哈～ ,[],False,0.006252765655517578
,酷是真酷，打击感也不错。但所有的近战都让我emo... ,[],False,0.42178744077682495
,好帅[晕] ,[],False,0.05080968141555786
,建模可靠谱[喵喵] ,[],False,0.09210741519927979
,来了来了，该到我了吧  ,[],False,0.4418655037879944
,"感谢！这个美女我爱了！本来好怕有鸡爪什么的造型[doge]还好没有
我喜欢！@逆水寒 ",[],False,0.011209607124328613
,看起来就是长相是我喜欢的类型，而且技能真的是很强无短板，感觉这是我的新男神了 ,[],False,0.0062500834465026855
,这个风格我特别的喜欢，莫名的有感。。。 ,[],False,0.008331060409545898
, ,[],False,0.05462068319320679
,我的心老婆[开学季][开学季][开学季][开学季] ,[],False,0.25066620111465454
,啥也不说了看看我吧[单身狗] ,[],False,0.40006017684936523
,这个武器看起来真的是特别的帅气居然是死亡圣器“链刃”感觉碰到了他，估计整个人都要不好了吧？ ,[],False,0.17002326250076294
,我没想到在这时候给了我们新的惊喜，江湖上面从此多了一个大帅哥，以后我的选择困难症又要纠结了 ,[],False,0.01167219877243042
,看到荒羽这个形象有没有想起杨过的感觉？而且这是一个全新的流派，只是要掀起新的风暴了呀 ,[],False,0.0108259916305542
