ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
发布于 中国香港,"#云南傣族泼水节最小玩家#

今天又碰到她了，到底泼还是不泼[嘻嘻]
#4月奇趣季##人间四月天# ",['云南'],True,0.1096193790435791
发布于 广东,"《海的尽头是草原》提名金像奖最佳亚洲华语电影的时候，尔导说“如果拿不到奖你们不要怪我”。我们异口同声地说草原一家人能在金像奖跟导演重聚，这比什么都重要。
然而，当我们的电影获奖那一瞬间，惊喜和幸福还是强烈地冲击了我们。恭喜导演，又何其幸运，第一次参加金像奖的我就分享了这份幸福。
两年前的4月15日，在内蒙古电影集团推荐下，我有幸与尔导和于冬总结缘，在银幕上讲述家乡的故事，开启了我的电影之梦。两年后，在金像奖现场，我亲眼见证这个故事获奖。草原母亲养育三千孤儿的大爱故事，超越时间地域与民族，走进更多人心里。
颁奖典礼上，有很多感激的话要讲，却没有脱口而出。借一点小小感慨再次感谢尔导和这个有温度的剧组。光影创造魔法，草原给予力量，爱在流淌，努力善良的人，会得到眷顾。",['内蒙古'],True,0.058132708072662354
,"【#民航局回应东航坠机传言#：谣言】#民航局辟谣东航坠机与副驾有关#11日，民航局召开发布会，回应近日境内外有传闻说“东航飞机失事锁定副驾驶”等传闻：谣言，已报警。
中国民航局航空安全办公室副主任吴世杰表示，近日境内外网络上出现了关于“从东航公安系统上层的信息释放，东航失事原因锁定副驾驶”、“黑匣子数据已经出来”以及“民航局安全办下发紧急通知，要求对执飞航班飞行人员进行航医心理健康监测”等种种谣言。这些谣言假借政府部门、公安机关之名发布虚假信息，严重误导社会公众认知，干扰事故调查工作，已涉嫌违法，有关部门正配合公安机关开展调查，将依法追究造谣者法律责任。
“3.21”事故调查工作正在按照程序紧张进行，我们将尽全力尽快查明事故原因，依法依程序发布有关信息。http://t.cn/A66nAUHN http://mapi/001WLsZ7ly1h15sxw3pudj60ci0cigm902",[],False,0.4021386504173279
,【#民航局回应东航副驾驶传闻#：谣言，已报警】中国民航局航空安全办公室副主任吴世杰表示：“3.21”事故目前还在调查中，还不能给事故原因和性质下结论。近日我们也发现境内外网络上出现了关于“从东航公安系统上层的信息释放，东航失事原因锁定副驾驶”、“黑匣子数据已经出来”以及“民航局安全办下发紧急通知，要求对执飞航班飞行人员进行航医心理健康监测”等种种谣言。这些谣言假借政府部门、公安机关之名发布虚假信息，严重误导社会公众认知，干扰事故调查工作，已涉嫌违法，有关部门正配合公安机关开展调查，将依法追究造谣者法律责任。（人民日报记者邱超奕） ,[],False,0.4301760196685791
,【#民航局回应东航副驾驶传闻#：谣言，已报警】中国民航局航空安全办公室副主任吴世杰表示：“3.21”事故目前还在调查中，还不能给事故原因和性质下结论。近日我们也发现境内外网络上出现了关于“从东航公安系统上层的信息释放，东航失事原因锁定副驾驶”、“黑匣子数据已经出来”以及“民航局安全办下发紧急通知，要求对执飞航班飞行人员进行航医心理健康监测”等种种谣言。这些谣言假借政府部门、公安机关之名发布虚假信息，严重误导社会公众认知，干扰事故调查工作，已涉嫌违法，有关部门正配合公安机关开展调查，将依法追究造谣者法律责任。（人民日报记者邱超奕）,[],False,0.4301760196685791
,#MU5735事故原因还在调查中#【民航局回应东航失事客机传言：#民航局将依法追究造谣者法律责任#】民航局今天举行4月第一场新闻发布会，民航局相关司局负责人介绍民航近期开展安全大检查大督查情况、近期民航疫情防控相关情况等。会上介绍，“3·21”东航MU5735航空器飞行事故目前还在调查中，不能给事故原因和性质下结论。 http://t.cn/A66nArxo,[],False,0.4215204119682312
,不信谣不传谣 ,[],False,0.12307965755462646
,怎么会有人拿这个造谣阿[晕] ,[],False,0.48431533575057983
,"
造谣不容姑息，支持追究法律责任！ ",[],False,0.4591115713119507
,"【】4月11日，#民航局举行新闻发布会#，相关负责人介绍：网络上出现了“东航失事原因锁定副驾驶”“黑匣子数据已经出来”等传言。
这些传言借政府部门、公安机关之名发布虚假信息，严重误导社会公众认知，干扰事故调查工作，已涉嫌违法，有关部门正配合公安机关开展调查，将依法追究造谣者法律责任。
据中新网消息，#MU5735事故原因还在调查中#。http://t.cn/A66nAi8N",[],False,0.4885537624359131
,"【#MU5735事故原因还在调查中#】#民航局回应东航坠机传言#近期，网络上有针对“3.21”事故原因的一些传言，真实情况到底如何？中国民航局航空安全办公室副主任吴世杰11日在发布会上表示，“3.21”事故目前还在调查中，还不能给事故原因和性质下结论。

民航日常安全管理，十分关注包括飞行员在内的空勤人员的思想状况和心理状况，这是民航安全管理工作的重要内容和方法。民航系统在常态化安全检查的基础上，会不定期开展安全整顿，这些检查和整顿都会不同程度的涉及包括空勤人员队伍稳定、思想稳定的相关内容。此次“3.21”事故发生后，对民航一线从业人员的心理和情绪产生一定冲击，部分员工情绪波动，尤其是部分年轻空勤人员出现应激心理反应，情绪较低落。民航局对此高度重视，全国民航安全电视电话会议专门提出要求，主动采取措施，帮助飞行员、乘务员和安全员纾解心理压力，各航空公司已在第一时间按照民航系统长期以来较为完善的制度政策开展相关工作，落实各项运行安全保障措施，确保空勤人员保持稳定的、积极的思想状况和心理状态，全身心投入飞行安全工作。这项工作目前取得很好的成效，全行业空勤队伍总体稳定，完全能够担当确保航空飞行安全的重任。

近日我们也发现境内外网络上出现了关于“从东航公安系统上层的信息释放，东航失事原因锁定副驾驶”、“黑匣子数据已经出来”以及“民航局安全办下发紧急通知，要求对执飞航班飞行人员进行航医心理健康监测”等种种谣言。这些谣言假借政府部门、公安机关之名发布虚假信息，严重误导社会公众认知，干扰事故调查工作，已涉嫌违法，有关部门正配合公安机关开展调查，将依法追究造谣者法律责任。

“3.21”事故调查工作正在按照程序紧张进行，我们将尽全力尽快查明事故原因，依法依程序发布有关信息。 ",[],False,NA
,"#MU5735事故原因还在调查中#【】4月11日，#民航局举行新闻发布会#，相关负责人介绍：网络上出现了“东航失事原因锁定副驾驶”“黑匣子数据已经出来”等传言。
这些传言借政府部门、公安机关之名发布虚假信息，严重误导社会公众认知，干扰事故调查工作，已涉嫌违法，有关部门正配合公安机关开展调查，将依法追究造谣者法律责任。
据中新网消息，MU5735事故原因还在调查中。http://t.cn/A66nAi8N",[],False,0.41258037090301514
,"中国民航局辟谣东航失事原因与副驾驶有关

针对网传中国东方航空客机失事原因与副驾驶有关，中国民航局今天公开辟谣，并指“3.21”事故目前仍在调查中，还不能给事故原因和性质下结论。

据中国新闻社报道，中国境内外网络近日出现“从东航公安系统上层的信息释放，东航失事原因锁定副驾驶”、“黑匣子数据已经出来”以及“民航局安全办下发紧急通知，要求对执飞航班飞行人员进行航医心理健康监测”等种种传言。

中国民航局航空安全办公室副主任吴世杰今天（4月11日）在新闻发布会上说，这些谣言假借政府部门、公安机关之名发布虚假信息，严重误导社会公众认知，干扰事故调查工作，已涉嫌违法，有关部门正配合公安机关开展调查，将依法追究造谣者法律责任。
  
他表明，“3.21”事故调查工作正在按照程序紧张进行，民航局将尽全力尽快查明事故原因，依法依程序发布有关信息。

吴世杰说，思想状况和心理状况，是民航安全管理工作的重要内容和方法。民航系统在常态化安全检查的基础上，会不定期开展安全整顿，这些检查和整顿都会不同程度的涉及包括空勤人员队伍稳定、思想稳定的相关内容。

他指出，此次“3.21”事故发生后，对民航一线从业人员的心理和情绪产生一定冲击，部分员工情绪波动，尤其是部分年轻空勤人员出现应激心理反应，情绪较低落。

民航局对此高度重视，全国民航安全电视电话会议专门提出要求，主动采取措施，帮助飞行员、乘务员和安全员纾解心理压力，各航空公司已在第一时间按照民航系统长期以来较为完善的制度政策开展相关工作，落实各项运行安全保障措施，确保空勤人员保持稳定的、积极的思想状况和心理状态。

他强调，这项工作目前取得很好的成效，全行业空勤队伍总体稳定，完全能够担当确保航空飞行安全的重任。

东方航空载有132人的波音737客机，在3月21日执行昆明至广州航班任务时，在广西梧州坠毁。

失事飞机的第一个黑箱在3月23日寻获，27日找到第二个黑箱。救援部门现场搜索六天后，于3月26日宣布，机上123名乘客和九名机组人员全部遇难。

中国民航局航空安全办公室主任朱涛3月31日在发布会上说，两部黑箱数据正在解码中，根据国际民航公约附件和中国民航规章的要求，将在事发30天内完成初步调查报告，全部调查结束后，会向公众公布完整的调查报告。","['昆明', '东方', '梧州', '广州']",True,NA
,"【#MU5735事故原因还在调查中#】#民航局回应东航坠机传言#近期，网络上有针对“3.21”事故原因的一些传言，真实情况是咋样的？中国民航局航空安全办公室副主任吴世杰11日在发布会上表示，“3.21”事故目前还在调查中，还不能给事故原因和性质下结论。

近日境内外网络上出现了关于“从东航公安系统上层的信息释放，东航失事原因锁定副驾驶”、“黑匣子数据已经出来”以及“民航局安全办下发紧急通知，要求对执飞航班飞行人员进行航医心理健康监测”等种种谣言。这些谣言假借政府部门、公安机关之名发布虚假信息，严重误导社会公众认知，干扰事故调查工作，已涉嫌违法，有关部门正配合公安机关开展调查，将依法追究造谣者法律责任。

“3.21”事故调查工作正在按照程序紧张进行，尽全力尽快查明事故原因，依法依程序发布有关信息。",[],False,0.41699451208114624
,【#民航局回应东航副驾驶传闻#：谣言，已报警】中国民航局航空安全办公室副主任吴世杰表示：“3.21”事故目前还在调查中，还不能给事故原因和性质下结论。近日我们也发现境内外网络上出现了关于“从东航公安系统上层的信息释放，东航失事原因锁定副驾驶”、“黑匣子数据已经出来”以及“民航局安全办下发紧急通知，要求对执飞航班飞行人员进行航医心理健康监测”等种种谣言。这些谣言假借政府部门、公安机关之名发布虚假信息，严重误导社会公众认知，干扰事故调查工作，已涉嫌违法，有关部门正配合公安机关开展调查，将依法追究造谣者法律责任。,[],False,0.4315270781517029
,"民航局辟谣东航坠机与副驾驶有关：已报警

4月11日，民航局召开发布会，回应近日境内外有传闻说“东航飞机失事锁定副驾驶”等传闻：谣言，已报警。
中国民航局航空安全办公室副主任吴世杰表示，近日境内外网络上出现了关于“从东航公安系统上层的信息释放，东航失事原因锁定副驾驶”、“黑匣子数据已经出来”以及“民航局安全办下发紧急通知，要求对执飞航班飞行人员进行航医心理健康监测”等种种谣言。这些谣言假借政府部门、公安机关之名发布虚假信息，严重误导社会公众认知，干扰事故调查工作，已涉嫌违法，有关部门正配合公安机关开展调查，将依法追究造谣者法律责任。
“3.21”事故调查工作正在按照程序紧张进行，我们将尽全力尽快查明事故原因，依法依程序发布有关信息。",[],False,0.4956437945365906
, 急什麼，一下子放出來，又會有人說太快，真實性可疑。不用急，總有一天水落石出～biss造謠者 ,['天水'],True,0.28632646799087524
,造谣严惩 ,[],False,0.27293485403060913
,"东航飞机失事原因锁定副驾驶？民航局：谣言！

视频简介

近日，网上出现了“东航失事原因锁定副驾驶”“黑匣子数据已经出来”“民航局安全办下发紧急通知，要求对执飞航班飞行人员进行航医心理健康监测”等传言。民航局航空安全办公室副主任吴世杰11日在新闻发布会上表示，这些传言借政府部门、公安机关之名发布虚假信息，严重误导社会公众认知，干扰事故调查工作，已涉嫌违法，有关部门正配合公安机关开展调查，将依法追究造谣者法律责任。“3·21”东航MU5735航空器飞行事故目前还在调查中，还不能给事故原因和性质下结论。各方将尽全力尽快查明事故原因，依法依程序发布有关信息。
http://t.cn/A66n4vak",[],False,0.4871101975440979
,"【#MU5735事故原因还在调查中#】#民航局回应东航坠机传言#近期，网络上有针对“3.21”事故原因的一些传言，真实情况到底如何？中国民航局航空安全办公室副主任吴世杰11日在发布会上表示，“3.21”事故目前还在调查中，还不能给事故原因和性质下结论。

民航日常安全管理，十分关注包括飞行员在内的空勤人员的思想状况和心理状况，这是民航安全管理工作的重要内容和方法。民航系统在常态化安全检查的基础上，会不定期开展安全整顿，这些检查和整顿都会不同程度的涉及包括空勤人员队伍稳定、思想稳定的相关内容。此次“3.21”事故发生后，对民航一线从业人员的心理和情绪产生一定冲击，部分员工情绪波动，尤其是部分年轻空勤人员出现应激心理反应，情绪较低落。民航局对此高度重视，全国民航安全电视电话会议专门提出要求，主动采取措施，帮助飞行员、乘务员和安全员纾解心理压力，各航空公司已在第一时间按照民航系统长期以来较为完善的制度政策开展相关工作，落实各项运行安全保障措施，确保空勤人员保持稳定的、积极的思想状况和心理状态，全身心投入飞行安全工作。这项工作目前取得很好的成效，全行业空勤队伍总体稳定，完全能够担当确保航空飞行安全的重任。

近日我们也发现境内外网络上出现了关于“从东航公安系统上层的信息释放，东航失事原因锁定副驾驶”、“黑匣子数据已经出来”以及“民航局安全办下发紧急通知，要求对执飞航班飞行人员进行航医心理健康监测”等种种谣言。这些谣言假借政府部门、公安机关之名发布虚假信息，严重误导社会公众认知，干扰事故调查工作，已涉嫌违法，有关部门正配合公安机关开展调查，将依法追究造谣者法律责任。

“3.21”事故调查工作正在按照程序紧张进行，我们将尽全力尽快查明事故原因，依法依程序发布有关信息。",[],False,NA
