ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
," 原来二十岁还有这样的烦恼，你跟家人出门有被误会的经历吗？
 （via:推图鹅） http://t.cn/A66EV6pz ",[],False,0.33106982707977295
发布于 湖南,"#五一档电影扎堆#
只能看到《长空之王》🛫
五一档唯一头部，唯一商业大片🛫
北京国际电影节闭幕影片🛫
质量有保证🛫 ",['北京'],True,0.049709439277648926
发布于 山东,【xportsnews】[aespa5月8日将发行新迷你专辑《MY WORLD》再次掀起热潮]aespa的新迷你专辑《MY WORLD》是继去年7月发行的第二张迷你专辑《Girls》之后时隔10个月发行的专辑，共收录了6首歌曲。通过REAL WORLD回归的aespa成员们将展开世界观的第二季故事。特别是aespa在此次专辑发行之前，将于5月2日率先公开收录曲《Welcome To MY World》，展开回归预热。#aespa[超话]#,[],False,0.15440130233764648
发布于 广东,"《海的尽头是草原》提名金像奖最佳亚洲华语电影的时候，尔导说“如果拿不到奖你们不要怪我”。我们异口同声地说草原一家人能在金像奖跟导演重聚，这比什么都重要。
然而，当我们的电影获奖那一瞬间，惊喜和幸福还是强烈地冲击了我们。恭喜导演，又何其幸运，第一次参加金像奖的我就分享了这份幸福。
两年前的4月15日，在内蒙古电影集团推荐下，我有幸与尔导和于冬总结缘，在银幕上讲述家乡的故事，开启了我的电影之梦。两年后，在金像奖现场，我亲眼见证这个故事获奖。草原母亲养育三千孤儿的大爱故事，超越时间地域与民族，走进更多人心里。
颁奖典礼上，有很多感激的话要讲，却没有脱口而出。借一点小小感慨再次感谢尔导和这个有温度的剧组。光影创造魔法，草原给予力量，爱在流淌，努力善良的人，会得到眷顾。",['内蒙古'],True,0.058132708072662354
,"
我还没20，带个帽子口罩下楼，在电梯里碰见两个小孩子，一口一个阿姨阿姨，那几个大人说，真有礼貌，我真尴尬啊 ",[],False,0.40259677171707153
,疫情结束，我一定要去看演唱会，听音乐会，出去旅游和玩 ,[],False,0.042031943798065186
,近日，#女生因为吃面崩溃#引发网友讨论。视频中女子控诉对象，在自己向面馆老板反映面不好吃后，对象转身就离开的行为让她最后情绪崩溃。你#觉得饭不好吃告诉老板丢人吗#？你如何看待这件事？ http://t.cn/A6NVn4NH ,[],False,0.44815707206726074
发布于 湖南,"#绿色原来自带C位属性#春意盎然的季节少不了绿色的加持，太喜欢在草原上吹风的日子了[微风]
#暖春心动季#  ",[],False,0.027233421802520752
,  二十岁这个发量，你说尴不尴尬？ ,[],False,0.8674527406692505
,确实尴尬 ,[],False,0.7214494943618774
发布于 北京,"上场前十分钟的我
想要让线条更明显
你呢，想“曜”吗？

#张杰未LIVE巡回演唱会# http://t.cn/A6NVWwjC ",[],False,0.3594926595687866
发布于 四川,"光与影 丨 黑白默片📷

新风格解锁！
咱就是新中式才是YYDS
超级喜欢看筷子盘发，结果跟着视频一遍就会了！
咱就是说，中国人刻在骨子里的DNA拿捏了[许愿星]

#新中式风格#  丨 #美妆有新意# ",[],False,0.2279335856437683
发布于 中国香港,"#云南傣族泼水节最小玩家#

今天又碰到她了，到底泼还是不泼[嘻嘻]
#4月奇趣季##人间四月天# ",['云南'],True,0.1096193790435791
发布于 湖南,"「𝐃𝐑𝐄𝐀𝐌𝐒」 
在梦境尽头 遇见另一个自己🪐 http://t.cn/A6NVOOOo ",[],False,0.18315011262893677
,【@ 爱看电影的你，#五一档电影你想看哪部#？】2023“五一档”即将开启，目前已有十余部电影定档，包括《长空之王》《人生路不熟》《检察风云》《惊天救援》等。#五一小长假第1张电影票#，你选择哪一部？评论区聊聊↓↓ ,[],False,0.10827338695526123
发布于 福建,#五一总得去一趟新疆了吧#想去新疆发现新疆太远太大，五一假期根本不够玩？那不如来我们四川分疆——川西看一看呢？春天的景色一点也不输新疆哦！细细品味，不论我们去哪，我们所在的地方就是最美的风景。#镜头下的新疆有多惊艳#图源@伯牙552 ,['四川'],True,0.142142653465271
,"#女子推理社sofigaro桌游角色大片#  在这个充满谜团和疑云的世界里，跟着女侦探们穿梭于各种案件， 探寻隐藏的线索。 @SoFigaro中文版 携手@戚薇、@张雨绮、@李一桐Q、@我是李雪琴啊、@田曦薇、 @张艺凡，共同开启一场推理之旅。@女子推理社官微 @曾看开

监制/ Tutu
摄影/@AXstudio
编辑/ 丁一
造型/ Echo Zhao 
美术指导/ 79.2 视觉设计 
造型助理/ 陈影、沫然",[],False,0.08350110054016113
发布于 江苏,栖霞山风景太棒了[doge][doge]，和我一样棒#Hero全员国风再唱桃花笑##hero久酷[超话]# ,['栖霞'],True,0.08613181114196777
发布于 四川,多年前的今天我开始追逐数字艺术，从传统的架上绘画变成数字和VR手绘，使用数位屏代替了画布，我梦想将自己的梦境用全新的形式展现在人们的眼前。我遇到过瓶颈遇到过嘲讽更遇到过想要放弃的灰暗时刻，但活着不就是要勇于面对一切壁垒再竭尽全力的去冲破它们吗？人生极短，我不愿甘于平庸，我要用尽全力去把一生活的淋漓尽致！今天，我已经用数字技术完成了拿到多个国际插画大赛奖项的机械华服系列，新的科幻版二十四节气也正在绘制中。极氪品牌2周年活动，让我们一起来看这个“不敢平庸，勇于追梦”的故事吧 #敢梦的人改变世界# http://t.cn/A6NcnFkc,[],False,0.06929022073745728
, #新闻看点# http://t.cn/A66nUcTA ,[],False,0.36595845222473145
发布于 北京,吹自由的风🍃 ,[],False,0.3063592314720154
发布于 北京,沪上春日，色彩悦目。与华为nova全球代言人@TFBOYS-易烊千玺 共至nova 11系列及全场景新品发布会，目见#华为nova11# 系列出色登场，勇敢表达自我多彩。 ,[],False,0.011014223098754883
发布于 湖北,"#田田向上#

我虽然是个牛仔

#今天很wow# ",[],False,0.3370683193206787
发布于 江苏,这次MV在栖霞山 风景像我们的歌一样好听[求饶]#Hero全员国风再唱桃花笑##无畏NoFear[超话]# ,['栖霞'],True,0.17949193716049194
发布于 上海,春风和煦的日子里出去刷街放松再合适不过，但OOTD该怎么穿才出彩？不如和我一样，在小细节上选择和春天更配的颜色——绿色，恰好最近被#华为nova11新配色# 所吸引，独特的视觉冲击让人眼前一亮。经典的素皮设计元素，精致中透露出一丝特别的年轻俏皮，和元气满满的春天简直不要太搭。我悄悄替大家试了试，简直是宝藏单品，怎么拍都好看！关于新品的更多信息，大家可以关注下今天的#华为发布会#,[],False,0.015768706798553467
,不，尴尬很早就有了。十五岁时被两个喝了点酒的中年男的误认为是三个孩子的妈[裂开][裂开][裂开](可能是乡下干活的孩子显成熟点吧)我说我还没成年呢，硬是不信[费解] ,[],False,0.7266363501548767
,"
我的尴尬是我20了
出门人家问我上初几[汗]
之前跟爸妈逛街店主问我喜欢爸爸还是喜欢妈妈
我：[费解][费解][费解] ",[],False,0.22366571426391602
,"
一些回忆。。@意气用事王吨吨 ",[],False,0.3329111933708191
,朋友的故事，那会儿她还没20岁，大冬天裹得严严实实和姥爷坐公交，结果被一个奶奶让座了。 ,[],False,0.011758625507354736
, ,[],False,0.05462068319320679
,20岁了上班第一天同事问我上初几，说还没放假呢学生工怎么就出来上班了😂 ,[],False,0.4961763024330139
,哈哈哈哈哈我跟我弟出去人家以为他是我男朋友我21   我弟15[doge] ,[],False,0.24672263860702515
,确实 明明不大 却被叫姐 阿姨[拜拜] ,[],False,0.3836756944656372
,"
和我爸出门 路上那些人眼神怪怪的[怒]我每次都想说你们是不是瞎 看不出来那是我爸吗
接着和我妈上次出去买衣服逛街 那个阿姨说我是不是我妈儿媳妇 ？？？？？[怒]亲生的好不好 ",[],False,0.40749603509902954
,#每天坚持运动呀# 【帕梅拉10分钟爆汗减脂】  10分钟全身爆汗，每天健健身流流汗，健康向上生活呀[送花花]  早安～http://t.cn/A6xkzIhz   http://t.cn/A66EmK8V ,[],False,0.2808886766433716
,哈随着我年龄的增长可别人一直以为我是中学生 总有人问小孩今天初几了 之前还解释说上高中了上大学了 还说长得不像啊像十四五的现在我已经默认了 嗯对对今年马上中考了 别人一直十八岁我一直十五岁 ,[],False,0.16738158464431763
,"
那倒也不会
长得矮
155 25了 长得还比较幼稚 不管和我爸妈谁在一起 不熟悉的还以为我爸妈生二胎了 以为我是初中生 其实我打扮挺成熟的 可能在他们眼里 我是个不太着调的初中生[挖鼻] ",[],False,0.44706255197525024
,蹭蹭 ,[],False,0.7628502249717712
,30岁的人不配聊这个话题[伤心]  ,[],False,0.6519805788993835
,去办银行卡被两个工作人员问成年了吗[允悲]不过不尴尬[奥特曼]二十岁好像也没啥尴尬的[思考]只有这大学上着真没劲[晕]学习没学好[晕]玩也没玩好[晕]恋爱也谈不上[晕]天天在宿舍打保卫萝卜[春游家族] ,[],False,0.346707820892334
,绝了[喵喵]  ,[],False,0.43150317668914795
,"21了，别说被认为是大学生了，好像从来没有人问我高几了，因为都是问我初几的，连初三都没有...，都是问初一还是初二？最过分的是问我几年级了...[汗]
虽然我没有160，但也155以上啊，而且当时穿搭也不幼稚啊，就是大学生穿的啊，几年级的就过分了吧，现在小学生都普遍一五几了吗？",[],False,0.7876813411712646
,我妈以为我读大专，村里的人以为我还在读高中[拜拜] ,[],False,0.34124815464019775
,"【2022年4月11日，周一，农历三月十一，小雪晨读NO.1353.多云】

【金句】👉👉须知对待生活有千姿百态，这只是其中的一种。去寻求你自己独特的生活方式吧。——安德烈·纪德《人间食粮》 早安 💋 

【小雪说】🌸  熬不过去的日子就让自己忙碌，
想念的日子就看看清晨的日出。 🌷

【小日常】🌻 二十岁还有这样的尴尬二十多岁真的是很尴尬的年纪，你想要的东西很多，却发现自己的力量很小！不管怎样，生活依旧还得继续！加油陌生人 http://t.cn/A66Ex2gO 🙏#小雪想和你说#",[],False,0.04785531759262085
