ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,"【这么多国家“躺平”，我们为何坚持#动态清零#？[围观]】①奥密克戎的真实危害：此轮疫情中，吉林市新冠感染者97.5%为无症状和轻症。但截至4月3日，吉林市中心医院收治50名重症患者和35名危重症患者，其中10人需有创呼吸机支持呼吸。专家认为，奥密克戎对高龄患者、合并严重基础病患者等特殊人群具有严重威胁。奥密克戎绝不是“大号流感”。
②病毒继续变异的潜在风险：世界卫生组织3月30日公布的研判中，未来一年新冠病毒最糟糕的情况是出现毒性更强的变异株，且现有疫苗保护力快速降低。疫情发生后，如果不及时“动态清零”，一旦形成规模性反弹，医疗体系就会面临被击穿危险。这就不只是一个公共卫生事件，更是冲击群体心理稳定的重大社会问题。",['吉林'],True,0.07921433448791504
,【#中疾控提醒老年人尽快主动接种疫苗#】#老年人群疫苗接种有最高年龄限制吗# 针对目前我国一些地区老年人群新冠疫苗接种率仍相对较低的情况，中国疾控中心专家建议，还未接种疫苗或未接种“加强针”的老年人，要尽快主动接种疫苗。不要因为出门不多，就放松警惕。中国疾控中心提醒，接种疫苗不会立刻见效，产生保护作用需要时间，建议没有疫苗绝对禁忌的老年人尽早接种。 http://t.cn/A66E2kpO,[],False,0.2609243392944336
,【#中疾控提醒老年人尽快主动接种疫苗#】#老年人群疫苗接种有最高年龄限制吗# 针对目前我国一些地区老年人群新冠疫苗接种率仍相对较低的情况，中国疾控中心专家建议，还未接种疫苗或未接种“加强针”的老年人，要尽快主动接种疫苗。不要因为出门不多，就放松警惕。中国疾控中心提醒，接种疫苗不会立刻见效，产生保护作用需要时间，建议没有疫苗绝对禁忌的老年人尽早接种。  http://t.cn/A66E2kpO,[],False,0.2609243392944336
,看了国家卫健委防疫专家组长梁万年，对疫情封控的解读，说的通俗易懂，很容易被理解。还提到了“动态清零”的核心目的，真心觉得国家是在为所有国人的生命健康安危而努力。同时又真心觉得，“动态清零”也被一些地方和民众误解并执行了….  http://t.cn/A66nx64A ,[],False,0.008774816989898682
,"【这么多国家“躺平”，我们为何坚持#动态清零#？[围观]】①奥密克戎的真实危害：此轮疫情中，吉林市新冠感染者97.5%为无症状和轻症。但截至4月3日，吉林市中心医院收治50名重症患者和35名危重症患者，其中10人需有创呼吸机支持呼吸。专家认为，奥密克戎对高龄患者、合并严重基础病患者等特殊人群具有严重威胁。奥密克戎绝不是“大号流感”。
②病毒继续变异的潜在风险：世界卫生组织3月30日公布的研判中，未来一年新冠病毒最糟糕的情况是出现毒性更强的变异株，且现有疫苗保护力快速降低。疫情发生后，如果不及时“动态清零”，一旦形成规模性反弹，医疗体系就会面临被击穿危险。这就不只是一个公共卫生事件，更是冲击群体心理稳定的重大社会问题。@新华社",['吉林'],True,0.08640831708908081
,"#动态清零怎么看怎么干##动态清零是我国抗疫总方针#

俗话说，春江水暖鸭先知。

这话是什么意思呢？

就是说，要想切实感受国家对所谓“共存论”以及“大号流感论”的态度，要看的绝对不该是某个“科普”作家的小作文抑或是某些不经意间流出的小录音里的观点，而该是国家宣传机器怎么说。

那么，国家宣传机器在这上面的态度又是什么呢？

4月1日，中国疾控中心流行病学首席专家吴尊友在联防联控机制新闻发布会上表示，必须坚持动态清零。吴尊友表示，我国的防控实践证明，动态清零，依然是控制新冠疫情的最经济、最有效的防控策略。

4月6日，在联防联控机制新闻发布会上，国家卫健委新闻发言人米锋表示，疫情仍在高位运行，防控形势严峻复杂，必须继续坚持“动态清零”总方针不犹豫不动摇，快字当头，加紧推进重点地区应检尽检、应收尽收、应隔尽隔、应治尽治。

4月8日，人民日报刊发评论称，我国地域广阔，各地医疗卫生条件存在差异，疫苗接种在不同人群之间存在不平衡性，同时老年人口基数大。在这样的背景下，“动态清零”是现阶段基于我国当前疫情形势的最佳选择，力争在短时间内做到“动态清零”是最经济、最有效的疫情防控策略。

4月9日，新华社刊发评论称，“一段时间以来，“奥密克戎是大号流感”的论调不无市场，使一些人麻痹了思想，给疫情防控带来干扰。但现实警示我们，奥密克戎毒株传播速度快、感染人数多，造成的死亡总数高于德尔塔变异株流行的同期死亡数，具有严重的社会危害与影响”，“面对复杂严峻的疫情形势，我们必须尊重科学，时刻绷紧防疫之弦，共同织密防控之网，让病毒无所遁形。

4月10日，央视网刊发评论称，“防疫政策不仅要考虑重症率和致死率，考虑到死亡的绝对人数，更要充分评估医疗资源被挤兑的风险和付出的巨大代价”，“躺平式抗疫思维要不得”。

同日，国家卫健委新冠肺炎疫情应对处置工作领导小组专家组组长梁万年教授接连表态。梁万年强调，“奥密克戎变异株不是流感，更不能当做流感化的疫情”，“当前上海疫情严峻复杂，必须坚持动态清零，也是上海抗疫的最佳选择和方案”。

由此可见，在防疫策略上，国家秉承的态度绝对不是与新冠共存，而是尽快消灭新冠，争取用最快速度让生活早日恢复平常。

我其实也说过很多次了，如果新冠真的是所谓的大号流感，又或是我们真的能与新冠共存，那么，国家宣传机器肯定是第一个动起来的。

因为，防疫策略的代价其实是经济发展，如果可以的话，没有任何一个国家愿意付出这般代价。

进言之，现阶段之所以要坚持“动态清零”策略不动摇，主要是因为相比而言，这么做付出的成本低。

弱传播里说，由于主流舆论往往是常识，经常是常理，又或是真理，无须反复提及，也无须时时强调，更不容易引发关注，且基础性认同已经完成，无须大面积争取，所以，主流舆论大多时候往往不活跃。

而一旦主流舆论突然异乎寻常地活跃起来，往往说明出现了新情况。

显而易见的是，在防疫策略上出现的新情况就是，有新的舆论形态想要取而代之，比如“共存论”，又比如“大号流感论”。

但当下显然还没有到放开疫情彻底不管的状态，所以我们才看到，主流媒体轮番播报以“动态清零”为代表的主流舆论，为的就是安稳民心。

当然，当主流舆论进行格式化表达的时候，往往也会相当活跃。

但当前的状态显然不是格式化表达。

换言之，如果真的到了可以与病毒共存的时候，国家宣传机器势必也会活跃起来，不断强调可以放开，而不再宣扬“动态清零”。

从生物学的进化角度来说，新冠病毒终究会变得跟感冒一般温和，只是现在，由于奥密克戎等毒株具有传播速度快、感染人数多且死亡人数居高不下等特点，匆忙放开只能是对人民群众生命财产安全的不负责任。

我当然不否认，在上海本轮疫情中，或多或少的存在这样那样的乱象，但造成这些乱象的绝对不是“动态清零”的总方针有问题，而是某些人的思想出现了偏差。

归根结底，我们当前应该做的，应该是配合国家积极防疫，而不是听信流言蜚语。

在当前的情况下，有人想跟新冠共存，新冠也不想跟他们共存。

到底什么时候可以共存，还是应该听国家的。

只有国家说可以，我们才可以放心大胆地与新冠共存。

#新星V计划#  http://t.cn/A66nxdRH","['新星', '上海']",True,NA
,【#中疾控提醒老年人尽快主动接种疫苗#】#老年人群疫苗接种有最高年龄限制吗# 针对目前我国一些地区老年人群新冠疫苗接种率仍相对较低的情况，中国疾控中心专家建议，还未接种疫苗或未接种“加强针”的老年人，要尽快主动接种疫苗。不要因为出门不多，就放松警惕。中国疾控中心提醒，接种疫苗不会立刻见效，产生保护作用需要时间，建议没有疫苗绝对禁忌的老年人尽早接种。 http://t.cn/A66E2kpO,[],False,0.2609243392944336
,【】与最初的新冠病毒相比，奥密克戎变异株虽导致重症率与致死率大幅下降，但其传播率与感染率急速上升。对此，我们不可改弦更张，因为防疫政策不仅要考虑重症率和致死率，考虑到死亡的绝对人数，更要充分评估医疗资源被挤兑的风险和付出的巨大代价。面对我国基数庞大的老年人群体和医疗资源相对紧张与不平衡的现实，我们必须遵循“人民至上、生命至上”原则，做最坏的打算，做最好的准备，尽锐出战、全力以赴。#新冠感染者为什么不能居家隔离#,[],False,0.10809385776519775
,【#中疾控提醒老年人尽快主动接种疫苗#】#老年人群疫苗接种有最高年龄限制吗# 针对目前我国一些地区老年人群新冠疫苗接种率仍相对较低的情况，中国疾控中心专家建议，还未接种疫苗或未接种“加强针”的老年人，要尽快主动接种疫苗。不要因为出门不多，就放松警惕。中国疾控中心提醒，接种疫苗不会立刻见效，产生保护作用需要时间，建议没有疫苗绝对禁忌的老年人尽早接种。 http://t.cn/A66E2kpO,[],False,0.2609243392944336
,【#中疾控提醒老年人尽快主动接种疫苗#】#老年人群疫苗接种有最高年龄限制吗# 针对目前我国一些地区老年人群新冠疫苗接种率仍相对较低的情况，中国疾控中心专家建议，还未接种疫苗或未接种“加强针”的老年人，要尽快主动接种疫苗。不要因为出门不多，就放松警惕。中国疾控中心提醒，接种疫苗不会立刻见效，产生保护作用需要时间，建议没有疫苗绝对禁忌的老年人尽早接种。 http://t.cn/A66E2kpO,[],False,0.2609243392944336
,【#中疾控提醒老年人尽快主动接种疫苗#】#老年人群疫苗接种有最高年龄限制吗# 针对目前我国一些地区老年人群新冠疫苗接种率仍相对较低的情况，中国疾控中心专家建议，还未接种疫苗或未接种“加强针”的老年人，要尽快主动接种疫苗。不要因为出门不多，就放松警惕。中国疾控中心提醒，接种疫苗不会立刻见效，产生保护作用需要时间，建议没有疫苗绝对禁忌的老年人尽早接种。 http://t.cn/A66E2kpO,[],False,0.2609243392944336
,【#中疾控提醒老年人尽快主动接种疫苗#】#老年人群疫苗接种有最高年龄限制吗# 针对目前我国一些地区老年人群新冠疫苗接种率仍相对较低的情况，中国疾控中心专家建议，还未接种疫苗或未接种“加强针”的老年人，要尽快主动接种疫苗。不要因为出门不多，就放松警惕。中国疾控中心提醒，接种疫苗不会立刻见效，产生保护作用需要时间，建议没有疫苗绝对禁忌的老年人尽早接种。 http://t.cn/A66E2kpO,[],False,0.2609243392944336
,#央视快评论动态清零#【】与最初的新冠病毒相比，奥密克戎变异株虽导致重症率与致死率大幅下降，但其传播率与感染率急速上升。对此，我们不可改弦更张，因为防疫政策不仅要考虑重症率和致死率，考虑到死亡的绝对人数，更要充分评估医疗资源被挤兑的风险和付出的巨大代价。面对我国基数庞大的老年人群体和医疗资源相对紧张与不平衡的现实，我们必须遵循“人民至上、生命至上”原则，做最坏的打算，做最好的准备，尽锐出战、全力以赴。#新冠感染者为什么不能居家隔离#@央视网,[],False,0.2356266975402832
,能不能别用躺平这种词，很弱智很没文化，是不是别人不发火就把别人当傻子啊？ ,[],False,0.9600579142570496
,【#中疾控提醒老年人尽快主动接种疫苗#，未接种的死亡率远高于接种人群】 不要因为出门不多，就放松警惕！近日，中国疾控中心专家建议，还未接种新冠疫苗或未接种“加强针”的老年人，要尽快主动接种疫苗。专家介绍，60岁以上人群是重症和死亡的高风险人群，近期香港地区的奥密克戎毒株引起的死亡病例中，未接种疫苗的死亡率要远高于接种疫苗的人群，同时年龄越大，重症和死亡的风险就越高。  http://t.cn/A66nAriV,[],False,0.14174127578735352
