ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,"曝李兰迪剧组用假人当群演？脸色苍白没有五官，网友：经费哪去了！

现在影视剧拍摄的投资都非常大，动辄上亿、几亿，尤其是各种仙侠玄幻剧，动不动就号称大投资、大制作，但播出后槽点不断。不说剧情，服化道非常让人失望。

明明是动辄上亿的影视投资，服化道却比不上小制作、小投资。近日，有网友爆料李兰迪已经播出的影视剧，剧组竟然用假人当群演。虽然他们不是主角，但也这太敷衍了。

网友爆出的这则画面，一眼就可以看到群演的状态，面目苍白、五官尽失，看上去非常恐怖，网友直呼这是在拍恐怖片吗？大晚上的看实在渗人，用假人也至少该给人家画上五官。

这个消息一度冲上热搜，网友表示这不是假人，而是滤镜磨皮而导致是真人失真。群演本人也现身说法，表示我很像假人吗？

从小姐姐晒出的照片看到，小姐姐非常的漂亮，一头短发加上剪着厚重齐刘海。虽然比不上明星那样精致，但也非常的漂亮。阳光照射在脸上，非常温暖。

看到小姐姐的本人后，真的觉得影视剧的滤镜实在是太离谱了。磨皮加滤镜直接让整个人都模糊了，校园小甜剧会主角塑造的青春靓丽，没有瑕疵，但一味的追求滤镜是不是太过分了？

这是现代影视剧的通病，很多影视剧为了表现主角的美貌帅气，不断的往主角身上加滤镜，但周围的环境又处理不好，但很少有直接把真人磨成假人的情况。滤镜已经成为影视剧不能缺少的元素，处理好了更上一层楼，处理不好只会引来嘲讽。

看到这个热搜的第1想法就是影视剧的经费都到哪里去了？给服化道做准备用完了？还是说都给明星当做片酬了。

众所周知，明星的片酬一直是一个非常大的问题，即便官方多次下达指令的要求禁止天价片酬，但明星们拿到的片酬仍然不少。

尤其是一线、流量明星，一场演出动辄上百万、千万，一部剧演下来收入可能就上亿，这是普通人穷极一生也没办法达到的高度。即便这几年明星们收入不断回降，但普通人依然只能仰望。

他们真的配拿到这些钱吗？就拿杨颖来说，在爆红的时候参演了《孤芳不自赏》，拿到了8,000万的片酬，但剧中杨颖的演技大家有目共睹。

其他一线明星的片酬也不落于下风光，明星片酬能占据投资的大半部分，还要给明星们准备优质的食宿，影视剧质量就不断的下降。

明星的名气堆积起来的影视剧是不能够长久下去的，影视工作者不发现问题，不做出改变，一味的逃避，内娱影视剧剧场迟早要步TVB的后路。
#星闻杂志##李兰迪#",[],False,NA
发布于 北京,沪上春日，色彩悦目。与华为nova全球代言人@TFBOYS-易烊千玺 共至nova 11系列及全场景新品发布会，目见#华为nova11# 系列出色登场，勇敢表达自我多彩。 ,[],False,0.011014223098754883
,发布了头条文章：《剧组用假人当群演？不愧是芒果卫视，再次开创新滤镜》 http://t.cn/A66mqk09 ,['芒'],True,0.19635438919067383
," 
剧组用假人当群演？我第一次看到热搜图片的时候，我都惊呆了，这看着都只有衣服和头发了，真的就和假人一模一样了，看了评论才发现，是死亡滤镜的结果，后期快出来挨打！这样看着怪吓人的[污]。你们觉得呢？

@湖中蓝桥 http://t.cn/A66mIc5A ",[],False,0.061170876026153564
,"
哈哈哈哈哈哈哈哈哈哈哈哈笑死了 ",[],False,0.43271249532699585
,笑死我了，现在的滤镜真的很阴间阿 ,[],False,0.3708389401435852
,"【#网传剧组用假人当群演# 演员本人发文辟谣】 4月12日，有网友指出有网剧中考试的场景用了假人当群演，更称这场戏直接将一部偶像剧变成了惊悚剧。

随后群演本人发微博辟谣了：“真人在此居然有人说我是假的。”网友猜测是剧组使用了过渡的滤镜，把群演的五官给磨平了，才会导致这样的效果，纷纷留言评论：“魔幻了………这把真人磨皮成假人。”“这个阴间滤镜我是真的不得不服气。”",[],False,0.3883199095726013
,五官都给人磨没了。。。 ,[],False,0.15553182363510132
,"
啥都不说了本人都辟谣了
滤镜泰离谱了
不过剧很好看
可以来看美女的剧啊
李兰迪演技真的超好
别想打扰我study
在🥭哦 ",[],False,0.1042630672454834
,该省省，该花花，下次搞真点吧，好歹别搞个纯白的人，弄个黄皮肤的，虚化一下背景也行啊[笑cry] ,[],False,0.49636489152908325
,假人比真人演的好那就麻烦了！ ,[],False,0.4680526852607727
,这滤镜是真的吓人[吃瓜][吃瓜] ,[],False,0.43498092889785767
,"
看图yxh果然搬的又是豆瓣小组，豆瓣小组现在真的是造谣大本营了，怪不得被关停真的活该 ",[],False,0.24480760097503662
,"
我醉了，今天这个热搜把真消息撤下，把假消息放上[拜拜] ",[],False,0.3509417176246643
,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 ,[],False,0.18703335523605347
,阴间滤镜把群演五官都磨没了，然后又搞些yxh吃烂饭，现在的营销套路越来越阴间了[二哈] ,[],False,0.4394518733024597
,哈哈哈哈哈，打脸来得如此之快，真人出来辟谣了！话说这部剧是真的很好看，去年N刷！#赖冠霖别想打扰我学习# ,[],False,0.009342432022094727
,#演员辟谣剧组用假人当群演# 实在没想到竟然是我们扰学子！ ,[],False,0.264648973941803
,"
谁能想到剧播完一年多了，现在因为滤镜上了热搜[笑cry][笑cry][笑cry]srds，真的是真人小姐姐来着。&林骁然也真的是很可爱的大狗勾[可怜][可怜][可怜] ",[],False,0.27624577283859253
, 网传剧组用假人当群演，随后演员当事人辟谣：“真人在此居然说我是假的。” ,[],False,0.2222195863723755
,现在喜欢看图编故事？这不就是滤镜问题吗[挖鼻][挖鼻][挖鼻] ,[],False,0.2818356156349182
,"近日，网传某剧组用""假人""当群演，事后，被误认为假人的演员回应，是真人。这届网传有点逗啊～人都看不清～直接用糊图盲猜[允悲] ",[],False,0.0867035984992981
,剧组还是用的独立的实体，比直接用电脑做的虚拟人耿直。 ,[],False,0.009605705738067627
,"
又又又又又又又又又开始造谣了[苦涩]
再咋造起码稍微考证一下啊，不愧是yxh[苦涩]  ",[],False,0.44964832067489624
, 看到了，知道是真人后更惊悚了，这剧组是拍啥呢[黑线] ,[],False,0.07197052240371704
,"这是哪个剧组啊？
#李从顺仙姿昳丽# ",[],False,0.4051319360733032
,[衰][衰]没钱雇人吗 ,[],False,0.44789689779281616
,剧组用假人当群演？本人无奈晒图回应，原来是被阴间滤镜给害了 ，本人辟谣啦 http://t.cn/A66mhmuo ,[],False,0.04559600353240967
,莫几莫几 还能这样吗这个tag有亿点点好笑[允悲][允悲]但认真看可以发现其实是真人来的啦就是滤镜过重导致的看上去很像假人！！  http://t.cn/A66n3Fo3  ,[],False,0.38745856285095215
, 宣传个p啊，宣传！一年多以前的剧！ ,[],False,0.016968965530395508
,"
我说啊，yxh搬运可以去考证一下吗？看图造谣有意思吗？群演自己都出来辟谣了，这个tag还居然还在。。。 ",[],False,0.09344500303268433
,挺秀啊哈哈哈哈哈 ,[],False,0.09505844116210938
,是不是营销号不造谣就会死啊[太开心] ,[],False,0.38260531425476074
,我就蹭蹭不进去[阴险] ,[],False,0.2430209517478943
,#群演辟谣剧组用假人# 网传的剧组用假人当群演，被群演本人亲自下场辟谣了…这滤镜也是没谁了！[黑线] ,[],False,0.1925467848777771
,哈哈哈哈哈哈哈哈好离谱 ,[],False,0.40804970264434814
,阿这…晚上要是看这剧不是得吓死人[黑线] ,[],False,0.3410581946372986
,"
我笑死 可见造型和滤镜多离谱 ",[],False,0.049317359924316406
,突然想到若干年后可能由于演员演技不到位了，万一被AI替代了呢！😱 ,[],False,0.042608678340911865
,群演说是真人，还晒了自己照片，就是说滤镜别开那么大，真人都成假人了 ,[],False,0.07445496320724487
,是假人比群演贵嘛，哈哈 ,[],False,0.3068724274635315
,这不是假人，是真人，演员出来辟谣了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 ,[],False,0.148548424243927
,比群演贵吧[费解] ,[],False,0.47640377283096313
,？？？？这么扣，那这部剧我觉得也不行了吧🙏🙏🙏 ,[],False,0.2768893837928772
,吓疯了谢谢…. ,[],False,0.4475365877151489
,"#演员辟谣剧组用假人当群演##当事人辟谣剧组用假人当群演# 
演员当事人辟谣关于最近网传的剧组用假人当群演，剧组的滤镜真的有点吓人，不知道的以为在拍鬼片呢！ ",[],False,0.3812181353569031
,#演员辟谣剧组用假人当群演#[费解] ,[],False,0.4921722412109375
,[吃瓜][吃瓜][吃瓜][吃瓜][吃瓜][吃瓜] ,[],False,0.34317392110824585
