ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
发布于 四川,"📸""𝗣𝗹𝗼𝗴 ‣

记录📝一些忙碌且悠闲地生活

#日常碎片plog# ",[],False,0.29707956314086914
发布于 重庆,"这次的演唱会结束啦 我们大家准备的也有一段时间了 当时上场之前还是有点紧张的 但是看到观众朋友的热情就瞬间感觉没有那么紧张了 总体来说感觉这一次时隔三年的第一个线下舞台还算蛮成功的[偷笑] 发挥的还不错 但是也有一些小失误的地方和突发的事情 还好问题不算太大 都解决掉了！
希望下一次演唱会可以比这一次发挥的更好 也希望大家下次可以继续来看我们的演出 我们收到了大家的热情也是非常开心 非常感动的！👀

#tf家族登陆计划蝴蝶效应演唱会#",[],False,0.04246103763580322
发布于 湖南,#你好星期六全员求赞#求你们了啦！ 我想赢！ ,[],False,0.3981981873512268
发布于 山东,【YouTube】NCT 道在廷 'Perfume' MV公开，清新动感的旋律很抓耳很好听！#道英[超话]##郑在玹[超话]##金廷祐[超话]# http://t.cn/A6NVdJmw ,[],False,0.017544806003570557
,【：车先停人再倒】#西西新闻# 近日，江苏无锡一男子在路口多次寻找车辆碰瓷，该路口一处监控摄像头记录下这一幕。该男子走在马路中央，先是拦停了一辆直行的车，但因车速太快没有碰瓷成功。遂在路口多次尝试，但均没把握好时机，摔倒后只好站起来走开。该男子最终与一辆车碰上，目前已移交派出所做进一步处理。 via.九派新闻 http://t.cn/A66ufk7v,"['江苏', '无锡']",True,0.2873428463935852
,【：车先停人再倒[黑线]】据@九派新闻 报道：近日，江苏无锡一男子在路口多次寻找车辆碰瓷，该路口一处监控摄像头记录下这一幕。该男子走在马路中央，先是拦停了一辆直行的车，但因车速太快没有碰瓷成功。遂在路口多次尝试，但均没把握好时机，摔倒后只好站起来走开。该男子最终与一辆车碰上，目前已移交派出所做进一步处理。http://t.cn/A66ufk7v,"['江苏', '无锡']",True,0.33676809072494507
,【#碰瓷行为该担何责#？】近日，江苏无锡一男子在路口多次寻找车辆碰瓷，被路口一处监控摄像头记录下了拙劣的“演技”。那么，碰瓷行为是否违法？又该担何责？所谓“碰瓷”，是指行为人通过故意制造或者编造其被害假象，采取诈骗、敲诈勒索等方式非法索取财物的行为。根据我国刑法第266条的规定，诈骗公私财物，数额较大的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。另外，如果碰瓷者故意与正常行驶的车辆发生过激碰撞，会严重危害公众安全，碰瓷者可能涉嫌构成以危险方法危害公共安全罪。根据我国刑法规定，尚未造成严重后果的，处三年以上十年以下有期徒刑。如致人重伤、死亡或者使公私财产遭受重大损失的，处十年以上有期徒刑、无期徒刑或者死刑。（作者：李一鸣 ）视频自：http://t.cn/A66ufk7v,"['江苏', '无锡']",True,0.28297436237335205
,【：车先停人再倒[黑线]】据@九派新闻 报道：近日，江苏无锡一男子在路口多次寻找车辆碰瓷，该路口一处监控摄像头记录下这一幕。该男子走在马路中央，先是拦停了一辆直行的车，但因车速太快没有碰瓷成功。遂在路口多次尝试，但均没把握好时机，摔倒后只好站起来走开。该男子最终与一辆车碰上，目前已移交派出所做进一步处理。http://t.cn/A66ufk7v,"['江苏', '无锡']",True,0.33676809072494507
,【：车先停人再倒[黑线]】近日，江苏无锡一男子在路口多次寻找车辆碰瓷，该路口一处监控摄像头记录下这一幕。该男子走在马路中央，先是拦停了一辆直行的车，但因车速太快没有碰瓷成功。遂在路口多次尝试，但均没把握好时机，摔倒后只好站起来走开。该男子最终与一辆车碰上，目前已移交派出所做进一步处理。来源：http://t.cn/A66ufk7v,"['江苏', '无锡']",True,0.26486480236053467
,一来，到处是探头，二来，真想死，找马路杀手就行。（女性偏多[允悲]），当然了，碰瓷是不可能了 ,[],False,0.3317447304725647
,【：车先停人再倒[黑线]】该男子最终与一辆车碰上，目前已移交派出所做进一步处理。遇到碰瓷情况该怎么办？ 把碰瓷者撞死算犯罪吗？一起来了解！来源:天津交警 法治进行时 http://t.cn/A663wBLk ,"['津', '天津']",True,0.44262832403182983
,【：车先停人再倒[黑线]】该男子最终与一辆车碰上，目前已移交派出所做进一步处理。遇到碰瓷情况该怎么办？ 把碰瓷者撞死算犯罪吗？一起来了解！来源:天津交警 法治进行时http://t.cn/A663wBLk ,"['津', '天津']",True,0.44262832403182983
,【：车先停人再倒[黑线]】近日，据江苏无锡交警消息，一男子在路口多次寻找车辆碰瓷，该路口一处监控摄像头记录下这一幕。该男子走在马路中央，先是拦停了一辆直行的车，但因车速太快没有碰瓷成功。遂在路口多次尝试，但均没把握好时机，摔倒后只好站起来走开。该男子最终与一辆车碰上，目前已移交派出所做进一步处理。@九派新闻  http://t.cn/A66ufk7v,"['江苏', '无锡']",True,0.33039218187332153
,正常标题+1 ,[],False,0.0963524580001831
,"
笑死我了  ",[],False,0.089030921459198
,"
全网都知道你碰瓷了
丢人丢出市了[怒] ",[],False,0.2233593463897705
